,Stock,date,action_prob
0,$BA,20170101,0
1,$BA,20170102,-0.709750197827816
2,$BA,20170103,-0.06305980895246778
3,$BA,20170104,-0.30824753642082214
4,$BA,20170105,-0.27248063882191975
5,$BA,20170106,-0.5914152126227107
6,$BA,20170107,-0.5713031056026617
7,$BA,20170108,-0.615358546072123
8,$BA,20170109,-0.5303481566278558
9,$BA,20170110,-0.5514574568226652
10,$BA,20170111,-0.5219705200195313
11,$BA,20170112,-0.6070001183017608
12,$BA,20170113,-0.7490074751632554
13,$BA,20170114,-0.6836195811629295
14,$BA,20170115,-0.6380374354201478
15,$BA,20170116,-0.4707953266377719
16,$BA,20170117,-0.4834718454268671
17,$BA,20170118,-0.3327518520147904
18,$BA,20170119,-0.5033592951708826
19,$BA,20170120,-0.5706155621816241
20,$BA,20170121,-0.6983456436325522
21,$BA,20170122,-0.5426459889563303
22,$BA,20170123,-0.40047389379254095
23,$BA,20170124,-0.28966120509214177
24,$BA,20170125,-0.399810643469701
25,$BA,20170126,-0.35718181251007836
26,$BA,20170127,-0.3284803123185129
27,$BA,20170128,-0.27488467246294024
28,$BA,20170129,-0.3760707974433899
29,$BA,20170130,-0.3326465023888482
30,$BA,20170131,-0.4417017304291159
31,$BA,20170201,-0.5152431186288595
32,$BA,20170202,-0.5406152564035335
33,$BA,20170203,-0.6344537150859832
34,$BA,20170204,-0.501757764610751
35,$BA,20170205,-0.4435315521863791
36,$BA,20170206,-0.34672778358264844
37,$BA,20170207,-0.25697847148951364
38,$BA,20170208,-0.43438306142543925
39,$BA,20170209,-0.45657858573473414
40,$BA,20170210,-0.6009565155680586
41,$BA,20170211,-0.5934966451981488
42,$BA,20170212,-0.6487261956198174
43,$BA,20170213,-0.5345724144497433
44,$BA,20170214,-0.7070030054220786
45,$BA,20170215,-0.7457763914968453
46,$BA,20170216,-0.7392834313213825
47,$BA,20170217,-0.7752528032835793
48,$BA,20170218,-0.5350629045413091
49,$BA,20170219,-0.5949127283252653
50,$BA,20170220,-0.4712925906534548
51,$BA,20170221,-0.5733420521605248
52,$BA,20170222,-0.5465145895355626
53,$BA,20170223,-0.5162727415561676
54,$BA,20170224,-0.5786988188008793
55,$BA,20170225,-0.34920795634388924
56,$BA,20170226,-0.33345563643014253
57,$BA,20170227,-0.22728311233833187
58,$BA,20170228,-0.5450683710249987
59,$BA,20170301,-0.5299380748879676
60,$BA,20170302,-0.6333145879465958
61,$BA,20170303,-0.587151825428009
62,$BA,20170304,-0.5568349319591857
63,$BA,20170305,-0.493317653303561
64,$BA,20170306,-0.5294766187667846
65,$BA,20170307,-0.6240228123781157
66,$BA,20170308,-0.5989633500576019
67,$BA,20170309,-0.6146221077894862
68,$BA,20170310,-0.5704890449304838
69,$BA,20170311,-0.5017338524694028
70,$BA,20170312,-0.4311334084957204
71,$BA,20170313,-0.44054219339575085
72,$BA,20170314,-0.5718684982169758
73,$BA,20170315,-0.5177733726420645
74,$BA,20170316,-0.5448497735402164
75,$BA,20170317,-0.5005358336148439
76,$BA,20170318,-0.48108021181021166
77,$BA,20170319,-0.3973018191754818
78,$BA,20170320,-0.30832433700561523
79,$BA,20170321,-0.2635420226469273
80,$BA,20170322,-0.4601361994840661
81,$BA,20170323,-0.4854259698889976
82,$BA,20170324,-0.4587464201450348
83,$BA,20170325,-0.4530039183677189
84,$BA,20170326,-0.5226451893647511
85,$BA,20170327,-0.5636071686943372
86,$BA,20170328,-0.5023727694223094
87,$BA,20170329,-0.4458032415268269
88,$BA,20170330,-0.43449950706763346
89,$BA,20170331,-0.4528314994092573
90,$BA,20170401,-0.35709844418426057
91,$BA,20170402,-0.3456777309377988
92,$BA,20170403,-0.2689561486244202
93,$BA,20170404,-0.4839927064047919
94,$BA,20170405,-0.511880925207427
95,$BA,20170406,-0.5648051394175176
96,$BA,20170407,-0.6030116131750204
97,$BA,20170408,-0.6195472523347655
98,$BA,20170409,-0.5491644808503447
99,$BA,20170410,-0.6032007013337087
100,$BA,20170411,-0.7305157245421896
101,$BA,20170412,-0.7298354271982537
102,$BA,20170413,-0.6936883965476615
103,$BA,20170414,-0.6244102891149192
104,$BA,20170415,-0.6972280629845553
105,$BA,20170416,-0.5875970530509949
106,$BA,20170417,-0.5256280937502461
107,$BA,20170418,-0.4253943058160635
108,$BA,20170419,-0.6679164618253708
109,$BA,20170420,-0.6864413933320479
110,$BA,20170421,-0.7476733002746314
111,$BA,20170422,-0.6762602317791718
112,$BA,20170423,-0.5264798110606623
113,$BA,20170424,-0.35912107985194136
114,$BA,20170425,-0.24025554606255065
115,$BA,20170426,-0.2215925558255269
116,$BA,20170427,-0.4197820261733173
117,$BA,20170428,-0.41678981564261697
118,$BA,20170429,-0.6186430377344931
119,$BA,20170430,-0.5562623498287607
120,$BA,20170501,-0.5938033795717991
121,$BA,20170502,-0.6126532564397718
122,$BA,20170503,-0.6011967512599209
123,$BA,20170504,-0.5201932589213053
124,$BA,20170505,-0.3455412983894348
125,$BA,20170506,-0.3775019368955067
126,$BA,20170507,-0.4714789075009963
127,$BA,20170508,-0.5110654540178252
128,$BA,20170509,-0.5777967387232287
129,$BA,20170510,-0.4010176873869366
130,$BA,20170511,-0.37165148604300713
131,$BA,20170512,-0.421237090917734
132,$BA,20170513,-0.48082195787594234
133,$BA,20170514,-0.6647302642464638
134,$BA,20170515,-0.47244939293180194
135,$BA,20170516,-0.25750691833950223
