,Stock,date,action_prob
0,$CSCO,20170101,0
1,$CSCO,20170102,-0.9803051948547363
2,$CSCO,20170103,-0.02721381187438965
3,$CSCO,20170104,-0.4600481390953064
4,$CSCO,20170105,-0.4608285917176141
5,$CSCO,20170106,-0.45916688212981593
6,$CSCO,20170107,-0.23240829880038896
7,$CSCO,20170108,-0.2466128432020849
8,$CSCO,20170109,-0.3550090193748474
9,$CSCO,20170110,-0.29574599062524193
10,$CSCO,20170111,-0.3068855550554064
11,$CSCO,20170112,-0.40806654194990793
12,$CSCO,20170113,-0.6442748829722404
13,$CSCO,20170114,-0.6165778330143761
14,$CSCO,20170115,-0.5770833617256533
15,$CSCO,20170116,-0.24471338873817808
16,$CSCO,20170117,-0.23549254645000806
17,$CSCO,20170118,-0.25622841540504904
18,$CSCO,20170119,-0.4429664037845753
19,$CSCO,20170120,-0.5269217637120461
20,$CSCO,20170121,-0.5743319439888
21,$CSCO,20170122,-0.42491766810417175
22,$CSCO,20170123,-0.2171792620565833
23,$CSCO,20170124,-0.1818239688873291
24,$CSCO,20170125,-0.15265984603991875
25,$CSCO,20170126,-0.4272712642146695
26,$CSCO,20170127,-0.4194158010184765
27,$CSCO,20170128,-0.4346832464138667
28,$CSCO,20170129,-0.12200428288558433
29,$CSCO,20170130,-0.08272441476583481
30,$CSCO,20170131,-0.4360132732174613
31,$CSCO,20170201,-0.4053881225131807
32,$CSCO,20170202,-0.3130400309375688
33,$CSCO,20170203,-0.22613189065897907
34,$CSCO,20170204,-0.17094208300113678
35,$CSCO,20170205,-0.2608137517063706
36,$CSCO,20170206,-0.3737526827080305
37,$CSCO,20170207,-0.4737212106585503
38,$CSCO,20170208,-0.4056109759542677
39,$CSCO,20170209,-0.2515359014834998
40,$CSCO,20170210,-0.09900627533594768
41,$CSCO,20170211,-0.1717599217708294
42,$CSCO,20170212,-0.20669526741152905
43,$CSCO,20170213,-0.2461618804014646
44,$CSCO,20170214,-0.340557404926845
45,$CSCO,20170215,-0.1805091229352084
46,$CSCO,20170216,-0.29806141648441553
47,$CSCO,20170217,-0.3030251316726208
48,$CSCO,20170218,-0.42684246067489895
49,$CSCO,20170219,-0.4462929788757773
50,$CSCO,20170220,-0.056102762861949644
51,$CSCO,20170221,-0.043541163206100464
52,$CSCO,20170222,-0.06286437186327848
53,$CSCO,20170223,-0.29846263783318655
54,$CSCO,20170224,-0.29797248045603436
55,$CSCO,20170225,-0.2834879010915756
56,$CSCO,20170226,-0.27513789166422453
57,$CSCO,20170227,-0.3662436604499817
58,$CSCO,20170228,-0.23322644030175557
59,$CSCO,20170301,-0.08159376515282525
60,$CSCO,20170302,-0.2526380687343831
61,$CSCO,20170303,-0.35255475768021177
62,$CSCO,20170304,-0.359298643565947
63,$CSCO,20170305,-0.24407425191667345
64,$CSCO,20170306,-0.3613390903919935
65,$CSCO,20170307,-0.11661919057369233
66,$CSCO,20170308,-0.034326317517653755
67,$CSCO,20170309,0.006011941283941269
68,$CSCO,20170310,-0.1340427646270165
69,$CSCO,20170311,-0.33050036430358887
70,$CSCO,20170312,-0.3051121860742569
71,$CSCO,20170313,-0.2863697111606598
72,$CSCO,20170314,-0.30188913752393026
73,$CSCO,20170315,-0.2607661684354146
74,$CSCO,20170316,-0.22025293561647524
75,$CSCO,20170317,-0.068908184224909
76,$CSCO,20170318,-0.1550123691558838
77,$CSCO,20170319,-0.18700359517877752
78,$CSCO,20170320,-0.21491108643702972
79,$CSCO,20170321,-0.10416229501847298
80,$CSCO,20170322,-0.2609712525111873
81,$CSCO,20170323,-0.36266551078376125
82,$CSCO,20170324,-0.3896269771185788
83,$CSCO,20170325,-0.24477729054748035
84,$CSCO,20170326,-0.14768276810646058
85,$CSCO,20170327,-0.07118644526130274
86,$CSCO,20170328,-0.13763706070004086
87,$CSCO,20170329,-0.3606085700373496
88,$CSCO,20170330,-0.48600412028677326
89,$CSCO,20170331,-0.4179383459928873
90,$CSCO,20170401,-0.4027031771838665
91,$CSCO,20170402,-0.3483681018288071
92,$CSCO,20170403,-0.5706713318824768
93,$CSCO,20170404,-0.439246429846837
94,$CSCO,20170405,-0.3688353713481657
95,$CSCO,20170406,-0.38488676914801967
96,$CSCO,20170407,-0.35251401751129713
97,$CSCO,20170408,-0.39663757357681007
98,$CSCO,20170409,-0.42047405463677867
99,$CSCO,20170410,-0.5471714188655218
100,$CSCO,20170411,-0.5462988478442034
101,$CSCO,20170412,-0.5908458850213459
102,$CSCO,20170413,-0.48462399319996907
103,$CSCO,20170414,-0.48959456724033024
104,$CSCO,20170415,-0.4206517034647416
105,$CSCO,20170416,-0.44291678567727405
106,$CSCO,20170417,-0.27461829008879485
107,$CSCO,20170418,-0.07573729753494263
108,$CSCO,20170419,0.002712729649666028
109,$CSCO,20170420,-0.04689799822293795
110,$CSCO,20170421,-0.054539078703293435
111,$CSCO,20170422,-0.19382421043184067
112,$CSCO,20170423,-0.5305609958512443
113,$CSCO,20170424,-0.6405691266059875
114,$CSCO,20170425,-0.46464628608603226
115,$CSCO,20170426,-0.23717386211667743
116,$CSCO,20170427,-0.2153766022788154
117,$CSCO,20170428,-0.40864979341381885
118,$CSCO,20170429,-0.4813473406045333
119,$CSCO,20170430,-0.47220323134113
120,$CSCO,20170501,-0.48442641817606413
121,$CSCO,20170502,-0.5148138175619409
122,$CSCO,20170503,-0.5355319965768743
123,$CSCO,20170504,-0.42675316535820396
124,$CSCO,20170505,-0.4102725763531292
125,$CSCO,20170506,-0.36613361297115204
126,$CSCO,20170507,-0.49162209642176724
127,$CSCO,20170508,-0.5251192272977626
128,$CSCO,20170509,-0.5585749027056571
129,$CSCO,20170510,-0.5370424487374046
130,$CSCO,20170511,-0.4311395241664006
131,$CSCO,20170512,-0.40916963591091876
132,$CSCO,20170513,-0.38272831588983536
