,Stock,date,action_prob
0,$CVX,20170101,0
1,$CVX,20170102,-0.6824433548109872
2,$CVX,20170103,-0.4969840333575294
3,$CVX,20170104,-0.4605525964397495
4,$CVX,20170105,-0.4024744242070669
5,$CVX,20170106,-0.44545307010412216
6,$CVX,20170107,-0.5392605406897408
7,$CVX,20170108,-0.6083879845086918
8,$CVX,20170109,-0.4817639436832694
9,$CVX,20170110,-0.3559130017574017
10,$CVX,20170111,-0.5208332462916299
11,$CVX,20170112,-0.6586435387531916
12,$CVX,20170113,-0.7228839834531148
13,$CVX,20170114,-0.6059201309021484
14,$CVX,20170115,-0.41578832524163384
15,$CVX,20170116,-0.37963707985416534
16,$CVX,20170117,-0.3431485252720969
17,$CVX,20170118,-0.46442710161209105
18,$CVX,20170119,-0.4509435133500533
19,$CVX,20170120,-0.5214346941415365
20,$CVX,20170121,-0.5550495876024847
21,$CVX,20170122,-0.6109787810523555
22,$CVX,20170123,-0.48264561187137256
23,$CVX,20170124,-0.22964980453252792
24,$CVX,20170125,-0.28909591653130273
25,$CVX,20170126,-0.3111795747981352
26,$CVX,20170127,-0.38855750095553515
27,$CVX,20170128,-0.28329117383275715
28,$CVX,20170129,-0.37104128666643826
29,$CVX,20170130,-0.33749694590057644
30,$CVX,20170131,-0.4430696860192314
31,$CVX,20170201,-0.3921601800248027
32,$CVX,20170202,-0.4717927457708301
33,$CVX,20170203,-0.5364595625135634
34,$CVX,20170204,-0.537084883114077
35,$CVX,20170205,-0.40327383437246644
36,$CVX,20170206,-0.38282564541567926
37,$CVX,20170207,-0.4612298658915928
38,$CVX,20170208,-0.659612987190485
39,$CVX,20170209,-0.5688489009352291
40,$CVX,20170210,-0.5796401659647624
41,$CVX,20170211,-0.45122726616405306
42,$CVX,20170212,-0.46390837837349286
43,$CVX,20170213,-0.5032394813994566
44,$CVX,20170214,-0.5283070862293243
45,$CVX,20170215,-0.4983701722489463
46,$CVX,20170216,-0.42443368929188424
47,$CVX,20170217,-0.3881527171248481
48,$CVX,20170218,-0.3091686082922894
49,$CVX,20170219,-0.17962696766242003
50,$CVX,20170220,-0.15681397542357445
51,$CVX,20170221,-0.36163219984839945
52,$CVX,20170222,-0.46936751281221706
53,$CVX,20170223,-0.38398249234472004
54,$CVX,20170224,-0.3972782769673307
55,$CVX,20170225,-0.49552289134747274
56,$CVX,20170226,-0.4994803080053041
57,$CVX,20170227,-0.5074375788370769
58,$CVX,20170228,-0.36106676008643174
59,$CVX,20170301,-0.5589859187602997
60,$CVX,20170302,-0.5206366692270551
61,$CVX,20170303,-0.5558549241586165
62,$CVX,20170304,-0.5286666381926763
63,$CVX,20170305,-0.6100435920737006
64,$CVX,20170306,-0.5902834691499409
65,$CVX,20170307,-0.5273570391264829
66,$CVX,20170308,-0.24957357949398934
67,$CVX,20170309,-0.16648477726969227
68,$CVX,20170310,-0.16611636635186017
69,$CVX,20170311,-0.23643703439405986
70,$CVX,20170312,-0.22092872485518456
71,$CVX,20170313,-0.29614031475943486
72,$CVX,20170314,-0.4270697616516276
73,$CVX,20170315,-0.5477647961310621
74,$CVX,20170316,-0.5359157495426409
75,$CVX,20170317,-0.5728544230972018
76,$CVX,20170318,-0.5637283229402134
77,$CVX,20170319,-0.5823846514834914
78,$CVX,20170320,-0.41316214203834534
79,$CVX,20170321,-0.46776097431415464
80,$CVX,20170322,-0.38537914861332284
81,$CVX,20170323,-0.489113555579889
82,$CVX,20170324,-0.47324722183161766
83,$CVX,20170325,-0.5642138034105301
84,$CVX,20170326,-0.512702284918891
85,$CVX,20170327,-0.5227259840284075
86,$CVX,20170328,-0.797446785788787
87,$CVX,20170329,-0.7630197364230489
88,$CVX,20170330,-0.7427968566234295
89,$CVX,20170331,-0.43395412819726126
90,$CVX,20170401,-0.5658812700656423
91,$CVX,20170402,-0.5322551903901277
92,$CVX,20170403,-0.6202122718095779
93,$CVX,20170404,-0.49030998478765075
94,$CVX,20170405,-0.5336401359393046
95,$CVX,20170406,-0.35087160269419354
96,$CVX,20170407,-0.3115788400173187
97,$CVX,20170408,-0.2278850262815302
98,$CVX,20170409,-0.3665581926321372
99,$CVX,20170410,-0.572979296407392
100,$CVX,20170411,-0.28114005774259565
101,$CVX,20170412,-0.313884083713804
102,$CVX,20170413,-0.2850171306677032
103,$CVX,20170414,-0.5220481249648081
104,$CVX,20170415,-0.5704278705581542
105,$CVX,20170416,-0.5773152426137762
106,$CVX,20170417,-0.5293158173561097
107,$CVX,20170418,-0.4820980980992317
108,$CVX,20170419,-0.3792925937133923
109,$CVX,20170420,-0.4204997273458951
110,$CVX,20170421,-0.43914933289800373
111,$CVX,20170422,-0.4087453274815171
112,$CVX,20170423,-0.36105153612468555
113,$CVX,20170424,-0.2823962960924421
114,$CVX,20170425,-0.6342846262454986
115,$CVX,20170426,-0.5898592812674386
116,$CVX,20170427,-0.6412075349578151
117,$CVX,20170428,-0.487051659822464
118,$CVX,20170429,-0.41837462612560816
119,$CVX,20170430,-0.40731877186259285
120,$CVX,20170501,-0.37977171341578164
121,$CVX,20170502,-0.377292609576023
122,$CVX,20170503,-0.5508653080463409
123,$CVX,20170504,-0.5683985841808035
124,$CVX,20170505,-0.7017287302900244
125,$CVX,20170506,-0.6586127146085103
126,$CVX,20170507,-0.5897691704459109
127,$CVX,20170508,-0.5769451391406175
128,$CVX,20170509,-0.4540720746434968
129,$CVX,20170510,-0.629747576183743
130,$CVX,20170511,-0.6203910696964997
131,$CVX,20170512,-0.655049484426325
132,$CVX,20170513,-0.6208844314921986
133,$CVX,20170514,-0.6388054474806174
134,$CVX,20170515,-0.507401736246215
135,$CVX,20170516,-0.508532607087902
136,$CVX,20170517,-0.42909101117402315
137,$CVX,20170518,-0.505228281756978
138,$CVX,20170519,-0.4686421859459799
139,$CVX,20170520,-0.47458225384093167
140,$CVX,20170521,-0.30521428114489507
141,$CVX,20170522,-0.20816327368511872
142,$CVX,20170523,-0.1468670482818897
143,$CVX,20170524,-0.3128494168150014
144,$CVX,20170525,-0.5239461481571197
