,Stock,date,action_prob
0,$DIS,20170101,0
1,$DIS,20170102,-0.6068868041038513
2,$DIS,20170103,-0.3409758475091722
3,$DIS,20170104,-0.3294017754103008
4,$DIS,20170105,-0.16894257716510608
5,$DIS,20170106,-0.2273855576912562
6,$DIS,20170107,-0.218146014213562
7,$DIS,20170108,-0.4387133394257497
8,$DIS,20170109,-0.5344604488278999
9,$DIS,20170110,-0.5269726326068243
10,$DIS,20170111,-0.5063266388156957
11,$DIS,20170112,-0.47527997539593625
12,$DIS,20170113,-0.6513567244420286
13,$DIS,20170114,-0.5386635763080496
14,$DIS,20170115,-0.6134431817029652
15,$DIS,20170116,-0.5736707940436246
16,$DIS,20170117,-0.7359006981054942
17,$DIS,20170118,-0.4189208431376351
18,$DIS,20170119,-0.549693165993204
19,$DIS,20170120,-0.5012151213792654
20,$DIS,20170121,-0.5984133899211883
21,$DIS,20170122,-0.5268507493866814
22,$DIS,20170123,-0.6474618017673492
23,$DIS,20170124,-0.3327454083106097
24,$DIS,20170125,-0.3523816628889604
25,$DIS,20170126,-0.3488042499337878
26,$DIS,20170127,-0.4571027159690857
27,$DIS,20170128,-0.4593626445737378
28,$DIS,20170129,-0.5270075082778931
29,$DIS,20170130,-0.38869926780462266
30,$DIS,20170131,-0.4645888667840224
31,$DIS,20170201,-0.4517853947149383
32,$DIS,20170202,-0.5518361475732592
33,$DIS,20170203,-0.5932896807789803
34,$DIS,20170204,-0.42003994143527484
35,$DIS,20170205,-0.4302553703387578
36,$DIS,20170206,-0.4150431586636437
37,$DIS,20170207,-0.6438374067797805
38,$DIS,20170208,-0.6591084395966879
39,$DIS,20170209,-0.6679777550697327
40,$DIS,20170210,-0.6426571544372675
41,$DIS,20170211,-0.6090430853501806
42,$DIS,20170212,-0.5992257718770009
43,$DIS,20170213,-0.6927598302180951
44,$DIS,20170214,-0.6211331498866178
45,$DIS,20170215,-0.5082073644095776
46,$DIS,20170216,-0.4797129819790522
47,$DIS,20170217,-0.5326801485090114
48,$DIS,20170218,-0.510297697968781
49,$DIS,20170219,-0.5071523487567902
50,$DIS,20170220,-0.32005704126574774
51,$DIS,20170221,-0.4997901272129368
52,$DIS,20170222,-0.5510335024013076
53,$DIS,20170223,-0.7269746847450733
54,$DIS,20170224,-0.527741093527187
55,$DIS,20170225,-0.5461459054100898
56,$DIS,20170226,-0.4738226288654765
57,$DIS,20170227,-0.5987566529318343
58,$DIS,20170228,-0.5634791617808135
59,$DIS,20170301,-0.6282434132364061
60,$DIS,20170302,-0.629865787923336
61,$DIS,20170303,-0.5918359170880234
62,$DIS,20170304,-0.5154866576194763
63,$DIS,20170305,-0.4436287939548492
64,$DIS,20170306,-0.4587529127796491
65,$DIS,20170307,-0.5334066228988843
66,$DIS,20170308,-0.616482741692487
67,$DIS,20170309,-0.5662788392661454
68,$DIS,20170310,-0.528198950489362
69,$DIS,20170311,-0.35988917298938916
70,$DIS,20170312,-0.21474597454071045
71,$DIS,20170313,-0.5166521072387695
72,$DIS,20170314,-0.5728329172674215
73,$DIS,20170315,-0.5763247096911073
74,$DIS,20170316,-0.4635144794573549
75,$DIS,20170317,-0.43415585623847114
