,Stock,date,action_prob
0,$GS,20170101,0
1,$GS,20170102,0.46704792976379395
2,$GS,20170103,0.1600717306137085
3,$GS,20170104,-0.2062949573993683
4,$GS,20170105,-0.3492768842440385
5,$GS,20170106,-0.3810855140120296
6,$GS,20170107,-0.3604049816213805
7,$GS,20170108,-0.3446195529679121
8,$GS,20170109,-0.3689600543542342
9,$GS,20170110,-0.5597714359110052
10,$GS,20170111,-0.6773826714717981
11,$GS,20170112,-0.6525338292121887
12,$GS,20170113,-0.5143606854697406
13,$GS,20170114,-0.3479666606585185
14,$GS,20170115,-0.32890836719204397
15,$GS,20170116,-0.40569458028365823
16,$GS,20170117,-0.6162101763945359
17,$GS,20170118,-0.6302092749139537
18,$GS,20170119,-0.5957691796490403
19,$GS,20170120,-0.5413368202391124
20,$GS,20170121,-0.5334355895933898
21,$GS,20170122,-0.464809782651006
22,$GS,20170123,-0.3831149737040202
23,$GS,20170124,-0.4364343342326936
24,$GS,20170125,-0.46982456778371057
25,$GS,20170126,-0.43296254195016004
26,$GS,20170127,-0.4054776760084288
27,$GS,20170128,-0.43857296258211137
28,$GS,20170129,-0.5019411418748938
29,$GS,20170130,-0.4613504001968785
30,$GS,20170131,-0.624563172806141
31,$GS,20170201,-0.6457716605880044
32,$GS,20170202,-0.6343189919436419
33,$GS,20170203,-0.5471357807280526
34,$GS,20170204,-0.4265860256026773
35,$GS,20170205,-0.47791674652615107
36,$GS,20170206,-0.4363822267605708
37,$GS,20170207,-0.6312116883896493
38,$GS,20170208,-0.45529883961344875
39,$GS,20170209,-0.44623437294593227
40,$GS,20170210,-0.305042837472523
41,$GS,20170211,-0.3100961773362878
42,$GS,20170212,-0.3112022987118474
43,$GS,20170213,-0.3864346941312154
44,$GS,20170214,-0.4097968637943268
45,$GS,20170215,-0.5231120406456713
46,$GS,20170216,-0.4467479395866394
47,$GS,20170217,-0.48191090454073515
48,$GS,20170218,-0.18950915584961572
49,$GS,20170219,-0.22562428360635584
50,$GS,20170220,-0.1762641173488689
51,$GS,20170221,-0.33887688184188586
52,$GS,20170222,-0.34694994733018697
53,$GS,20170223,-0.4514967074581221
54,$GS,20170224,-0.407286427674755
55,$GS,20170225,-0.46887344934723596
56,$GS,20170226,-0.4657684564590454
57,$GS,20170227,-0.5823086395859718
58,$GS,20170228,-0.561426094836659
59,$GS,20170301,-0.46315161552694106
60,$GS,20170302,-0.3941086030432156
61,$GS,20170303,-0.43019997170477203
62,$GS,20170304,-0.46289359153927984
63,$GS,20170305,-0.5611677215649531
64,$GS,20170306,-0.575001045068105
65,$GS,20170307,-0.7389574068965334
66,$GS,20170308,-0.6531257828076681
67,$GS,20170309,-0.6173489315169198
68,$GS,20170310,-0.5692514120668605
69,$GS,20170311,-0.6246709574514361
70,$GS,20170312,-0.6507096549250045
71,$GS,20170313,-0.6748892955663728
72,$GS,20170314,-0.5578252560383564
73,$GS,20170315,-0.4472893109688392
74,$GS,20170316,-0.46359506968794195
75,$GS,20170317,-0.3932496354265033
76,$GS,20170318,-0.4788382714841424
77,$GS,20170319,-0.4980310343560718
78,$GS,20170320,-0.5841149300859686
79,$GS,20170321,-0.7646636548249618
80,$GS,20170322,-0.46760133443734586
81,$GS,20170323,-0.38621615052223207
82,$GS,20170324,-0.2666565011924421
83,$GS,20170325,-0.38586994115408363
84,$GS,20170326,-0.37656834106596687
85,$GS,20170327,-0.5715598464012146
86,$GS,20170328,-0.4942672297358513
87,$GS,20170329,-0.48436633985618066
88,$GS,20170330,-0.525915378802701
89,$GS,20170331,-0.4896750251452128
90,$GS,20170401,-0.4536537501741858
91,$GS,20170402,-0.344663816002699
92,$GS,20170403,-0.4256828171866281
93,$GS,20170404,-0.6999368778729843
94,$GS,20170405,-0.6191463219001889
95,$GS,20170406,-0.5685781786139582
96,$GS,20170407,-0.4232912724432738
97,$GS,20170408,-0.5723868323795831
98,$GS,20170409,-0.5980709429943201
99,$GS,20170410,-0.5685032712561744
100,$GS,20170411,-0.46939867891763387
101,$GS,20170412,-0.5359486188999442
102,$GS,20170413,-0.5217680373090379
103,$GS,20170414,-0.641807661012367
104,$GS,20170415,-0.581424114839086
105,$GS,20170416,-0.5439780151590388
106,$GS,20170417,-0.37409099019490755
107,$GS,20170418,-0.1809847487343682
108,$GS,20170419,-0.6459829690409642
109,$GS,20170420,-0.6276447563104226
110,$GS,20170421,-0.6064170942856715
111,$GS,20170422,-0.5456404166018709
112,$GS,20170423,-0.43939377132214996
113,$GS,20170424,-0.5359750472266098
114,$GS,20170425,-0.41202662082818836
115,$GS,20170426,-0.4844139063799823
116,$GS,20170427,-0.49090312390911334
117,$GS,20170428,-0.5854999087750912
118,$GS,20170429,-0.47749896141198966
119,$GS,20170430,-0.5088178201155229
120,$GS,20170501,-0.5549369778549462
121,$GS,20170502,-0.7126174195140016
122,$GS,20170503,-0.7184655448565116
123,$GS,20170504,-0.6624182671831366
124,$GS,20170505,-0.7200015316838804
125,$GS,20170506,-0.6945517297650947
126,$GS,20170507,-0.7348546626476141
127,$GS,20170508,-0.7010893070179484
128,$GS,20170509,-0.6084293280329023
129,$GS,20170510,-0.500452386705499
130,$GS,20170511,-0.4386945168177287
131,$GS,20170512,-0.37004339123425417
132,$GS,20170513,-0.3325176763534546
133,$GS,20170514,-0.38244573808297877
134,$GS,20170515,-0.5548267405608605
135,$GS,20170516,-0.4196056775424791
136,$GS,20170517,-0.34777934036471625
137,$GS,20170518,-0.38853710724247825
138,$GS,20170519,-0.47396453469991684
139,$GS,20170520,-0.511807622878175
140,$GS,20170521,-0.6108149633957789
141,$GS,20170522,-0.5905472999665795
142,$GS,20170523,-0.6457472768696871
143,$GS,20170524,-0.4400018232209342
144,$GS,20170525,-0.5070368791068042
145,$GS,20170526,-0.5000010523639742
146,$GS,20170527,-0.4537119664155044
147,$GS,20170528,-0.40100711483066365
148,$GS,20170529,-0.316781256880079
149,$GS,20170530,-0.5610156655311584
150,$GS,20170531,-0.537587643697344
151,$GS,20170601,-0.5496457639413003
152,$GS,20170602,-0.5818108710241906
153,$GS,20170603,-0.6625772775435934
154,$GS,20170604,-0.5412765878897446
155,$GS,20170605,-0.5422935925778889
156,$GS,20170606,-0.662759006023407
157,$GS,20170607,-0.76775845112624
158,$GS,20170608,-0.6055411598899147
159,$GS,20170609,-0.40555459580251146
160,$GS,20170610,-0.40883713425734103
161,$GS,20170611,-0.4945331811904907
162,$GS,20170612,-0.5307210017058809
163,$GS,20170613,-0.5822113701275416
164,$GS,20170614,-0.33517107309079636
165,$GS,20170615,-0.3049971922751396
166,$GS,20170616,-0.23555789699017163
167,$GS,20170617,-0.22132447899365035
168,$GS,20170618,-0.3033301346004009
169,$GS,20170619,-0.40328379413660836
170,$GS,20170620,-0.3894614083010976
171,$GS,20170621,-0.27554369275852786
172,$GS,20170622,-0.3049306020140648
173,$GS,20170623,-0.4070620553134239
174,$GS,20170624,-0.3399813987057784
175,$GS,20170625,-0.34223955704106224
176,$GS,20170626,-0.20092567705339
177,$GS,20170627,-0.5065839176482343
178,$GS,20170628,-0.4541529805763908
179,$GS,20170629,-0.5560072866353122
180,$GS,20170630,-0.5585202924788945
181,$GS,20170701,-0.5581202008003412
182,$GS,20170702,-0.5166924738548171
183,$GS,20170703,-0.5175704464316369
184,$GS,20170704,-0.5155015376306349
185,$GS,20170705,-0.49360638280068675
186,$GS,20170706,-0.5320950051148733
187,$GS,20170707,-0.5187782804730913
188,$GS,20170708,-0.5325633037921994
189,$GS,20170709,-0.49301437118597197
190,$GS,20170710,-0.6417920766650019
191,$GS,20170711,-0.7476574090810922
192,$GS,20170712,-0.559601484783112
193,$GS,20170713,-0.47653014909836555
194,$GS,20170714,-0.39053211676872385
195,$GS,20170715,-0.3151040906491487
196,$GS,20170716,-0.3369432156500609
197,$GS,20170717,-0.21485182079108986
198,$GS,20170718,-0.5107258011083133
199,$GS,20170719,-0.5776755725833732
200,$GS,20170720,-0.6076540546874477
201,$GS,20170721,-0.5115150615975663
202,$GS,20170722,-0.3851647067953039
203,$GS,20170723,-0.3754877436394785
204,$GS,20170724,-0.4769221500916915
205,$GS,20170725,-0.5673876404762268
206,$GS,20170726,-0.575985312461853
207,$GS,20170727,-0.4883615114472129
208,$GS,20170728,-0.5224237565724354
209,$GS,20170729,-0.5880307024175471
210,$GS,20170730,-0.6699598096311092
211,$GS,20170731,-0.6254366432365618
212,$GS,20170801,-0.5205396073205131
213,$GS,20170802,-0.5297883522510528
214,$GS,20170803,-0.5998085775072612
215,$GS,20170804,-0.6854485971587044
216,$GS,20170805,-0.6837289073774891
217,$GS,20170806,-0.5953605698079479
218,$GS,20170807,-0.5016020621572223
219,$GS,20170808,-0.46431582384422176
220,$GS,20170809,-0.39887979177579486
221,$GS,20170810,-0.4106846250278849
222,$GS,20170811,-0.3326208568086811
223,$GS,20170812,-0.574958394964536
224,$GS,20170813,-0.5849266114987826
225,$GS,20170814,-0.7315245854357878
226,$GS,20170815,-0.6483135100673226
227,$GS,20170816,-0.5733949063079697
228,$GS,20170817,-0.5328421993042106
229,$GS,20170818,-0.5560991143527096
230,$GS,20170819,-0.6052219844483709
231,$GS,20170820,-0.6111613735556602
232,$GS,20170821,-0.6535382167651103
233,$GS,20170822,-0.6512801051139832
234,$GS,20170823,-0.5993806053016145
235,$GS,20170824,-0.5798624422815111
236,$GS,20170825,-0.5357694375514984
237,$GS,20170826,-0.6449877100962179
238,$GS,20170827,-0.5654486075043679
239,$GS,20170828,-0.5819479346275329
240,$GS,20170829,-0.5235128158872778
241,$GS,20170830,-0.6277648782243535
242,$GS,20170831,-0.6383463936416727
243,$GS,20170901,-0.6592941345839665
244,$GS,20170902,-0.5874234171290147
245,$GS,20170903,-0.5951615339618618
246,$GS,20170904,-0.571457584698995
247,$GS,20170905,-0.6771147665770157
248,$GS,20170906,-0.3420035044352214
249,$GS,20170907,-0.5525181324317537
250,$GS,20170908,-0.5971695907910665
251,$GS,20170909,-0.6094168334067622
252,$GS,20170910,-0.5145924325849189
253,$GS,20170911,-0.4113961483569855
254,$GS,20170912,-0.5970118806279939
255,$GS,20170913,-0.5146291664353123
256,$GS,20170914,-0.5377379059791565
257,$GS,20170915,-0.459572970867157
258,$GS,20170916,-0.473242847286925
259,$GS,20170917,-0.29542747620613347
260,$GS,20170918,-0.29100853433975804
261,$GS,20170919,-0.5547457777085851
262,$GS,20170920,-0.6226054715438628
263,$GS,20170921,-0.6071461923420429
264,$GS,20170922,-0.5093821475380346
265,$GS,20170923,-0.5734200123194102
266,$GS,20170924,-0.642679183772116
267,$GS,20170925,-0.5815039177735647
268,$GS,20170926,-0.5122576681050387
269,$GS,20170927,-0.538630329645597
270,$GS,20170928,-0.6536071169376373
271,$GS,20170929,-0.5326895410554451
272,$GS,20170930,-0.5087076676064644
273,$GS,20171001,-0.3784944024579278
274,$GS,20171002,-0.4398585706949234
275,$GS,20171003,-0.2650823324918747
276,$GS,20171004,-0.4964018607581103
277,$GS,20171005,-0.5199684394549017
278,$GS,20171006,-0.5938348631927932
279,$GS,20171007,-0.49831540510058403
280,$GS,20171008,-0.4262664532661438
281,$GS,20171009,-0.3687257048411247
282,$GS,20171010,-0.6526736831053709
283,$GS,20171011,-0.6083933699589509
284,$GS,20171012,-0.5344679336078831
285,$GS,20171013,-0.45901615235765103
286,$GS,20171014,-0.457665310241282
287,$GS,20171015,-0.4689977238575617
288,$GS,20171016,-0.3636154349033649
289,$GS,20171017,-0.2872353672981262
290,$GS,20171018,-0.58962866846396
291,$GS,20171019,-0.5611091616253058
292,$GS,20171020,-0.6001760979493459
293,$GS,20171021,-0.5139394807365706
294,$GS,20171022,-0.5059674896445929
295,$GS,20171023,-0.5473790126187461
296,$GS,20171024,-0.3703650813549757
297,$GS,20171025,-0.4997823524475098
298,$GS,20171026,-0.3734066535214909
299,$GS,20171027,-0.329894871985326
300,$GS,20171028,-0.27949038258305303
301,$GS,20171029,-0.2876498137201582
302,$GS,20171030,-0.4848338347492796
303,$GS,20171031,-0.44555745980678463
304,$GS,20171101,-0.44498839403720614
