,Stock,date,action_prob
0,$HD,20170101,0
1,$HD,20170102,-0.3509411726679121
2,$HD,20170103,-0.38598365159261794
3,$HD,20170104,-0.5500366526345412
4,$HD,20170105,-0.6149195598774269
5,$HD,20170106,-0.7226324267685413
6,$HD,20170107,-0.7360557846484646
7,$HD,20170108,-0.6969878386992675
8,$HD,20170109,-0.62722728480684
9,$HD,20170110,-0.60337484103662
10,$HD,20170111,-0.5248412258589445
11,$HD,20170112,-0.5482235813140869
12,$HD,20170113,-0.5309579381302222
13,$HD,20170114,-0.610222438248721
14,$HD,20170115,-0.513835021853447
15,$HD,20170116,-0.3648030012845993
16,$HD,20170117,-0.45000531217631173
17,$HD,20170118,-0.48264179534690327
18,$HD,20170119,-0.5478794014453888
19,$HD,20170120,-0.5478456267943749
20,$HD,20170121,-0.5823878703578826
21,$HD,20170122,-0.6179600119590759
22,$HD,20170123,-0.5124666588059787
23,$HD,20170124,-0.45304189966275143
24,$HD,20170125,-0.42455731104996247
25,$HD,20170126,-0.37025575575075653
26,$HD,20170127,-0.3269881077351109
27,$HD,20170128,-0.3518786515508379
28,$HD,20170129,-0.47371688421736374
29,$HD,20170130,-0.549149439448402
30,$HD,20170131,-0.44539138674736023
31,$HD,20170201,-0.5068177509307862
32,$HD,20170202,-0.5283870479235282
33,$HD,20170203,-0.5921923227088396
34,$HD,20170204,-0.6607367846201051
35,$HD,20170205,-0.48029612183570863
36,$HD,20170206,-0.4135211441251967
37,$HD,20170207,-0.11498889085408803
38,$HD,20170208,-0.1435873246774441
39,$HD,20170209,-0.20027484628889297
40,$HD,20170210,-0.14470203717549643
41,$HD,20170211,-0.29826763591596056
42,$HD,20170212,-0.39244884583685136
43,$HD,20170213,-0.4731538348727756
44,$HD,20170214,-0.5150489897438975
45,$HD,20170215,-0.5040497573054566
46,$HD,20170216,-0.49096659819285077
47,$HD,20170217,-0.4870208934430153
48,$HD,20170218,-0.47815005481243134
49,$HD,20170219,-0.4318798687722948
50,$HD,20170220,-0.35461104399449117
51,$HD,20170221,-0.31101921471682464
52,$HD,20170222,-0.3362203247245701
53,$HD,20170223,-0.3606605422065919
54,$HD,20170224,-0.35342378237030725
55,$HD,20170225,-0.2750735598451951
56,$HD,20170226,-0.32143298492712136
57,$HD,20170227,-0.32632474005222323
58,$HD,20170228,-0.44982383801386905
59,$HD,20170301,-0.5081154826809379
60,$HD,20170302,-0.49834525780599626
61,$HD,20170303,-0.5044733223162199
62,$HD,20170304,-0.4643545739534425
63,$HD,20170305,-0.44778167486190795
64,$HD,20170306,-0.4608869535081527
65,$HD,20170307,-0.4479451746475406
66,$HD,20170308,-0.49653971896452065
67,$HD,20170309,-0.46535686490147615
68,$HD,20170310,-0.4868881272364266
69,$HD,20170311,-0.43624959389368695
70,$HD,20170312,-0.509168799718221
71,$HD,20170313,-0.440761024461073
72,$HD,20170314,-0.5436967692591927
73,$HD,20170315,-0.5414112386156301
74,$HD,20170316,-0.5476493043558938
75,$HD,20170317,-0.39925310914478607
76,$HD,20170318,-0.30740292094371935
77,$HD,20170319,-0.26232191511228975
78,$HD,20170320,-0.32400660418175364
79,$HD,20170321,-0.5440164009730021
80,$HD,20170322,-0.6584180449617321
81,$HD,20170323,-0.48422115599667587
82,$HD,20170324,-0.3676415975277241
83,$HD,20170325,-0.4482551332977083
84,$HD,20170326,-0.5021387527386347
85,$HD,20170327,-0.4713621863297054
86,$HD,20170328,-0.22565235563966093
87,$HD,20170329,-0.1590168120769354
88,$HD,20170330,-0.19413501368119165
89,$HD,20170331,-0.29529080415765446
90,$HD,20170401,-0.34622646052882355
91,$HD,20170402,-0.3390118318635064
92,$HD,20170403,-0.415493061542511
93,$HD,20170404,-0.42009682240693463
94,$HD,20170405,-0.5266226019178119
95,$HD,20170406,-0.4562022952323264
96,$HD,20170407,-0.4678452434864911
97,$HD,20170408,-0.41204163640044456
98,$HD,20170409,-0.38050078664507186
99,$HD,20170410,-0.4727373303369034
100,$HD,20170411,-0.42483803973748135
