,Stock,date,action_prob
0,$NKE,20170101,0
1,$NKE,20170102,-0.3131853010919359
2,$NKE,20170103,-0.5481604039669037
3,$NKE,20170104,-0.5392971776299558
4,$NKE,20170105,-0.5489862621585025
5,$NKE,20170106,-0.48100717233706125
6,$NKE,20170107,-0.4059447965451649
7,$NKE,20170108,-0.32463745509876923
8,$NKE,20170109,-0.4012310820467332
9,$NKE,20170110,-0.4959410609200943
10,$NKE,20170111,-0.6202691323482074
11,$NKE,20170112,-0.6481517993035864
12,$NKE,20170113,-0.7467177841398451
13,$NKE,20170114,-0.7045808623234431
14,$NKE,20170115,-0.7199637608094649
15,$NKE,20170116,-0.6993884154268213
16,$NKE,20170117,-0.45881072089478775
17,$NKE,20170118,-0.37434791525204975
18,$NKE,20170119,-0.3425907611846924
19,$NKE,20170120,-0.5013014926629908
20,$NKE,20170121,-0.5278323798468618
21,$NKE,20170122,-0.584669584265122
22,$NKE,20170123,-0.5676238880707667
23,$NKE,20170124,-0.7066634983727427
24,$NKE,20170125,-0.7474716995891771
25,$NKE,20170126,-0.7182379294844234
26,$NKE,20170127,-0.6275425517736976
27,$NKE,20170128,-0.49114078760147095
28,$NKE,20170129,-0.48597872091664207
29,$NKE,20170130,-0.6385081464594061
30,$NKE,20170131,-0.5713205771012739
31,$NKE,20170201,-0.6407317632361303
32,$NKE,20170202,-0.6391886673543764
33,$NKE,20170203,-0.7334575738225665
34,$NKE,20170204,-0.5840167693189673
35,$NKE,20170205,-0.646095468600591
36,$NKE,20170206,-0.6555536538362503
37,$NKE,20170207,-0.7886893172417918
38,$NKE,20170208,-0.7265826335975102
39,$NKE,20170209,-0.7216319295076223
40,$NKE,20170210,-0.6878158701471535
41,$NKE,20170211,-0.6205436043441296
42,$NKE,20170212,-0.5387971975586631
43,$NKE,20170213,-0.4388599236806234
44,$NKE,20170214,-0.3920901700854301
45,$NKE,20170215,-0.46260688260749533
46,$NKE,20170216,-0.4806604450568557
47,$NKE,20170217,-0.6522345734092424
48,$NKE,20170218,-0.7027699676426974
49,$NKE,20170219,-0.6503665524144326
50,$NKE,20170220,-0.5530507404070634
51,$NKE,20170221,-0.5037978771660063
52,$NKE,20170222,-0.7273490761601648
53,$NKE,20170223,-0.627853031885826
54,$NKE,20170224,-0.5180398765064421
55,$NKE,20170225,-0.5075266747562973
56,$NKE,20170226,-0.6179910074262058
57,$NKE,20170227,-0.8139730095863342
58,$NKE,20170228,-0.7268889725208283
59,$NKE,20170301,-0.733239670010174
60,$NKE,20170302,-0.7469980016998623
61,$NKE,20170303,-0.6411786801539935
62,$NKE,20170304,-0.543094199012827
63,$NKE,20170305,-0.514838805858125
64,$NKE,20170306,-0.5203043205870522
65,$NKE,20170307,-0.6347209718078375
66,$NKE,20170308,-0.572098175684611
67,$NKE,20170309,-0.5113951436110905
68,$NKE,20170310,-0.5188249047488382
69,$NKE,20170311,-0.5537685507110187
70,$NKE,20170312,-0.7838409077376127
71,$NKE,20170313,-0.8688726373340773
72,$NKE,20170314,-0.827182783800013
73,$NKE,20170315,-0.6045971572399139
74,$NKE,20170316,-0.6064979415091257
75,$NKE,20170317,-0.5497862667806687
76,$NKE,20170318,-0.6355276067378157
77,$NKE,20170319,-0.6656855547002384
78,$NKE,20170320,-0.5006154671049955
79,$NKE,20170321,-0.41144729096715044
80,$NKE,20170322,-0.2890698328996316
81,$NKE,20170323,-0.5208191654898904
82,$NKE,20170324,-0.5728393706930689
83,$NKE,20170325,-0.6009728418456184
84,$NKE,20170326,-0.6149500129652805
85,$NKE,20170327,-0.5006139162513945
86,$NKE,20170328,-0.40913343003817965
87,$NKE,20170329,-0.5783327085072877
88,$NKE,20170330,-0.6073546319791715
89,$NKE,20170331,-0.6812116148925963
90,$NKE,20170401,-0.6381804565588634
91,$NKE,20170402,-0.7414350347085432
92,$NKE,20170403,-0.6646073975346305
93,$NKE,20170404,-0.846166554093361
94,$NKE,20170405,-0.7580859832844492
95,$NKE,20170406,-0.7489843561615742
96,$NKE,20170407,-0.7225997770418886
97,$NKE,20170408,-0.6259710222987805
98,$NKE,20170409,-0.6050003191881013
99,$NKE,20170410,-0.578963475757175
100,$NKE,20170411,-0.6426497908199534
101,$NKE,20170412,-0.5552300915122033
102,$NKE,20170413,-0.507240209796212
103,$NKE,20170414,-0.4817103385925293
104,$NKE,20170415,-0.4665361565092336
105,$NKE,20170416,-0.3699060151210198
106,$NKE,20170417,-0.48871561139822006
107,$NKE,20170418,-0.5736780269392605
108,$NKE,20170419,-0.721915819644928
109,$NKE,20170420,-0.727832896224523
110,$NKE,20170421,-0.768885654918218
111,$NKE,20170422,-0.7659464454164311
112,$NKE,20170423,-0.6797478419763071
113,$NKE,20170424,-0.7362773759024483
114,$NKE,20170425,-0.677083831207425
115,$NKE,20170426,-0.7679700864397961
116,$NKE,20170427,-0.7615381020014403
117,$NKE,20170428,-0.7426501512527466
118,$NKE,20170429,-0.7203675232551716
119,$NKE,20170430,-0.6320913031697273
120,$NKE,20170501,-0.5768238470472139
121,$NKE,20170502,-0.6450916550777577
122,$NKE,20170503,-0.6324812029347275
123,$NKE,20170504,-0.6642699065533552
124,$NKE,20170505,-0.5118538815042247
125,$NKE,20170506,-0.5896214746659801
126,$NKE,20170507,-0.635727863266783
127,$NKE,20170508,-0.7525223915775617
128,$NKE,20170509,-0.767183547670191
129,$NKE,20170510,-0.5528841543197632
130,$NKE,20170511,-0.5247641400415071
131,$NKE,20170512,-0.5081615825088657
132,$NKE,20170513,-0.7523820647653544
133,$NKE,20170514,-0.7109222444621
134,$NKE,20170515,-0.6860321179816598
135,$NKE,20170516,-0.5250056822125505
136,$NKE,20170517,-0.6150668446834271
137,$NKE,20170518,-0.6212693386607699
