,Stock,date,action_prob
0,$RTX,20180101,0
1,$RTX,20180102,0
2,$RTX,20180103,0
3,$RTX,20180104,0.5470729470252991
4,$RTX,20180105,-0.22184333205223083
5,$RTX,20180106,-0.22184333205223083
6,$RTX,20180107,-0.9907596111297607
7,$RTX,20180108,0
8,$RTX,20180109,0
9,$RTX,20180110,0
10,$RTX,20180111,0
11,$RTX,20180112,0
12,$RTX,20180113,0
13,$RTX,20180114,0
14,$RTX,20180115,0
15,$RTX,20180116,0
16,$RTX,20180117,0
17,$RTX,20180118,0
18,$RTX,20180119,0
19,$RTX,20180120,0
20,$RTX,20180121,0
21,$RTX,20180122,0
22,$RTX,20180123,0
23,$RTX,20180124,0
24,$RTX,20180125,0
25,$RTX,20180126,0.8465700745582581
26,$RTX,20180127,0.8465700745582581
27,$RTX,20180128,0.8465700745582581
28,$RTX,20180129,0
29,$RTX,20180130,0
30,$RTX,20180131,0
31,$RTX,20180201,0.8752298355102539
32,$RTX,20180202,0.8752298355102539
33,$RTX,20180203,0.8752298355102539
34,$RTX,20180204,0
35,$RTX,20180205,0
36,$RTX,20180206,0
37,$RTX,20180207,0
38,$RTX,20180208,0
39,$RTX,20180209,0
40,$RTX,20180210,0
41,$RTX,20180211,0
42,$RTX,20180212,0
43,$RTX,20180213,0
44,$RTX,20180214,0
45,$RTX,20180215,0
46,$RTX,20180216,0
47,$RTX,20180217,0
48,$RTX,20180218,0
49,$RTX,20180219,0
50,$RTX,20180220,0
51,$RTX,20180221,0
52,$RTX,20180222,0
53,$RTX,20180223,0
54,$RTX,20180224,0
55,$RTX,20180225,0
56,$RTX,20180226,0
57,$RTX,20180227,0
58,$RTX,20180228,0
59,$RTX,20180301,0.8044664263725281
60,$RTX,20180302,0.8044664263725281
61,$RTX,20180303,0.8044664263725281
62,$RTX,20180304,0
63,$RTX,20180305,0
64,$RTX,20180306,0
65,$RTX,20180307,0
66,$RTX,20180308,0
67,$RTX,20180309,0
68,$RTX,20180310,0
69,$RTX,20180311,0
70,$RTX,20180312,0
71,$RTX,20180313,0
72,$RTX,20180314,0
73,$RTX,20180315,0
74,$RTX,20180316,0
75,$RTX,20180317,0
76,$RTX,20180318,0
77,$RTX,20180319,0
78,$RTX,20180320,0
79,$RTX,20180321,0
80,$RTX,20180322,0
81,$RTX,20180323,0
82,$RTX,20180324,0
83,$RTX,20180325,0
84,$RTX,20180326,0
85,$RTX,20180327,0
86,$RTX,20180328,0.9674999713897705
87,$RTX,20180329,0.9674999713897705
88,$RTX,20180330,0.9674999713897705
89,$RTX,20180331,0
90,$RTX,20180401,0
91,$RTX,20180402,0
92,$RTX,20180403,0
93,$RTX,20180404,0
94,$RTX,20180405,-0.006940096616744995
95,$RTX,20180406,-0.006940096616744995
96,$RTX,20180407,-0.006940096616744995
97,$RTX,20180408,0
98,$RTX,20180409,0
99,$RTX,20180410,0
100,$RTX,20180411,0
101,$RTX,20180412,0
102,$RTX,20180413,0
103,$RTX,20180414,0
104,$RTX,20180415,0
105,$RTX,20180416,0
106,$RTX,20180417,0
107,$RTX,20180418,0
108,$RTX,20180419,0
109,$RTX,20180420,0
110,$RTX,20180421,0
111,$RTX,20180422,0
112,$RTX,20180423,0
113,$RTX,20180424,0
114,$RTX,20180425,0
115,$RTX,20180426,0
