,Stock,date,action_prob
0,$TRV,20180101,0
1,$TRV,20180102,0.11311660706996918
2,$TRV,20180103,-0.2883690317471822
3,$TRV,20180104,-0.30351293370837257
4,$TRV,20180105,-0.2966978013515472
5,$TRV,20180106,-0.49785183370113373
6,$TRV,20180107,-0.5481875075234307
7,$TRV,20180108,-0.734926737844944
8,$TRV,20180109,-0.32664453652169967
9,$TRV,20180110,-0.5139162653968448
10,$TRV,20180111,-0.5996985104348924
11,$TRV,20180112,-0.7979422476556566
12,$TRV,20180113,-0.5577848622432122
13,$TRV,20180114,-0.5250854172876903
14,$TRV,20180115,-0.4708334386348724
15,$TRV,20180116,-0.8359291939174428
16,$TRV,20180117,-0.9345080902179083
17,$TRV,20180118,-0.6635875433683396
18,$TRV,20180119,-0.5205258556774685
19,$TRV,20180120,-0.4028184207586142
20,$TRV,20180121,-0.5008608746528626
21,$TRV,20180122,-0.38235197961330414
22,$TRV,20180123,-0.26391102208031547
23,$TRV,20180124,-0.15033115081067355
24,$TRV,20180125,-0.3290842669084668
25,$TRV,20180126,-0.3716834481333343
26,$TRV,20180127,-0.5977840575517392
27,$TRV,20180128,-0.4351716568303663
28,$TRV,20180129,-0.4560480202947344
29,$TRV,20180130,-0.4235729246303953
30,$TRV,20180131,-0.42926695006234306
31,$TRV,20180201,-0.35246991448932224
32,$TRV,20180202,-0.32762947602149767
33,$TRV,20180203,-0.2628885738311275
34,$TRV,20180204,-0.40990067580166983
35,$TRV,20180205,-0.36416685779889424
36,$TRV,20180206,-0.40545704490260076
37,$TRV,20180207,-0.36403617858886717
38,$TRV,20180208,-0.4495602515008714
39,$TRV,20180209,-0.618272346608779
40,$TRV,20180210,-0.6105166577523754
41,$TRV,20180211,-0.5952731211980183
42,$TRV,20180212,-0.5637829485146896
43,$TRV,20180213,-0.5188011548348835
44,$TRV,20180214,-0.2809715693996799
45,$TRV,20180215,-0.16760833360053398
46,$TRV,20180216,-0.1732581886085304
47,$TRV,20180217,-0.4620274626291715
48,$TRV,20180218,-0.585188753264291
49,$TRV,20180219,-0.7236895084381103
50,$TRV,20180220,-0.5560266034943717
51,$TRV,20180221,-0.6355351169904073
52,$TRV,20180222,-0.4777049703730477
53,$TRV,20180223,-0.45938774735428567
54,$TRV,20180224,-0.35657036304473877
55,$TRV,20180225,-0.35463417002132963
56,$TRV,20180226,-0.48571618225263513
57,$TRV,20180227,-0.4116929084062576
58,$TRV,20180228,-0.4742413525070463
59,$TRV,20180301,-0.41635516166687014
60,$TRV,20180302,-0.4833231134848161
61,$TRV,20180303,-0.4993966880597566
62,$TRV,20180304,-0.6543870461838586
63,$TRV,20180305,-0.6041714568291942
64,$TRV,20180306,-0.659852389494578
65,$TRV,20180307,-0.40806337126663755
66,$TRV,20180308,-0.42250943952991116
67,$TRV,20180309,-0.4225198895700516
68,$TRV,20180310,-0.500569811573735
69,$TRV,20180311,-0.602525738307408
70,$TRV,20180312,-0.6119107802708944
71,$TRV,20180313,-0.6266373412476646
72,$TRV,20180314,-0.5632600549495581
73,$TRV,20180315,-0.484907050217901
74,$TRV,20180316,-0.49486016801425387
75,$TRV,20180317,-0.5047958573779544
76,$TRV,20180318,-0.5390274479985238
77,$TRV,20180319,-0.6442640556229485
78,$TRV,20180320,-0.6277878443400066
79,$TRV,20180321,-0.5345467858844333
80,$TRV,20180322,-0.22810728289186954
81,$TRV,20180323,-0.2583473447491141
82,$TRV,20180324,-0.2693902172825553
83,$TRV,20180325,-0.451287849744161
84,$TRV,20180326,-0.3708367443853809
85,$TRV,20180327,-0.6005846120062328
86,$TRV,20180328,-0.4310484423356898
87,$TRV,20180329,-0.6121441125869751
88,$TRV,20180330,-0.7201316489113702
89,$TRV,20180331,-0.8788589997725054
90,$TRV,20180401,-0.7117806490924623
91,$TRV,20180402,-0.6284145091970762
92,$TRV,20180403,-0.6272448499997457
93,$TRV,20180404,-0.9512676537036896
94,$TRV,20180405,-0.825529463150922
95,$TRV,20180406,-0.7742085275442704
96,$TRV,20180407,-0.7864943408966064
97,$TRV,20180408,-0.8079327813216618
98,$TRV,20180409,-0.8681665376613015
99,$TRV,20180410,-0.8403189112158382
100,$TRV,20180411,-0.9350968514169965
101,$TRV,20180412,-0.8029443356725905
102,$TRV,20180413,-0.6151275072778974
103,$TRV,20180414,-0.48144614831967786
104,$TRV,20180415,-0.4890226319778797
105,$TRV,20180416,-0.36013298895623946
106,$TRV,20180417,-0.6575537770986557
107,$TRV,20180418,-0.8043016890684763
108,$TRV,20180419,-0.7711637566486994
109,$TRV,20180420,-0.8990094065666199
110,$TRV,20180421,-0.649024954863957
111,$TRV,20180422,-0.6329652965068817
112,$TRV,20180423,-0.508084914263557
113,$TRV,20180424,-0.6082267652858387
114,$TRV,20180425,-0.622274137557821
115,$TRV,20180426,-0.6877303458750248
116,$TRV,20180427,-0.6615950345993042
117,$TRV,20180428,-0.7044719734857249
118,$TRV,20180429,-0.6571787144686725
119,$TRV,20180430,-0.7372355495180403
120,$TRV,20180501,-0.7249057292938232
121,$TRV,20180502,-0.8485952287912368
122,$TRV,20180503,-0.7372848164467585
123,$TRV,20180504,-0.6787644880158561
124,$TRV,20180505,-0.5947121168885913
125,$TRV,20180506,-0.4206738599709102
126,$TRV,20180507,-0.4066000216537052
127,$TRV,20180508,-0.5046102007230123
128,$TRV,20180509,-0.6760025790759495
129,$TRV,20180510,-0.7327480126510967
130,$TRV,20180511,-0.6509845938001361
131,$TRV,20180512,-0.7973263323307037
132,$TRV,20180513,-0.5524999591020437
133,$TRV,20180514,-0.5154686082493175
134,$TRV,20180515,-0.4361425729898306
135,$TRV,20180516,-0.7303369226663009
136,$TRV,20180517,-0.7824258037975856
137,$TRV,20180518,-0.7100977932705599
138,$TRV,20180519,-0.8201949435930985
139,$TRV,20180520,-0.7711162874192903
140,$TRV,20180521,-0.7870699907794143
141,$TRV,20180522,-0.5865811434659091
142,$TRV,20180523,-0.67156814274035
143,$TRV,20180524,-0.7320737317204475
144,$TRV,20180525,-0.8850689360073635
145,$TRV,20180526,-0.8910555024941762
146,$TRV,20180527,-0.7688068826993306
147,$TRV,20180528,-0.6120739628871282
148,$TRV,20180529,-0.5343858826728094
149,$TRV,20180530,-0.765233490202162
150,$TRV,20180531,-0.8377490733799181
151,$TRV,20180601,-0.7981887676499106
152,$TRV,20180602,-0.7304373720417852
153,$TRV,20180603,-0.7788684524987873
154,$TRV,20180604,-0.7294687852263451
155,$TRV,20180605,-0.7258421673494226
156,$TRV,20180606,-0.6581582665443421
157,$TRV,20180607,-0.7961607532841819
158,$TRV,20180608,-0.7836615133285523
159,$TRV,20180609,-0.7484999232821994
160,$TRV,20180610,-0.6920206844806671
161,$TRV,20180611,-0.8474424878756205
162,$TRV,20180612,-0.7501882182227241
163,$TRV,20180613,-0.7072682331005732
164,$TRV,20180614,-0.6903076145959937
165,$TRV,20180615,-0.8391466234859667
166,$TRV,20180616,-0.9494269609451294
167,$TRV,20180617,-0.9168553632848403
168,$TRV,20180618,-0.8922374562213296
169,$TRV,20180619,-0.7119282909802028
170,$TRV,20180620,-0.7757242233664902
171,$TRV,20180621,-0.7287768963724375
172,$TRV,20180622,-0.7891962230205536
173,$TRV,20180623,-0.7060474717255795
174,$TRV,20180624,-0.67608243227005
175,$TRV,20180625,-0.632244675323881
176,$TRV,20180626,-0.5737397183071483
177,$TRV,20180627,-0.4146511788879122
178,$TRV,20180628,-0.36536542971928915
179,$TRV,20180629,-0.49184662464893225
180,$TRV,20180630,-0.7174065951257944
181,$TRV,20180701,-0.7789215862751007
182,$TRV,20180702,-0.6504634981570037
183,$TRV,20180703,-0.5894157829738799
184,$TRV,20180704,-0.745000307559967
185,$TRV,20180705,-0.7530616402626038
186,$TRV,20180706,-0.4758225406209628
187,$TRV,20180707,-0.34551223119099933
188,$TRV,20180708,-0.43707711895306905
189,$TRV,20180709,-0.668250954576901
190,$TRV,20180710,-0.7625233592658207
191,$TRV,20180711,-0.7760763896836175
192,$TRV,20180712,-0.6645819526165724
193,$TRV,20180713,-0.6698600270531394
194,$TRV,20180714,-0.5990179914694566
195,$TRV,20180715,-0.49837983881725983
196,$TRV,20180716,-0.3346715250185558
197,$TRV,20180717,-0.23746165244475656
198,$TRV,20180718,-0.3234372138977051
199,$TRV,20180719,-0.24917714794476828
200,$TRV,20180720,-0.4078341214383235
201,$TRV,20180721,-0.49420977930227916
202,$TRV,20180722,-0.5135018173253761
203,$TRV,20180723,-0.5186598002910614
204,$TRV,20180724,-0.3609746606261642
205,$TRV,20180725,-0.5397579669952393
206,$TRV,20180726,-0.5532289813546574
207,$TRV,20180727,-0.49340511560440065
208,$TRV,20180728,-0.3553893989132297
209,$TRV,20180729,-0.27430204276380865
210,$TRV,20180730,-0.4389690018835522
211,$TRV,20180731,-0.5031373886501088
212,$TRV,20180801,-0.5343694857188633
213,$TRV,20180802,-0.5229845079215797
214,$TRV,20180803,-0.5939569820960363
215,$TRV,20180804,-0.6180382200649807
216,$TRV,20180805,-0.6480138550202051
217,$TRV,20180806,-0.6423353950182596
218,$TRV,20180807,-0.5071712817464556
219,$TRV,20180808,-0.33699546328612734
220,$TRV,20180809,-0.48348392963409426
221,$TRV,20180810,-0.49273780812608436
222,$TRV,20180811,-0.617877859208319
223,$TRV,20180812,-0.41820653279622394
224,$TRV,20180813,-0.6508322150810905
225,$TRV,20180814,-0.6486331962403797
226,$TRV,20180815,-0.6861752427142599
227,$TRV,20180816,-0.5156779170036316
228,$TRV,20180817,-0.4878980815410614
229,$TRV,20180818,-0.51827445824941
230,$TRV,20180819,-0.4185853401819865
231,$TRV,20180820,-0.41538444587162565
232,$TRV,20180821,-0.36744124638406855
233,$TRV,20180822,-0.5982553660869598
234,$TRV,20180823,-0.6525993805665237
235,$TRV,20180824,-0.6373470064365503
236,$TRV,20180825,-0.6874167346037351
237,$TRV,20180826,-0.6916513305443984
238,$TRV,20180827,-0.7470003098249436
239,$TRV,20180828,-0.6235421419143676
240,$TRV,20180829,-0.40268670320510863
241,$TRV,20180830,-0.5641652240472681
242,$TRV,20180831,-0.7275471455521054
243,$TRV,20180901,-0.6250298718611399
244,$TRV,20180902,-0.6384984701871872
245,$TRV,20180903,-0.6707887706302461
246,$TRV,20180904,-0.6789046615362168
247,$TRV,20180905,-0.6305883973836899
248,$TRV,20180906,-0.3634435269567702
