,Stock,date,action_prob
0,$VZ,20180101,0
1,$VZ,20180102,0.8105602661768595
2,$VZ,20180103,-0.23494019985198974
3,$VZ,20180104,-0.15746176467751558
4,$VZ,20180105,-0.23397952649328443
5,$VZ,20180106,-0.2227823522530104
6,$VZ,20180107,-0.2885083823061701
7,$VZ,20180108,-0.19286904849258124
8,$VZ,20180109,-0.061265334486961365
9,$VZ,20180110,-0.22910921593181421
10,$VZ,20180111,-0.39327358747973584
11,$VZ,20180112,-0.5753368474543095
12,$VZ,20180113,-0.4279061456521352
13,$VZ,20180114,-0.26586115625169543
14,$VZ,20180115,-0.27857253779756264
15,$VZ,20180116,-0.3119888854961769
16,$VZ,20180117,-0.4402733930086685
17,$VZ,20180118,-0.41091897683357126
18,$VZ,20180119,-0.38509184930284146
19,$VZ,20180120,-0.41393993397553763
20,$VZ,20180121,-0.5613987445831299
21,$VZ,20180122,-0.6547105325592889
22,$VZ,20180123,-0.5099190771579742
23,$VZ,20180124,-0.3813356766477227
24,$VZ,20180125,-0.3948888917054449
25,$VZ,20180126,-0.280789390206337
26,$VZ,20180127,-0.3033024072647095
27,$VZ,20180128,-0.3572835922241211
28,$VZ,20180129,-0.6130566580428017
29,$VZ,20180130,-0.6047982379146244
30,$VZ,20180131,-0.548097106317679
31,$VZ,20180201,-0.5254915151745081
32,$VZ,20180202,-0.40730943762022875
33,$VZ,20180203,-0.3251085545195908
34,$VZ,20180204,-0.33721919251339777
35,$VZ,20180205,-0.41003486399467176
36,$VZ,20180206,-0.39931513504548505
37,$VZ,20180207,-0.38683686391362604
38,$VZ,20180208,-0.3370105656129973
39,$VZ,20180209,-0.45329508314961975
40,$VZ,20180210,-0.43513613595412326
41,$VZ,20180211,-0.5263080857016823
42,$VZ,20180212,-0.5338103823039843
43,$VZ,20180213,-0.4848638743889041
44,$VZ,20180214,-0.38197890312775323
45,$VZ,20180215,-0.38103655974070233
46,$VZ,20180216,-0.37947208881378175
47,$VZ,20180217,-0.4700404112799126
48,$VZ,20180218,-0.5275764270969059
49,$VZ,20180219,-0.5877536412547616
50,$VZ,20180220,-0.48459889797063976
51,$VZ,20180221,-0.5644356595973173
52,$VZ,20180222,-0.46277322191180603
53,$VZ,20180223,-0.3973606024702934
54,$VZ,20180224,-0.14159241517384846
55,$VZ,20180225,-0.19524568684247076
56,$VZ,20180226,-0.2481269630102011
57,$VZ,20180227,-0.3016778686467339
58,$VZ,20180228,-0.32763716540759125
59,$VZ,20180301,-0.30630086064338685
60,$VZ,20180302,-0.3639915176800319
61,$VZ,20180303,-0.35942285921838546
62,$VZ,20180304,-0.47633062890081695
63,$VZ,20180305,-0.4597509673663548
64,$VZ,20180306,-0.45672377418069277
65,$VZ,20180307,-0.29859042342971354
66,$VZ,20180308,-0.31671526407202083
67,$VZ,20180309,-0.4074706717541343
68,$VZ,20180310,-0.3615993204570952
69,$VZ,20180311,-0.4589444090580118
70,$VZ,20180312,-0.32481932640075684
71,$VZ,20180313,-0.47025584890728905
72,$VZ,20180314,-0.44014121676391027
73,$VZ,20180315,-0.42724265796797617
74,$VZ,20180316,-0.3886870864559622
75,$VZ,20180317,-0.35554635311876026
76,$VZ,20180318,-0.44864078868519175
77,$VZ,20180319,-0.47571770197305924
78,$VZ,20180320,-0.5867511701583862
79,$VZ,20180321,-0.5187081225374912
80,$VZ,20180322,-0.6065686456859112
81,$VZ,20180323,-0.4231179689956924
82,$VZ,20180324,-0.44436298821070425
83,$VZ,20180325,-0.3495434847059129
84,$VZ,20180326,-0.37331864075227217
85,$VZ,20180327,-0.3484995406727458
86,$VZ,20180328,-0.48995520039038226
87,$VZ,20180329,-0.5240012605985006
88,$VZ,20180330,-0.5760500229456845
89,$VZ,20180331,-0.5768658230702083
90,$VZ,20180401,-0.495253747260129
91,$VZ,20180402,-0.46024835109710693
92,$VZ,20180403,-0.4122667805506633
93,$VZ,20180404,-0.4661338956732499
94,$VZ,20180405,-0.40215086936950684
95,$VZ,20180406,-0.38037131681586756
96,$VZ,20180407,-0.49479339680364054
97,$VZ,20180408,-0.523291565477848
98,$VZ,20180409,-0.6573031663894653
99,$VZ,20180410,-0.4898391325365413
100,$VZ,20180411,-0.5599828577432476
101,$VZ,20180412,-0.5820413024136515
102,$VZ,20180413,-0.5510670185089112
103,$VZ,20180414,-0.5014297340957212
104,$VZ,20180415,-0.46379610340474015
105,$VZ,20180416,-0.4603715747594833
106,$VZ,20180417,-0.1841217383094456
107,$VZ,20180418,-0.1649528268505545
108,$VZ,20180419,-0.2660017027741387
109,$VZ,20180420,-0.4495494541796771
110,$VZ,20180421,-0.6174071662280024
111,$VZ,20180422,-0.4835536634480512
112,$VZ,20180423,-0.4055096886374734
113,$VZ,20180424,-0.18282224796712399
114,$VZ,20180425,-0.2557356765395717
115,$VZ,20180426,-0.4931561507162501
116,$VZ,20180427,-0.5391382857904596
117,$VZ,20180428,-0.6005041358763712
118,$VZ,20180429,-0.466075752269138
119,$VZ,20180430,-0.44112375842200385
120,$VZ,20180501,-0.5432387225481928
121,$VZ,20180502,-0.6003854233643104
122,$VZ,20180503,-0.6142045785983403
123,$VZ,20180504,-0.69944296002388
124,$VZ,20180505,-0.675549120319133
125,$VZ,20180506,-0.668773128872826
126,$VZ,20180507,-0.715980139043596
127,$VZ,20180508,-0.784018859781068
128,$VZ,20180509,-0.5816492858258161
129,$VZ,20180510,-0.42472258481112396
130,$VZ,20180511,-0.4608625353328765
131,$VZ,20180512,-0.5028789887180576
132,$VZ,20180513,-0.5326437586918473
133,$VZ,20180514,-0.5250219713177597
134,$VZ,20180515,-0.5191713957225575
135,$VZ,20180516,-0.5280643658204512
136,$VZ,20180517,-0.5326513285222261
137,$VZ,20180518,-0.5537881720555972
138,$VZ,20180519,-0.6081310702582537
139,$VZ,20180520,-0.5498119851817256
140,$VZ,20180521,-0.6053991317749023
141,$VZ,20180522,-0.5792256022493044
142,$VZ,20180523,-0.5145536937095501
143,$VZ,20180524,-0.38505851708609484
144,$VZ,20180525,-0.36821920947825654
145,$VZ,20180526,-0.49455845753351846
146,$VZ,20180527,-0.6200833055708144
147,$VZ,20180528,-0.6478386404467564
148,$VZ,20180529,-0.6491282175887715
149,$VZ,20180530,-0.6827114510039488
150,$VZ,20180531,-0.4536734938621521
151,$VZ,20180601,-0.48887471390552206
152,$VZ,20180602,-0.2970507457608082
153,$VZ,20180603,-0.47374054735357113
154,$VZ,20180604,-0.33568722382187843
155,$VZ,20180605,-0.4713773256854007
156,$VZ,20180606,-0.3270690653059218
157,$VZ,20180607,-0.49819119345574153
158,$VZ,20180608,-0.5275260368982951
159,$VZ,20180609,-0.49159391646115286
160,$VZ,20180610,-0.4629695148303591
161,$VZ,20180611,-0.41563489562586736
162,$VZ,20180612,-0.3642810447649522
163,$VZ,20180613,-0.26258920273690856
164,$VZ,20180614,-0.40779903944995666
165,$VZ,20180615,-0.4022899545156039
166,$VZ,20180616,-0.4928490700143756
167,$VZ,20180617,-0.5034609772942283
168,$VZ,20180618,-0.6638019261536775
169,$VZ,20180619,-0.6658877037292303
170,$VZ,20180620,-0.6304049630497777
171,$VZ,20180621,-0.4668542600813366
172,$VZ,20180622,-0.44263009786605834
173,$VZ,20180623,-0.18008498000163659
174,$VZ,20180624,-0.26782764920166563
175,$VZ,20180625,-0.2930887924863937
176,$VZ,20180626,-0.5525795148343456
177,$VZ,20180627,-0.5212981623987998
178,$VZ,20180628,-0.5049043260514736
179,$VZ,20180629,-0.4414814434189727
180,$VZ,20180630,-0.4301837205886841
181,$VZ,20180701,-0.44148944318294525
182,$VZ,20180702,-0.5296383938010858
183,$VZ,20180703,-0.5208001732826233
184,$VZ,20180704,-0.5050079190731048
185,$VZ,20180705,-0.37741469089374985
186,$VZ,20180706,-0.3956123445092178
187,$VZ,20180707,-0.24504776298999786
188,$VZ,20180708,-0.4172275165716807
189,$VZ,20180709,-0.48165291439403185
190,$VZ,20180710,-0.6505154653599388
191,$VZ,20180711,-0.5592739029628474
192,$VZ,20180712,-0.37987027281806585
193,$VZ,20180713,-0.37006303543845814
194,$VZ,20180714,-0.3579172194004059
195,$VZ,20180715,-0.4138678956676174
196,$VZ,20180716,-0.592982047643417
197,$VZ,20180717,-0.5502704312635023
