,Stock,date,action_prob
0,$V,20180101,0
1,$V,20180102,-0.5474642448955112
2,$V,20180103,-0.23765287933678464
3,$V,20180104,-0.21888258680701256
4,$V,20180105,-0.10586566097882329
5,$V,20180106,-0.14256294718328513
6,$V,20180107,-0.224087298980781
7,$V,20180108,-0.2512922091917558
8,$V,20180109,-0.21120900013407723
9,$V,20180110,-0.21045055519789457
10,$V,20180111,-0.1997543704019834
11,$V,20180112,-0.2924857841597663
12,$V,20180113,-0.17956242877609876
13,$V,20180114,-0.3478462788793776
14,$V,20180115,-0.23295529718909944
15,$V,20180116,-0.22350770615516824
16,$V,20180117,-0.1722380628391188
17,$V,20180118,-0.33201996237039566
18,$V,20180119,-0.3718777264540012
19,$V,20180120,-0.4116686522960663
20,$V,20180121,-0.4233702961355448
21,$V,20180122,-0.5104921506900414
22,$V,20180123,-0.39881852970403786
23,$V,20180124,-0.33980806210102177
24,$V,20180125,-0.4856910841031508
25,$V,20180126,-0.5876820936347499
26,$V,20180127,-0.48812657594680786
27,$V,20180128,-0.23379363268613815
28,$V,20180129,-0.16941466792063278
29,$V,20180130,-0.22330837983351487
30,$V,20180131,-0.3244490772485733
31,$V,20180201,-0.38261622190475464
32,$V,20180202,-0.45174135186455466
33,$V,20180203,-0.42945390355353263
34,$V,20180204,-0.45146690011024476
35,$V,20180205,-0.33662214366401116
36,$V,20180206,-0.4768494941971519
37,$V,20180207,-0.4387949571317556
38,$V,20180208,-0.5929888824246964
39,$V,20180209,-0.5727653198125886
40,$V,20180210,-0.6666424924677069
41,$V,20180211,-0.6215683880605196
42,$V,20180212,-0.34393144051233926
43,$V,20180213,-0.3600518600694064
44,$V,20180214,-0.30484745594171375
45,$V,20180215,-0.28610900600077743
46,$V,20180216,-0.3037049522002538
47,$V,20180217,-0.3634207440634905
48,$V,20180218,-0.4359331793255276
49,$V,20180219,-0.36233124710046327
50,$V,20180220,-0.38043805302643197
51,$V,20180221,-0.4811892371092524
52,$V,20180222,-0.6010713534695762
53,$V,20180223,-0.46579310874785146
54,$V,20180224,-0.37516917288303375
55,$V,20180225,-0.2952211037278175
56,$V,20180226,-0.3960403590588956
57,$V,20180227,-0.23182672680469982
58,$V,20180228,-0.23497123767932257
59,$V,20180301,-0.25800731247418546
60,$V,20180302,-0.36168775341727516
61,$V,20180303,-0.3591953674952189
62,$V,20180304,-0.2963828321160941
63,$V,20180305,-0.2163320003815417
64,$V,20180306,-0.2965288946503087
65,$V,20180307,-0.46623908962522237
66,$V,20180308,-0.5512606963515282
67,$V,20180309,-0.25674201250076295
68,$V,20180310,-0.2259555703827313
69,$V,20180311,-0.23140672995493963
70,$V,20180312,-0.42658853253652884
71,$V,20180313,-0.31817113927432467
72,$V,20180314,-0.4979226417266406
73,$V,20180315,-0.42688876762986183
74,$V,20180316,-0.5455463422882941
75,$V,20180317,-0.3118571293981452
76,$V,20180318,-0.36997603873411816
77,$V,20180319,-0.4126092645857069
78,$V,20180320,-0.4077479528884093
79,$V,20180321,-0.4236175919833936
80,$V,20180322,-0.15143325924873352
81,$V,20180323,-0.23159280624882927
82,$V,20180324,-0.15190013877132483
83,$V,20180325,-0.29513514258644796
84,$V,20180326,-0.2722468188515416
85,$V,20180327,-0.2185061090397385
86,$V,20180328,-0.29066193635974613
87,$V,20180329,-0.24418779632501436
88,$V,20180330,-0.3515288283427556
89,$V,20180331,-0.36113236253223724
90,$V,20180401,-0.4158930788960373
91,$V,20180402,-0.4751527932557193
92,$V,20180403,-0.5442308681767162
93,$V,20180404,-0.5080148716058049
94,$V,20180405,-0.47417361989165796
95,$V,20180406,-0.35879025515168905
96,$V,20180407,-0.38460679784897833
97,$V,20180408,-0.34987841990956087
98,$V,20180409,-0.5096768613131542
99,$V,20180410,-0.3084726702083241
100,$V,20180411,-0.23261818715504237
101,$V,20180412,-0.12372095760751943
102,$V,20180413,-0.11380908535976036
103,$V,20180414,-0.21707174695771317
104,$V,20180415,-0.35086977228205257
105,$V,20180416,-0.4467147435897436
106,$V,20180417,-0.4861168308955867
107,$V,20180418,-0.4696049373977038
108,$V,20180419,-0.4468021766614106
109,$V,20180420,-0.4134339071237124
110,$V,20180421,-0.29757251788158806
111,$V,20180422,-0.2876890942454338
112,$V,20180423,-0.15934400558471679
113,$V,20180424,0.016672621382043718
114,$V,20180425,-0.17541830773864472
115,$V,20180426,-0.181927749339272
116,$V,20180427,-0.285335819537823
117,$V,20180428,-0.11816878394877657
118,$V,20180429,-0.1563099836691832
119,$V,20180430,-0.3860326813799994
120,$V,20180501,-0.2602242946624756
121,$V,20180502,-0.32215000123813237
122,$V,20180503,-0.29370616013939316
123,$V,20180504,-0.4203950387460214
124,$V,20180505,-0.38231848132225776
125,$V,20180506,-0.405490357875824
126,$V,20180507,-0.5314193762265719
127,$V,20180508,-0.5803615430305744
128,$V,20180509,-0.5749581319386842
129,$V,20180510,-0.3533051198179072
130,$V,20180511,-0.35131937076175024
131,$V,20180512,-0.2834909160931905
132,$V,20180513,-0.5706610316410661
133,$V,20180514,-0.5648445808887481
134,$V,20180515,-0.6355076356137053
135,$V,20180516,-0.5112508512892813
136,$V,20180517,-0.4987842451062119
137,$V,20180518,-0.4259053287761552
138,$V,20180519,-0.3737609039653431
139,$V,20180520,-0.4018344834165753
140,$V,20180521,-0.4352106944374416
141,$V,20180522,-0.32075442509217694
142,$V,20180523,-0.3607018025297868
143,$V,20180524,-0.428420931885117
144,$V,20180525,-0.5332672595977783
145,$V,20180526,-0.4499891213206358
146,$V,20180527,-0.4665438938140869
147,$V,20180528,-0.44580909565313537
148,$V,20180529,-0.4725791361867165
149,$V,20180530,-0.48478988360385505
150,$V,20180531,-0.3092183920203662
151,$V,20180601,-0.38528339790575433
152,$V,20180602,-0.2259587895038516
153,$V,20180603,-0.3054623782634735
154,$V,20180604,-0.24085847205585903
155,$V,20180605,-0.20526451029275594
156,$V,20180606,-0.392240477932824
157,$V,20180607,-0.36645195429975336
158,$V,20180608,-0.4768490791320801
159,$V,20180609,-0.2577307182445861
160,$V,20180610,-0.3136768535925792
161,$V,20180611,-0.27802193803446634
162,$V,20180612,-0.4029882585824425
163,$V,20180613,-0.3699752426508701
164,$V,20180614,-0.4298805200627872
165,$V,20180615,-0.4583052857866827
166,$V,20180616,-0.5363738139470419
167,$V,20180617,-0.5662999590237935
168,$V,20180618,-0.5055479034781456
169,$V,20180619,-0.46596433249386876
170,$V,20180620,-0.4092575763833934
171,$V,20180621,-0.44604580799738563
172,$V,20180622,-0.4481999028974505
173,$V,20180623,-0.5581640375627054
174,$V,20180624,-0.5176198415217861
175,$V,20180625,-0.5950017729584052
176,$V,20180626,-0.6677613785100538
177,$V,20180627,-0.6541847640817816
178,$V,20180628,-0.5620037326889653
179,$V,20180629,-0.48048003738926304
180,$V,20180630,-0.4840264439582825
181,$V,20180701,-0.40369218587875366
182,$V,20180702,-0.3583953128920661
183,$V,20180703,-0.2481688603441766
184,$V,20180704,-0.2981554505959997
185,$V,20180705,-0.3233623711430297
186,$V,20180706,-0.5522887927514536
187,$V,20180707,-0.6397693657875061
188,$V,20180708,-0.5937617175719317
189,$V,20180709,-0.39771774326051984
190,$V,20180710,-0.325641049279107
191,$V,20180711,-0.12830789746909305
192,$V,20180712,-0.2519273562864824
193,$V,20180713,-0.24657505079054495
194,$V,20180714,-0.2453398523123368
195,$V,20180715,-0.2079432303050779
196,$V,20180716,-0.2523694940515467
197,$V,20180717,-0.28127426618621465
198,$V,20180718,-0.3114437381426493
199,$V,20180719,-0.2336807988938831
200,$V,20180720,-0.3471802873270852
201,$V,20180721,-0.3373232652556221
202,$V,20180722,-0.4057177639007568
203,$V,20180723,-0.17108645372920567
204,$V,20180724,-0.21794430453043717
205,$V,20180725,-0.200443392762771
206,$V,20180726,-0.45818998040379705
207,$V,20180727,-0.5359139185527275
208,$V,20180728,-0.4515256768948323
209,$V,20180729,-0.3224562180453333
210,$V,20180730,-0.3701301426218267
211,$V,20180731,-0.4601913923802583
212,$V,20180801,-0.45275716111063957
213,$V,20180802,-0.37237124366963165
214,$V,20180803,-0.3780742705914012
215,$V,20180804,-0.3933824139126277
216,$V,20180805,-0.30750755155295656
217,$V,20180806,-0.3448358003686114
218,$V,20180807,-0.37483492493629456
219,$V,20180808,-0.5549357147128494
220,$V,20180809,-0.5948706938670232
221,$V,20180810,-0.6366807368935131
222,$V,20180811,-0.7183615585168203
223,$V,20180812,-0.7123178708553314
224,$V,20180813,-0.7286598363588023
225,$V,20180814,-0.6012176122420874
226,$V,20180815,-0.5057773576226345
227,$V,20180816,-0.4682784378528595
228,$V,20180817,-0.4264738297462463
229,$V,20180818,-0.3818209797143936
230,$V,20180819,-0.3660027765836872
231,$V,20180820,-0.37329166291052834
232,$V,20180821,-0.5274421547321563
233,$V,20180822,-0.5143271672959421
234,$V,20180823,-0.6102791531332608
235,$V,20180824,-0.4388088269667192
236,$V,20180825,-0.3509165132418275
237,$V,20180826,-0.2264285738821383
238,$V,20180827,-0.29210165718145537
239,$V,20180828,-0.24444129544755686
240,$V,20180829,-0.17390496874677724
241,$V,20180830,-0.2626942578008619
242,$V,20180831,-0.438698714062319
243,$V,20180901,-0.3976037724345338
244,$V,20180902,-0.3667349297067393
245,$V,20180903,-0.23424992028703082
246,$V,20180904,-0.48176797995200527
247,$V,20180905,-0.5145678692742398
248,$V,20180906,-0.615051148114381
249,$V,20180907,-0.5705009527125601
250,$V,20180908,-0.4908991872447811
251,$V,20180909,-0.48737084500643674
252,$V,20180910,-0.5328621771600511
253,$V,20180911,-0.5865668043112143
254,$V,20180912,-0.5895683629946276
255,$V,20180913,-0.5114059329032898
256,$V,20180914,-0.424200608513572
257,$V,20180915,-0.359269092633174
258,$V,20180916,-0.3125987211242318
259,$V,20180917,-0.35461260443148407
260,$V,20180918,-0.4702590633006323
261,$V,20180919,-0.6762482619711331
262,$V,20180920,-0.584422761367427
263,$V,20180921,-0.5004221466871408
264,$V,20180922,-0.2789195378621419
265,$V,20180923,-0.3668626311213471
266,$V,20180924,-0.2065323930160672
267,$V,20180925,-0.12284445351567762
268,$V,20180926,-0.01305373225893293
269,$V,20180927,-0.2459056946966383
270,$V,20180928,-0.41567411593028475
271,$V,20180929,-0.3931861824767534
272,$V,20180930,-0.3705533786517818
273,$V,20181001,-0.46542682834700044
274,$V,20181002,-0.49226537639019535
275,$V,20181003,-0.5513584870716621
276,$V,20181004,-0.3877792092470022
277,$V,20181005,-0.27432553951556865
278,$V,20181006,-0.15292044236109806
279,$V,20181007,-0.09663494114290204
280,$V,20181008,-0.20198362607222337
281,$V,20181009,-0.44006813256466976
282,$V,20181010,-0.4530606465261491
283,$V,20181011,-0.4845776753639107
284,$V,20181012,-0.35539534091949465
285,$V,20181013,-0.35861165304573217
286,$V,20181014,-0.43490751708547276
287,$V,20181015,-0.4183173526165097
288,$V,20181016,-0.42008860987059926
289,$V,20181017,-0.2823842598332299
290,$V,20181018,-0.29304190618651255
291,$V,20181019,-0.25791835055059315
292,$V,20181020,-0.3392652751694263
293,$V,20181021,-0.28047002724238806
294,$V,20181022,-0.3466793432317931
295,$V,20181023,-0.26655997881075233
296,$V,20181024,-0.40924497445424396
297,$V,20181025,-0.5006584410484021
298,$V,20181026,-0.3560470675720888
299,$V,20181027,-0.3031130362959469
300,$V,20181028,-0.0697536983273246
301,$V,20181029,-0.22596494798307065
302,$V,20181030,-0.420517952153177
303,$V,20181031,-0.6245969324498564
304,$V,20181101,-0.6061538393082826
305,$V,20181102,-0.601955666073731
306,$V,20181103,-0.4719519250922733
307,$V,20181104,-0.42118370438378955
308,$V,20181105,-0.31939672040087835
309,$V,20181106,-0.2360484336697778
310,$V,20181107,-0.26679924807765265
311,$V,20181108,-0.20089061693711716
312,$V,20181109,-0.30054610630251327
313,$V,20181110,-0.3595635109656566
314,$V,20181111,-0.4510671630711623
315,$V,20181112,-0.4859231180614895
316,$V,20181113,-0.4919990703866288
317,$V,20181114,-0.40437554440847256
318,$V,20181115,-0.4360372668930462
319,$V,20181116,-0.39053784906864164
320,$V,20181117,-0.32822200370161503
321,$V,20181118,-0.4350605710693028
322,$V,20181119,-0.41908805793331516
323,$V,20181120,-0.473729574909577
324,$V,20181121,-0.44501711691127105
325,$V,20181122,-0.4413444072969498
326,$V,20181123,-0.49602083223206656
327,$V,20181124,-0.32126604426990857
328,$V,20181125,-0.4617373895260595
329,$V,20181126,-0.5563162996851164
330,$V,20181127,-0.49771682173013687
331,$V,20181128,-0.466337022682031
332,$V,20181129,-0.3605597352577468
333,$V,20181130,-0.47419080223355975
334,$V,20181201,-0.4136307124908154
335,$V,20181202,-0.47810591443588857
336,$V,20181203,-0.5812280430243566
337,$V,20181204,-0.6055573240706795
338,$V,20181205,-0.4874204130008303
339,$V,20181206,-0.5130645421243483
340,$V,20181207,-0.47496121459537083
341,$V,20181208,-0.29854725405227306
342,$V,20181209,-0.15394726395606995
343,$V,20181210,-0.15024324059486388
344,$V,20181211,-0.23082895676294962
345,$V,20181212,-0.3208855390548706
346,$V,20181213,-0.3267974399384998
347,$V,20181214,-0.4422719164898521
348,$V,20181215,-0.40330981520506054
349,$V,20181216,-0.5351753891730795
350,$V,20181217,-0.3736226863049446
351,$V,20181218,-0.4290292692184448
352,$V,20181219,-0.4096000172473766
353,$V,20181220,-0.5899709405437592
354,$V,20181221,-0.5968878885446969
355,$V,20181222,-0.47361142407445345
356,$V,20181223,-0.44458278499800585
357,$V,20181224,-0.48290184512734413
358,$V,20181225,-0.467274306501661
359,$V,20181226,-0.4458626202634863
360,$V,20181227,-0.2594236512978872
361,$V,20181228,-0.2833869724857564
362,$V,20181229,-0.17366096453788954
363,$V,20181230,0
364,$V,20181231,0
365,$V,20190101,0
366,$V,20190102,-0.45362726350625354
367,$V,20190103,-0.36295824870467186
368,$V,20190104,-0.351244052626052
369,$V,20190105,-0.3124366080174681
370,$V,20190106,-0.39993029832839966
371,$V,20190107,-0.4140126426169213
372,$V,20190108,-0.19366899251937866
373,$V,20190109,-0.07997843623161316
374,$V,20190110,-0.0025521740317344666
375,$V,20190111,-0.08653518358866373
376,$V,20190112,-0.11902029187448564
377,$V,20190113,-0.2659347268442313
378,$V,20190114,-0.38818451838615614
379,$V,20190115,-0.37005388250156324
380,$V,20190116,-0.3185858945457303
381,$V,20190117,-0.21854949103934423
382,$V,20190118,-0.25707189072953895
383,$V,20190119,-0.2860752755945379
384,$V,20190120,-0.4163295100716984
385,$V,20190121,-0.4276511871589805
386,$V,20190122,-0.4502084179358049
387,$V,20190123,-0.37401245610188627
388,$V,20190124,-0.31500941905819
389,$V,20190125,-0.27063808876734513
390,$V,20190126,-0.3692212635820562
391,$V,20190127,-0.16432308709179913
392,$V,20190128,-0.12197892754166215
393,$V,20190129,0.06523643041911878
394,$V,20190130,-0.2491595245176746
395,$V,20190131,-0.11247567653656006
396,$V,20190201,-0.16732778206263502
397,$V,20190202,-0.17690541893243789
398,$V,20190203,-0.2646699840372259
399,$V,20190204,-0.3385072060533472
400,$V,20190205,-0.34056175287280765
401,$V,20190206,-0.3698386503383517
402,$V,20190207,-0.29328078294501586
403,$V,20190208,-0.30951545997099444
404,$V,20190209,-0.4040856732696783
405,$V,20190210,-0.4830170598897067
406,$V,20190211,-0.40380123368015997
407,$V,20190212,-0.4136502468585968
408,$V,20190213,-0.4888380404378547
409,$V,20190214,-0.4463043408958535
410,$V,20190215,-0.5431248451982226
411,$V,20190216,-0.5156854794305914
412,$V,20190217,-0.6877948001579002
413,$V,20190218,-0.6233224301803403
414,$V,20190219,-0.7192889054616293
415,$V,20190220,-0.6600568906680958
416,$V,20190221,-0.4410138536006846
417,$V,20190222,-0.4065902462372413
418,$V,20190223,-0.36866789776831865
419,$V,20190224,-0.5111154077144769
420,$V,20190225,-0.4932694655397664
421,$V,20190226,-0.38558734953403473
422,$V,20190227,-0.3680728489702398
423,$V,20190228,-0.33532430667143603
424,$V,20190301,-0.4050619941491347
425,$V,20190302,-0.40993966506077695
426,$V,20190303,-0.5161391584599604
427,$V,20190304,-0.5870345613131156
428,$V,20190305,-0.454746741939474
429,$V,20190306,-0.37868688503901166
430,$V,20190307,-0.31770183103425165
431,$V,20190308,-0.37957960572736016
432,$V,20190309,-0.36733653880002204
433,$V,20190310,-0.46428795034686726
434,$V,20190311,-0.6108813285827637
435,$V,20190312,-0.6615206985860258
436,$V,20190313,-0.329772942341291
437,$V,20190314,-0.24360905711849531
438,$V,20190315,-0.24835742874578995
439,$V,20190316,-0.4247298713388114
440,$V,20190317,-0.35426485786835354
441,$V,20190318,-0.4433175603548686
442,$V,20190319,-0.4291875788143703
443,$V,20190320,-0.4347771597358416
444,$V,20190321,-0.3807248830795288
445,$V,20190322,-0.3502013379672788
446,$V,20190323,-0.37239804757492884
447,$V,20190324,-0.4549749692281087
448,$V,20190325,-0.48233987672908885
449,$V,20190326,-0.5090234586686799
450,$V,20190327,-0.46453888134823906
451,$V,20190328,-0.4261951506807563
452,$V,20190329,-0.23750590368852778
453,$V,20190330,-0.27511435196949885
454,$V,20190331,-0.22503937591205944
455,$V,20190401,-0.49410105458760667
456,$V,20190402,-0.46039168741188796
457,$V,20190403,-0.5468696786297692
458,$V,20190404,-0.25124166674084136
459,$V,20190405,-0.30021647612253827
460,$V,20190406,-0.43571185214178904
461,$V,20190407,-0.602752149105072
462,$V,20190408,-0.6425547884269194
463,$V,20190409,-0.5145099813287909
464,$V,20190410,-0.4707761361048772
465,$V,20190411,-0.45831781511123365
466,$V,20190412,-0.4050522044301033
467,$V,20190413,-0.3555717395276439
468,$V,20190414,-0.3882221961021423
469,$V,20190415,-0.45392379712085335
470,$V,20190416,-0.6551267945766449
471,$V,20190417,-0.5805651028201265
472,$V,20190418,-0.5749744697222634
473,$V,20190419,-0.44549647470315296
474,$V,20190420,-0.5777530467935971
475,$V,20190421,-0.3926288629400319
476,$V,20190422,-0.37477185754548936
477,$V,20190423,-0.1848446820911608
478,$V,20190424,-0.2425353741645813
479,$V,20190425,-0.21054173793111527
480,$V,20190426,-0.19895149102577797
481,$V,20190427,-0.2780145719647408
482,$V,20190428,-0.2667628870172016
483,$V,20190429,-0.4343506892522176
