,0
0,5402.38516493584
1,7314.015815616818
2,-1388.4674999278504
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-2850.0502466019243
51,1014.0340769325849
52,-1586.639296180103
53,-21230.179123629583
54,-18847.067312279716
55,32683.78985765716
56,-18421.988570381654
57,-1634.7324898028746
58,12806.458081468474
59,-27409.06945505389
60,24434.71201974433
61,16760.831336305942
