,0
0,1157.3410000002477
1,1638.0170000004582
2,2018.1140000000596
3,1058.3849999997765
4,1245.0780000002123
5,-1826.2050000000745
6,12017.070999999996
7,15508.330000000075
8,3957.3700000001118
9,25216.701149999863
10,-14397.438210000051
11,11001.910280000186
12,3007.2751400000416
13,8464.709730000002
14,-10622.836890000384
15,-2333.4733099995647
16,16934.129279999994
17,-9682.98844000022
18,4496.087199999951
19,9662.676459999988
20,1358.9900000004563
21,-7102.640000000363
22,-17094.649999999907
23,-2456.2399999999907
24,-4299.479999999981
25,19626.179999999935
26,7066.370000000112
27,-5604.0099999997765
28,34595.87999999942
29,386.68000000040047
30,1126.5200000000186
31,-2057.9000000001397
32,8667.149999999907
33,7737.330000000307
34,1230.9799999999814
35,-5936.9300000004005
36,-1204.7999999998137
37,8122.8300000000745
38,-14175.199999999953
39,1027.3000000000466
40,-5057.970000000205
41,-14234.279999999795
42,627.4499999999534
43,20033.149999999907
44,6579.630000000121
45,3596.8299999998417
46,3924.130000000354
47,13487.199999999488
48,11497.29000000027
49,-5413.540000000037
50,-16236.09999999986
51,14036.270000000019
52,-27138.430000000168
53,-1972.0600000000559
54,13685.069999999832
55,-5413.699999999488
56,7679.639999999665
57,9768.170000000158
58,25316.060000000056
59,465.6400000001304
60,-1733.8355400003493
61,0.0
