,0
0,-1276.6488934895024
1,1942.4610377985518
2,5012.5187639629
3,-616.2894731415436
4,0.0
5,0.0
6,0.0
7,590.0159177719615
8,248.8475488005206
9,834.8014741744846
10,2847.1077857704367
11,1693.7507255128585
12,-455.962351689348
13,0.0
14,0.0
15,0.0
16,0.0
17,-1209.5151291715447
18,-72.67018622532487
19,-3741.637261565076
20,2895.303103424143
21,-1280.2793170013465
22,-219.83891000109725
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
