,0
0,-188.15350577491336
1,-3097.5552103229566
2,-4943.930483914097
3,-3747.665494967019
4,1917.4985075646546
5,1988.0507463096874
6,-12072.432540817535
7,6117.728803592734
8,-15810.205525731202
9,2176.4695039191283
10,-12116.697238800814
11,4922.388579173479
12,10993.719597136718
13,-10295.174089087523
14,16358.422117372975
15,-5912.75862380676
16,6339.063226920203
17,25791.502014131052
18,-4475.099127290072
19,-19004.323826711043
20,10748.219559438061
21,4855.4175749352435
22,-10606.34743723413
23,-15482.229481471702
24,-140.541319639422
25,-6574.830931519857
26,-17748.67567677959
27,19126.97050653759
28,14397.73428346496
29,13566.968076729798
30,-1861.0350747751072
31,-982.603251022636
32,12668.431236386648
33,-8907.801307904534
34,2543.351853599772
35,11662.175648639444
36,-3166.5606664769584
37,-6625.209537068615
38,20797.228847579565
39,-106.97618413972668
40,3134.580616512103
41,3504.8751772174146
42,1174.3984604952857
43,-3656.310725492309
44,1584.8022185590817
45,-1003.4664759635925
46,12562.627315214253
47,1917.5802516707918
48,3241.6297372147674
49,4772.398482977296
50,6650.7440012239385
51,5515.511659070849
52,2589.394619474653
53,-1417.6568720359355
54,-1446.6115004674066
55,208.37476250436157
56,971.7274804159533
57,8215.228735276498
58,7183.926978119882
59,-2946.9131787372753
60,10435.36030082265
61,-1000.6413482329808
