,0
0,-18087.363115818473
1,-561.7722750243265
2,17727.309798798524
3,-9618.08348279004
4,12485.085487219505
5,-6662.187519152882
6,8980.114244021475
7,11717.044877366628
8,-2278.311720499769
9,-6801.166238247883
10,-1030.9931610890198
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,82.17559531121515
29,-91.49201340228319
30,-159.43886254890822
31,2649.342585318489
32,-1852.6154491931666
33,82.86216516164131
34,-1058.5847863538656
35,-769.142225864809
36,-7098.519269073615
37,7099.3462846251205
38,-6449.266287646256
39,5104.805489115417
40,5054.322048110422
41,437.1631194874644
42,13377.216441325378
43,-189.325532191433
44,3781.5159359206446
45,3685.6755563193
46,54.690117492340505
47,-8220.079692442669
48,293.5223642166238
49,-5416.912172321463
50,-3185.0912759869825
51,-19347.42179248319
52,2517.0707339721266
53,-13612.658836928895
54,6926.926181350835
55,-23856.556821917184
56,3794.8979657883756
57,-7565.7491510084365
58,2331.1933932711836
59,2340.6513828760944
60,-1391.6389746800996
61,0.0
