,0
0,2731.549381002318
1,-14566.362799575552
2,3397.4341627284884
3,-2667.2295116302557
4,7798.557189623127
5,7829.735683243023
6,14.412479582009837
7,1401.0925781785045
8,3935.2585820239037
9,-31.20774815767072
10,-2597.3629647919443
11,-19040.527483298676
12,2363.7606664921623
13,-3189.698753763223
14,-512.1550641776994
15,4404.670702040661
16,-12286.655622842722
17,-2342.457113964483
18,8439.142455986235
19,-5699.990389527753
20,-4923.34779625386
21,2583.7752548647113
22,-843.7220682860352
23,1607.9920969107188
24,11399.38231289736
25,-7724.854311692296
26,538.2766082906164
27,-8834.933412130224
28,7421.687011949951
29,-14199.127327605616
30,1505.054778646445
31,-10207.754717382486
32,9045.794067320181
33,-1526.2849488783395
34,15851.342526495457
35,7545.255254477495
36,-981.1929062190466
37,3791.8463340450544
38,-519.9525499748997
39,-429.6016183560714
40,2402.6719185803086
41,-743.8443769752048
42,3429.1718858536333
43,5722.038084553555
44,2022.416111139115
45,-1668.1724246416707
46,-819.3542869666126
47,-7469.601137447404
48,-400.69937111157924
49,-4157.515948363813
50,7507.255638804985
51,-8119.80632028915
52,6101.521670478396
53,3159.611189218005
54,-3922.8116490496323
55,16074.529029721394
56,-32605.18999648257
57,-13362.474774532137
58,18246.62731523218
59,17489.249916414497
60,12670.19323408138
61,2139.1347837485373
