,0
0,-6504.548438532976
1,15816.748573078308
2,-4715.79737040191
3,-3823.843312359648
4,-2767.6763396987226
5,-9654.841893568868
6,1053.0301552899182
7,-5877.809053071542
8,3996.2351891444996
9,-5113.094564437633
10,307.67548098089173
11,3992.1225146190263
12,2469.4190705930814
13,-1119.2832734812982
14,-1531.9649900484364
15,-4240.75097430707
16,-1462.6299351286143
17,-10114.830096528633
18,5226.425092488993
19,-2170.264815654373
20,-9897.377128990833
21,-10216.965477526188
22,-120.22903480217792
23,1761.4726966884919
24,21489.68256014865
25,9793.498155651381
26,43893.00029311958
27,9337.935139185283
28,-183.15594611526467
29,14134.74844866246
30,4405.890234843595
31,-12120.662920520175
32,-3891.0991341150366
33,-8557.282065241365
34,8557.731220603455
35,6002.415311363526
36,19035.509682438336
37,837.6561136376113
38,-8410.872475728625
39,-9673.246407936094
40,8473.458615307463
41,4804.771808937425
42,-7346.729874101933
43,-857.0133230143692
44,5794.098909875145
45,25195.63984378311
46,-7938.805342284031
47,804.6143296549562
48,-4978.375053331954
49,6771.89036705764
50,-19373.565724482527
51,10319.227847264381
52,-13121.348626783118
53,-224.6373222572729
54,12916.798234408488
55,-3819.2584260767326
56,640.4240104751661
57,3652.1564106664155
58,959.8560107660014
59,-13635.610223580385
60,722.992303685518
61,-4386.568818083266
