,0
0,1702029.7275042883
1,1691480.3179270895
2,1695064.297568991
3,1699850.0144483428
4,1698775.932367171
5,1698775.932367171
6,1698775.932367171
7,1698775.932367171
8,1698952.5175261155
9,1696806.3707482533
10,1696875.2117512163
11,1700547.800020677
12,1699344.2215183638
13,1698742.519492844
14,1698742.519492844
15,1698742.519492844
16,1698742.519492844
17,1698742.519492844
18,1697138.9180142244
19,1696989.2933924226
20,1693028.421873819
21,1695667.9465914378
22,1693008.3456416556
23,1692551.2478422166
24,1692551.2478422166
25,1692551.2478422166
26,1692551.2478422166
27,1692551.2478422166
28,1692551.2478422166
29,1692551.2478422166
30,1692551.2478422166
31,1692551.2478422166
32,1692551.2478422166
33,1692551.2478422166
34,1692551.2478422166
35,1692551.2478422166
36,1692551.2478422166
37,1692551.2478422166
38,1692551.2478422166
39,1692551.2478422166
40,1692551.2478422166
41,1692551.2478422166
42,1692551.2478422166
43,1692551.2478422166
44,1692551.2478422166
45,1692551.2478422166
46,1692551.2478422166
47,1692551.2478422166
48,1692551.2478422166
49,1692551.2478422166
50,1692551.2478422166
51,1692551.2478422166
52,1692551.2478422166
53,1692551.2478422166
54,1692551.2478422166
55,1692551.2478422166
56,1692551.2478422166
57,1692551.2478422166
58,1692551.2478422166
59,1692551.2478422166
60,1692551.2478422166
61,1692551.2478422166
62,1692551.2478422166
