,0
0,1000000.0
1,999753.2691408675
2,997123.2565791
3,991468.2950351269
4,989167.6331058646
5,989622.911032869
6,990802.5410115158
7,982061.9212355567
8,988286.2894531176
9,977318.580028712
10,975952.4042238279
11,966678.327422726
12,970723.1853681725
13,982782.5098938993
14,972378.7379793143
15,985650.5388097876
16,973393.0312332779
17,979689.7420184067
18,998597.0329307031
19,997923.7604455736
20,989251.2167714947
21,1005594.6359799482
22,1011022.2122146384
23,996679.3722163851
24,990759.7204774742
25,992460.1164041077
26,982186.6827756185
27,972401.2848999775
28,991107.598909345
29,1004039.2920822093
30,1022705.335968726
31,1015696.904247493
32,1014588.2026392552
33,1027305.780589671
34,1014690.2270699355
35,1020586.0024089823
36,1030005.5731401904
37,1026937.9373920311
38,1022010.912782037
39,1046278.285914223
40,1044812.020311954
41,1050902.8708978335
42,1056155.2734820826
43,1057562.2170015855
44,1050013.9485988903
45,1054890.245611445
46,1053756.3582296835
47,1068274.4636256336
48,1068501.2703225433
49,1073099.678489342
50,1080919.3338247682
51,1089399.680888727
52,1092453.902965786
53,1089986.049898835
54,1087980.7480273428
55,1082163.2437351234
56,1083783.9879409245
57,1088295.4640450398
58,1092743.351004945
59,1104594.514033964
60,1101733.6960452837
61,1109342.7692296575
62,1108607.9578634854
