,0
0,1598655.2266077248
1,1589127.9577115686
2,1595657.013789706
3,1606623.812067153
4,1605017.2311496246
5,1605017.2311496246
6,1605017.2311496246
7,1605017.2311496246
8,1605332.940732454
9,1601102.5580856947
10,1601767.6892593298
11,1606702.3531470834
12,1607435.5767290834
13,1606440.8688844927
14,1606440.8688844927
15,1606440.8688844927
16,1606440.8688844927
17,1606440.8688844927
18,1605065.9298166295
19,1604872.6404067215
20,1598691.5820320826
21,1602749.3058546302
22,1602353.359221914
23,1601792.1028877394
24,1601792.1028877394
25,1601792.1028877394
26,1601792.1028877394
27,1601792.1028877394
28,1601792.1028877394
29,1601792.1028877394
30,1601792.1028877394
31,1601792.1028877394
32,1601792.1028877394
33,1601792.1028877394
34,1601792.1028877394
35,1601792.1028877394
36,1601792.1028877394
37,1601792.1028877394
38,1601792.1028877394
39,1601792.1028877394
40,1601792.1028877394
41,1601792.1028877394
42,1601792.1028877394
43,1601792.1028877394
44,1601792.1028877394
45,1601792.1028877394
46,1601792.1028877394
47,1601792.1028877394
48,1601792.1028877394
49,1601792.1028877394
50,1601792.1028877394
51,1601792.1028877394
52,1601792.1028877394
53,1601792.1028877394
54,1601792.1028877394
55,1601792.1028877394
56,1601792.1028877394
57,1601792.1028877394
58,1601792.1028877394
59,1601792.1028877394
60,1601792.1028877394
61,1601792.1028877394
62,1601792.1028877394
