,0
0,1641359.5103945625
1,1639976.7548227115
2,1639818.0242328038
3,1639818.0242328038
4,1639818.0242328038
5,1639818.0242328038
6,1639818.0242328038
7,1641668.960250133
8,1639660.8195984936
9,1650237.0693343151
10,1647160.9485804709
11,1646569.8981152002
12,1646569.8981152002
13,1646569.8981152002
14,1646569.8981152002
15,1646569.8981152002
16,1646569.8981152002
17,1646569.8981152002
18,1646569.8981152002
19,1646569.8981152002
20,1646569.8981152002
21,1646569.8981152002
22,1646569.8981152002
23,1646569.8981152002
24,1646569.8981152002
25,1646569.8981152002
26,1646569.8981152002
27,1646569.8981152002
28,1646569.8981152002
29,1646569.8981152002
30,1646569.8981152002
31,1646569.8981152002
32,1646569.8981152002
33,1646569.8981152002
34,1646569.8981152002
35,1646569.8981152002
36,1646569.8981152002
37,1646569.8981152002
38,1646569.8981152002
39,1646569.8981152002
40,1646569.8981152002
41,1646569.8981152002
42,1646569.8981152002
43,1646569.8981152002
44,1646569.8981152002
45,1646569.8981152002
46,1646569.8981152002
47,1646569.8981152002
48,1646569.8981152002
49,1646569.8981152002
50,1646569.8981152002
51,1646569.8981152002
52,1646569.8981152002
53,1646569.8981152002
54,1646569.8981152002
55,1646569.8981152002
56,1646569.8981152002
57,1652818.3435412382
58,1652684.282785092
59,1652684.282785092
60,1652684.282785092
61,1652684.282785092
62,1652684.282785092
