,0
0,1113588.7046914988
1,1114525.0017214783
2,1110216.6421762935
3,1123812.0720479689
4,1129817.6247273309
5,1137818.8804289622
6,1141318.1082280604
7,1148170.8291427088
8,1147016.3051207585
9,1146892.6778068268
10,1153430.431912537
11,1153738.662562766
12,1148875.7677317078
13,1155944.6287831846
14,1147111.6091500786
15,1130779.1282323194
16,1120521.5425970834
17,1117988.6887778037
18,1109940.2001271367
19,1102169.533259474
20,1100951.7751615834
21,1101376.2793409273
22,1105247.6881013322
23,1112821.345850672
24,1113400.930671304
25,1113816.617038191
26,1106816.0105475488
27,1112010.6012281117
28,1114181.9612030506
29,1114136.1018879917
30,1112318.8632928068
31,1110514.303524962
32,1114918.0943622396
33,1105736.0984717158
34,1107638.3729064697
35,1106532.0240859545
36,1104340.5967179986
37,1103750.8145817586
38,1099490.7452936205
39,1107986.5443657457
40,1107165.7019292742
41,1106353.287256051
42,1105780.8345619002
43,1110680.3071975778
44,1120301.5236625199
45,1117818.4044945256
46,1120543.208253162
47,1097911.9628127874
48,1108963.9758241905
49,1090484.9601524
50,1088586.0923561072
51,1099756.51071084
52,1095887.1325863933
53,1093429.6115152617
54,1091547.7581569334
55,1098083.023713268
56,1102944.3207394485
57,1097827.2451636158
58,1089955.8436403638
59,1095642.749990701
60,1105852.8524757016
61,1097564.1865110085
62,1107238.0243931292
