,0
0,1397367.0932129892
1,1405341.1858929638
2,1411982.2556324208
3,1408704.4801493653
4,1409455.2195295228
5,1411212.4799497789
6,1412979.182370815
7,1412147.0859320038
8,1414886.9168104716
9,1419707.420982355
10,1423268.853727371
11,1421617.3442539452
12,1418667.8038917358
13,1421692.9222155649
14,1424072.290070268
15,1434058.7378535634
16,1428844.1793593152
17,1444564.373229583
18,1445312.3629244366
19,1441243.7384815968
20,1450673.0315625374
21,1460526.408057286
22,1454529.172954909
23,1452171.695954155
24,1451465.0863096763
25,1458739.0295454143
26,1458299.3423709008
27,1452041.0983906277
28,1447415.1372128276
29,1451219.6599318925
30,1438229.5291256632
31,1434219.6965461546
32,1453711.4886621207
33,1450607.0498985827
34,1452354.765795425
35,1461855.3290078181
36,1456704.242591622
37,1462506.739938772
38,1456108.9425018905
39,1466728.4707200925
40,1467837.5150060803
41,1479007.6408058798
42,1471910.3356810382
43,1482144.7097016005
44,1472896.288832808
45,1467305.9415182832
46,1467389.8823280379
47,1466700.7446067708
48,1472403.689500049
49,1469870.825880839
50,1477881.1377766056
51,1475264.139807147
52,1483665.1150398043
53,1503384.772004196
54,1503688.6797361842
55,1504010.6724733266
56,1507010.1181492428
57,1508709.752226239
58,1501157.4966464315
59,1498774.580732349
60,1499976.3688727529
61,1494124.676599589
62,1504135.65849601
