,0
0,1604748.6182405439
1,1622291.6029621784
2,1636501.283995465
3,1634864.8161806623
4,1634864.8161806623
5,1634864.8161806623
6,1634864.8161806623
7,1634864.8161806623
8,1634864.8161806623
9,1634864.8161806623
10,1634864.8161806623
11,1634864.8161806623
12,1634864.8161806623
13,1634864.8161806623
14,1634864.8161806623
15,1634864.8161806623
16,1634864.8161806623
17,1634864.8161806623
18,1634864.8161806623
19,1634864.8161806623
20,1634864.8161806623
21,1634864.8161806623
22,1634864.8161806623
23,1634864.8161806623
24,1634864.8161806623
25,1634864.8161806623
26,1634864.8161806623
27,1634864.8161806623
28,1634864.8161806623
29,1634864.8161806623
30,1634864.8161806623
31,1634864.8161806623
32,1634864.8161806623
33,1634864.8161806623
34,1634864.8161806623
35,1634864.8161806623
36,1634864.8161806623
37,1634864.8161806623
38,1634864.8161806623
39,1634864.8161806623
40,1634864.8161806623
41,1634864.8161806623
42,1634864.8161806623
43,1634864.8161806623
44,1634864.8161806623
45,1634864.8161806623
46,1634864.8161806623
47,1634864.8161806623
48,1634864.8161806623
49,1634864.8161806623
50,1634864.8161806623
51,1632726.0240412634
52,1633424.628627444
53,1633928.1227805715
54,1617732.494743603
55,1605500.2610346845
56,1628209.070960754
57,1613040.2437807424
58,1607496.2121585766
59,1625060.907550984
60,1591638.623703667
61,1616209.5298182734
62,1630533.979219147
