,0
0,1585065.273528219
1,1585256.3337706372
2,1586360.1630360174
3,1587254.5443371616
4,1587709.4903194131
5,1587603.1776976944
6,1586912.0707203525
7,1589455.3167242387
8,1594419.6825567442
9,1597497.529251367
10,1603986.7584378505
11,1597095.3597629569
12,1606654.1681515337
13,1605407.6954982502
14,1608168.2149207483
15,1604133.251799671
16,1605301.187005544
17,1613694.773486721
18,1609501.5297907195
19,1613341.1020072852
20,1617353.6542094033
21,1621598.4210712665
22,1624626.436589613
23,1614621.3568436624
24,1607860.8753579622
25,1604007.8406121715
26,1627460.0417744692
27,1637281.9885288132
28,1631872.2566092755
29,1659031.262891956
30,1661557.1497283552
31,1659842.773186453
32,1652371.2660449112
33,1664287.8973450805
34,1661633.5118151736
35,1659369.7533415628
36,1648850.9549182248
37,1640892.2418725821
38,1652299.846620611
39,1635755.9841426152
40,1637192.7070040323
41,1627750.5559511816
42,1617898.9992058235
43,1613993.2718171077
44,1622794.273605788
45,1610511.2439811155
46,1625115.8344289975
47,1624291.200224367
48,1631479.633596381
49,1632865.3082728146
50,1631805.2617005997
51,1623400.095901404
52,1633510.5813524004
53,1600206.2624369466
54,1606236.5285434849
55,1612215.6086603443
56,1610265.9218105827
57,1614444.7538224962
58,1630236.7226325003
59,1658356.9983833842
60,1650805.7457003384
61,1649154.9823809424
62,1649154.9823809424
