,0
0,1000000.0
1,999811.8464942251
2,996714.2912839021
3,991770.360799988
4,988022.695305021
5,989940.1938125857
6,991928.2445588954
7,979855.8120180778
8,985973.5408216706
9,970163.3352959394
10,972339.8047998585
11,960223.1075610577
12,965145.4961402311
13,976139.2157373679
14,965844.0416482803
15,982202.4637656533
16,976289.7051418466
17,982628.7683687668
18,1008420.2703828978
19,1003945.1712556077
20,984940.8474288967
21,995689.0669883348
22,1000544.48456327
23,989938.1371260359
24,974455.9076445642
25,974315.3663249247
26,967740.5353934049
27,949991.8597166253
28,969118.8302231629
29,983516.5645066279
30,997083.5325833576
31,995222.4975085825
32,994239.8942575599
33,1006908.3254939466
34,998000.524186042
35,1000543.8760396418
36,1012206.0516882812
37,1009039.4910218043
38,1002414.2814847357
39,1023211.5103323152
40,1023104.5341481755
41,1026239.1147646876
42,1029743.989941905
43,1030918.3884024003
44,1027262.077676908
45,1028846.8798954671
46,1027843.4134195035
47,1040406.0407347177
48,1042323.6209863885
49,1045565.2507236033
50,1050337.6492065806
51,1056988.3932078045
52,1062503.9048668754
53,1065093.29948635
54,1063675.642614314
55,1062229.0311138467
56,1062437.405876351
57,1063409.133356767
58,1071624.3620920435
59,1078808.2890701634
60,1075861.375891426
61,1086296.7361922488
62,1085296.0948440158
