,0
0,1180552.4759003269
1,1174639.8091419898
2,1176352.2356438735
3,1178942.0303782995
4,1178473.2943067234
5,1178387.9968035962
6,1174500.8705236611
7,1167858.0910151252
8,1181532.5661547435
9,1172028.118538627
10,1168858.3658968974
11,1182941.0872519887
12,1179613.899277275
13,1191599.4088001528
14,1202798.0944006199
15,1202219.1021369663
16,1202642.3614282776
17,1201268.7402965229
18,1201499.35059596
19,1200297.8585946383
20,1199988.8538739027
21,1199768.616009291
22,1200112.4340078167
23,1200399.5059251804
24,1200154.529067937
25,1200154.529067937
26,1200154.529067937
27,1200224.812444736
28,1200172.5971132002
29,1200172.5971132002
30,1200172.5971132002
31,1200172.5971132002
32,1200172.5971132002
33,1200172.5971132002
34,1200314.685255654
35,1200474.8644695948
36,1200321.1837255359
37,1200167.3685775553
38,1199478.2698240997
39,1198360.4138948324
40,1199832.3552049967
41,1201594.554276707
42,1201066.9259650346
43,1200721.319060288
44,1200799.473080216
45,1200785.21633793
46,1200413.5827766615
47,1198136.9619695581
48,1201299.3049899815
49,1200142.2724516839
50,1198701.2673812003
51,1199159.622216011
52,1207247.5802082992
53,1203517.59773097
54,1200487.939361511
55,1202231.8288642447
56,1202614.4192066952
57,1203221.0937968863
58,1195909.6498350997
59,1205209.4259835593
60,1194624.365415571
61,1198090.8610890552
62,1201538.2232027885
