,0
0,1742173.6623440334
1,1738633.1514834752
2,1740656.5076911133
3,1745177.8649656428
4,1744503.5380162706
5,1744503.5380162706
6,1744503.5380162706
7,1744503.5380162706
8,1744743.2761525828
9,1742049.3414823962
10,1743509.09106611
11,1745516.4453826365
12,1744762.868495657
13,1744079.894849493
14,1744079.894849493
15,1744079.894849493
16,1744079.894849493
17,1744079.894849493
18,1742796.1313592808
19,1742661.6033077992
20,1738632.0766280098
21,1742092.585428988
22,1742353.1654735687
23,1741971.7691254546
24,1741971.7691254546
25,1741971.7691254546
26,1741971.7691254546
27,1741971.7691254546
28,1741971.7691254546
29,1741971.7691254546
30,1741971.7691254546
31,1741971.7691254546
32,1741971.7691254546
33,1741971.7691254546
34,1741971.7691254546
35,1741971.7691254546
36,1741971.7691254546
37,1741971.7691254546
38,1741971.7691254546
39,1741971.7691254546
40,1741971.7691254546
41,1741971.7691254546
42,1741971.7691254546
43,1741971.7691254546
44,1741971.7691254546
45,1741971.7691254546
46,1741971.7691254546
47,1741971.7691254546
48,1741971.7691254546
49,1741971.7691254546
50,1741971.7691254546
51,1741971.7691254546
52,1741971.7691254546
53,1741971.7691254546
54,1741971.7691254546
55,1741971.7691254546
56,1741971.7691254546
57,1741971.7691254546
58,1741971.7691254546
59,1741971.7691254546
60,1741971.7691254546
61,1741971.7691254546
62,1741971.7691254546
