,0
0,1532383.063164774
1,1556015.731098126
2,1571331.1472304605
3,1569759.8917348825
4,1569759.8917348825
5,1569759.8917348825
6,1569759.8917348825
7,1569759.8917348825
8,1569759.8917348825
9,1569759.8917348825
10,1569759.8917348825
11,1569759.8917348825
12,1569759.8917348825
13,1569759.8917348825
14,1569759.8917348825
15,1569759.8917348825
16,1569759.8917348825
17,1569759.8917348825
18,1569759.8917348825
19,1569759.8917348825
20,1569759.8917348825
21,1569759.8917348825
22,1569759.8917348825
23,1569759.8917348825
24,1569759.8917348825
25,1569759.8917348825
26,1569759.8917348825
27,1569759.8917348825
28,1569759.8917348825
29,1569759.8917348825
30,1569759.8917348825
31,1569759.8917348825
32,1569759.8917348825
33,1569759.8917348825
34,1569759.8917348825
35,1569759.8917348825
36,1569759.8917348825
37,1569759.8917348825
38,1569759.8917348825
39,1569759.8917348825
40,1569759.8917348825
41,1569759.8917348825
42,1569759.8917348825
43,1569759.8917348825
44,1569759.8917348825
45,1569759.8917348825
46,1569759.8917348825
47,1569759.8917348825
48,1569759.8917348825
49,1569759.8917348825
50,1569759.8917348825
51,1567213.4512914098
52,1567603.5959123329
53,1566471.4122515277
54,1554047.4942411114
55,1543585.9419693653
56,1561955.912487851
57,1551294.6129063072
58,1550870.1336575137
59,1558005.1643247984
60,1541131.7656640895
61,1550038.8873330024
62,1560057.0031921929
