,0
0,1183689.2825100184
1,1174852.40333107
2,1192972.9691973245
3,1189297.4385856923
4,1185716.1551693806
5,1188110.794129553
6,1178630.901930177
7,1178089.604199733
8,1171396.101998806
9,1173619.673000171
10,1168393.5771080295
11,1174420.7777969388
12,1184039.3203572824
13,1187708.163858549
14,1188924.2182198693
15,1189281.804047178
16,1180538.7126715176
17,1180023.6773060772
18,1174258.3091487328
19,1176804.5176632039
20,1175723.8506578405
21,1165644.5628439132
22,1155613.2012539832
23,1154017.0067954888
24,1155344.4487088623
25,1182515.8393615405
26,1189935.2443608404
27,1248494.5621233927
28,1283066.9464135012
29,1282158.6330507738
30,1311700.1733997655
31,1312999.1419277217
32,1292132.2282203163
33,1292841.084686358
34,1285853.8165688298
35,1293401.8864646382
36,1301231.012180152
37,1320254.667536491
38,1318581.671790511
39,1308578.3361705479
40,1305247.791435527
41,1321913.9779376646
42,1337434.6445207414
43,1328532.7905237689
44,1336366.8674431245
45,1344229.27252195
46,1364639.7492549473
47,1366566.5686972542
48,1366057.5573727146
49,1355494.5400073673
50,1361487.811246016
51,1347773.8477786586
52,1363439.9095345102
53,1345286.7618033919
54,1348243.6852428964
55,1366148.7912282809
56,1365007.2176032742
57,1365931.9000639818
58,1369131.7886224901
59,1371029.036779855
60,1357016.7803455126
61,1352916.2659037944
62,1352457.6723852144
