,0
0,1000000.0
1,999796.8529991553
2,1000463.532355472
3,997593.5795846336
4,995851.4589314994
5,991981.5974836722
6,988985.9111377131
7,989690.2866572823
8,979733.7858284588
9,978499.6395363028
10,979983.331818239
11,958089.7044839675
12,980840.7271680906
13,973663.5395451157
14,969846.6237036677
15,969607.4485232003
16,977021.453760996
17,997670.7515784976
18,977874.8412947202
19,967854.1351332563
20,957172.2844265354
21,973790.2120170658
22,965808.595524691
23,981515.8135541078
24,1011941.4712246902
25,1010999.1625735294
26,962655.5885642259
27,977016.6652963184
28,978958.0832539581
29,964649.912519008
30,929067.6334598819
31,933162.2705776725
32,919192.7321049836
33,909412.8848764907
34,877280.6441066356
35,904275.9171309012
36,890905.9628255314
37,882469.1002975504
38,876065.5239190279
39,837818.4231089565
40,833685.1534582089
41,852619.5915559374
42,820142.7931485354
43,814533.2764530012
44,802317.237121612
45,851530.1965953059
46,859197.8775405145
47,890962.5957730017
48,900541.8391421806
49,895605.8892206415
50,917131.4223714175
51,925022.153699205
52,911939.0326155573
53,903763.5393393284
54,969625.857237011
55,955693.5467326563
56,965262.2398826306
57,986576.0242191703
58,962701.2938795798
59,937048.8565572641
60,953113.3764648897
61,967262.9790636107
62,989583.8077474025
63,996294.7707535329
64,992457.8543956807
65,968656.1441546655
66,980852.773208401
67,1005394.3241684171
68,997205.7680277613
69,981397.8716436662
70,991716.7269346901
71,1004650.3996853784
72,1002946.3546745265
73,972796.3275728475
74,979761.713840395
75,974654.4061699163
76,979848.9313502511
77,986457.3470993761
78,984540.250406894
79,985861.3942229328
80,1010703.4619925274
81,1008722.3056187817
82,1014287.8343446344
83,1039654.4061092343
84,1039385.9842982066
85,1043539.9027489409
86,1032439.0785987987
87,1050828.8430677657
88,1036082.203226626
89,1043630.878203324
90,1029235.7515296537
91,1037620.3498352416
92,1032070.9472476561
93,1061826.2206065732
94,1060863.3845606085
95,1055517.3284215834
96,1045612.8834008869
97,1043093.9718964762
98,1066768.9727988439
99,1049737.4499675345
100,1065408.2685803089
101,1086562.5636011271
102,1105315.5118856193
103,1106077.5597799828
104,1101868.4649752954
105,1112314.779057937
106,1119861.0943771508
107,1121282.3057634118
108,1118258.867909141
109,1114474.1459436181
110,1111345.8533965829
111,1113929.9583903651
112,1090250.4237157586
113,1080536.4956517557
114,1079590.1254355004
115,1093758.0970794063
116,1092818.2088198618
117,1069348.3488364173
118,1055787.4923831322
119,1044740.0260535578
120,1063679.688506141
121,1062804.737461143
122,1072843.402371383
123,1066029.2358187248
124,1069776.3377293542
125,1042598.3077861932
126,1047390.4599047235
127,1032789.4324300913
128,1039595.8294708015
129,1039126.0079882196
130,1030841.2364635997
131,1054171.2534770733
132,1056645.7410874704
133,1085742.8960638193
134,1099619.5532285073
135,1105293.2555600884
136,1117358.7958416895
137,1127519.3419790796
138,1114550.296176887
139,1127185.5995609812
140,1130789.0288271096
141,1129719.2867884971
142,1129306.8341337733
143,1131500.722378402
144,1139061.8007439568
145,1135640.922577186
146,1148473.7204874947
147,1150189.7903420404
148,1146133.7193773796
149,1145606.4032489925
150,1162449.5603901818
151,1161368.7411305
152,1150469.0693507914
153,1162647.9113811639
154,1168206.4274001077
155,1157160.7240269387
156,1142955.3386124566
157,1145355.2430744318
158,1153546.1053117516
159,1163318.9635291437
160,1180590.201260009
161,1181236.9669992975
162,1186921.2886685326
163,1186069.4036594157
164,1204497.385177665
165,1193563.1712657313
166,1187849.7964444496
167,1169921.1332745124
168,1163910.659544349
169,1167461.6630953746
170,1178743.6086554104
171,1184132.4829611352
172,1191143.4468452216
173,1195780.5269280393
174,1202417.1436241295
175,1208885.2899455025
176,1212856.4053968578
177,1223941.7650190117
178,1230483.473299842
179,1232591.3462011102
180,1228139.5505967857
181,1234496.1030831675
182,1223167.2298566198
183,1218084.644352775
184,1213734.7497646215
185,1225350.0731799228
186,1229271.0189988152
187,1229323.6692397739
188,1201788.4520899747
189,1205554.9505815178
190,1215578.0013100747
191,1229222.710995702
192,1234956.4271841869
193,1238678.7112490148
194,1252054.4910942586
195,1253848.3708541566
196,1251551.6517872168
197,1262446.9886171345
198,1264553.751090015
199,1253136.0714272668
200,1261452.9341276402
201,1250091.5938405213
202,1231811.7174460865
203,1242455.4718546884
204,1228280.0086428297
205,1215196.52211928
206,1217119.9029831719
207,1210949.935519781
208,1226449.4804689144
209,1201697.1834991623
210,1211333.8869020608
211,1205588.743488412
212,1217155.9273765446
213,1240678.6584627442
214,1240750.0713278865
215,1266239.179091618
216,1266116.6595608687
217,1268956.0569445994
218,1262082.1274318267
219,1268184.5769552374
220,1284192.180095768
221,1289672.337337217
222,1290178.3213055183
223,1285545.2537115694
224,1290527.360326543
225,1304148.1075948717
226,1299420.9480168915
227,1304012.8258349227
228,1288474.2167937923
229,1292575.5069462564
230,1311111.7635802699
231,1307799.0861913082
232,1303622.5184289457
233,1308388.8427846385
234,1313502.4979805255
235,1307953.2908739448
236,1314073.6161747384
237,1321349.3939339283
238,1324076.1289700586
239,1332920.8555978562
240,1327338.112256551
241,1323161.8212997818
242,1305218.509579346
243,1307704.2783134293
244,1317609.0454508828
245,1324829.5428881978
246,1322197.9575221539
247,1326719.9449290729
248,1331751.954855528
249,1332895.2277623818
250,1332210.371998174
251,1317133.169768412
252,1336541.1009266544
253,1338211.3199595069
254,1345474.7688035201
255,1355538.3936489853
256,1352635.9267591953
257,1350305.975005729
258,1349916.3256686283
259,1362652.5842423989
260,1374551.2896374965
261,1359979.6459856227
262,1372186.1167081452
263,1358114.4402797034
264,1330097.2572404146
265,1302824.7373894788
266,1305209.7751652694
267,1301434.1526282595
268,1327022.9454785802
269,1317844.5832556817
270,1303162.2913050891
271,1317390.8543917395
272,1331143.3141222023
273,1325938.499437282
274,1288388.7378535008
275,1283722.53581223
276,1272628.7072734633
277,1291806.0520722414
278,1289603.646723273
279,1301836.43464911
280,1295949.3387538553
281,1318761.2110954311
282,1326948.9065591528
283,1338571.3882168098
284,1337412.0998199964
285,1337416.7016046213
286,1322918.062832384
287,1334924.938088424
288,1323243.3557110785
289,1327916.9265400383
290,1340221.2207160974
291,1337413.8297087238
292,1337504.5854763004
293,1345590.7652729987
294,1363189.4885041786
295,1358768.9620667002
296,1357029.4869498585
297,1367043.490297241
298,1373001.4366601037
299,1373337.3225022056
300,1377475.3016639068
301,1378264.4770800879
302,1382386.568999283
303,1393879.5683970547
304,1390106.3264588143
305,1397470.8633001759
306,1409235.1830953169
307,1400911.4262446067
308,1404668.6642571113
309,1402113.930597066
310,1409954.7240420585
311,1408031.225695224
312,1401267.1426019978
313,1408001.4355477954
314,1403625.7373794224
315,1402610.207954445
316,1394400.7644881536
317,1395932.2381605338
318,1405376.1306385852
319,1403330.5290886355
320,1402117.8809184195
321,1412550.6364973139
322,1410024.9881644705
323,1397950.2350835346
324,1406869.8391411062
325,1404336.4606564236
326,1405692.135319422
327,1408618.664996486
328,1413943.340950914
329,1406449.0866537928
330,1382176.940033052
331,1388987.1346087672
332,1402204.3557360878
333,1383086.628631606
334,1400311.7487256026
335,1384646.1515468238
336,1375560.36167721
337,1329474.554583574
338,1313379.4937150478
339,1361607.4626474886
340,1357830.7543681264
341,1382238.8659461953
342,1367463.6866191267
343,1345568.6291985773
344,1342375.548571415
345,1324303.9482775547
346,1315235.5927586127
347,1268766.4526733425
348,1286188.2619217753
349,1271370.314714818
350,1266582.1451577807
351,1260394.3763930937
352,1290554.603101726
353,1279181.2561719557
354,1269171.5891658643
355,1296418.419560101
356,1299890.2972287796
357,1257688.3820830868
358,1246105.351523514
359,1257914.8050724939
360,1257346.5994969753
361,1289226.5114270856
362,1295528.251366403
363,1290390.9609407878
364,1320425.851802385
365,1319442.3964142895
366,1322737.633630289
367,1324603.9975054408
368,1323136.1078571153
369,1308414.4712605642
370,1315179.6414353957
371,1304275.5107497333
372,1302203.7869203947
373,1302267.9156300211
374,1260398.1921473264
375,1248978.3284807084
376,1244029.4706125257
377,1239684.8313301683
378,1246070.5174859404
379,1279426.5360322974
380,1295823.8238535463
381,1298286.5355201222
382,1299831.266999533
383,1311692.16162241
384,1313284.0247053267
385,1312175.3397590877
386,1281162.1893800257
387,1290179.804892292
388,1293451.7109308937
389,1280556.3799443962
390,1307338.6694059966
391,1320274.4885622237
392,1328174.880364282
393,1329710.0838946986
394,1318724.1067081643
395,1317221.678024528
396,1321201.3490312863
397,1345097.21505002
398,1341593.3805171107
399,1345070.4648925567
400,1341453.223762572
401,1338410.9701302622
402,1347296.3066448069
403,1342836.822475116
404,1309740.6504637313
405,1299572.6602476572
406,1296440.1405779314
407,1295884.952471006
408,1311195.9695052812
409,1312929.1486413833
410,1295006.1913108372
411,1289906.6847538517
412,1286387.5235362628
413,1267474.4366696998
414,1267762.0956398796
415,1260063.5698035741
416,1280366.0260745524
417,1264959.8195131088
418,1261868.301687317
419,1289603.5011119319
420,1295897.7478738022
421,1313470.9865774415
422,1300276.4773894215
423,1307374.5015601732
424,1309242.3259790372
425,1317192.7439005282
426,1325400.2180587198
427,1318996.9228220368
428,1323511.0391689825
429,1324666.8374466063
430,1325577.0999793292
431,1341131.8396085596
432,1341812.2931425022
433,1340699.3208321715
434,1328752.9246174833
435,1352999.6902497485
436,1347584.7838787164
437,1354947.272487548
438,1358203.9293869988
439,1354642.3410982217
440,1360417.6930885003
441,1355305.2110291226
442,1382059.9420327144
443,1384851.0816989166
444,1382438.8505117565
