,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,CtheLightTrading,@canuck2usa,2020-01-02T20:55:38.000Z,$AAPL BIG #Momma prints 300 +,"$AAPL BIG #Momma prints 300 +
GIF
1
7
19",,1,7,19,['https://pbs.twimg.com/tweet_video_thumb/ENTfcfQUcAA1KXg.jpg'],https://twitter.com/canuck2usa/status/1212839891744067585
1,Pythia Capital,@PythiaR,2020-01-02T21:49:15.000Z,"$aapl P/E this time last year: 13x.
$aapl P/E today: 26x.

Same company guys. It's the same company.","$aapl P/E this time last year: 13x.
$aapl P/E today: 26x.

Same company guys. It's the same company.
46
82
477",,46,82,477,[],https://twitter.com/PythiaR/status/1212853385004797952
2,Microlytics,@MicrolyticsLLC,2020-01-03T04:05:38.000Z,"Every year 10-15 stocks make the leap from penny stock to Nasdaq on 5-10,000% gains. $ALPP is soon to be one of them. 

$INPX $LVVV $CTYX $SAVA $ADXS $F $GE $MSFT $AAPL $CRON $AMD $SNAP $PLUG $FB $AMZN $GOOG $VSLR $VKTX $CPRX $BILI $CRM $SBES $FCEL","Every year 10-15 stocks make the leap from penny stock to Nasdaq on 5-10,000% gains. $ALPP is soon to be one of them. 

$INPX $LVVV $CTYX $SAVA $ADXS $F $GE $MSFT $AAPL $CRON $AMD $SNAP $PLUG $FB $AMZN $GOOG $VSLR $VKTX $CPRX $BILI $CRM $SBES $FCEL
2
10
23",,2,10,23,['https://pbs.twimg.com/media/ENVB30jWwAERki8?format=jpg&name=small'],https://twitter.com/MicrolyticsLLC/status/1212948105714438144
3,SheepWolf,@realsheepwolf,2020-01-03T20:34:00.000Z,"$VERB: EXTREME DISCOUNT HERE WITH STRONG DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON 2020 WILL BE HUGE

$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX","$VERB: EXTREME DISCOUNT HERE WITH STRONG DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON 2020 WILL BE HUGE

$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX
2
2",🟢,,2,2,['https://pbs.twimg.com/amplify_video_thumb/1196401564040278021/img/3VjE01j64Tbczhgp.jpg'],https://twitter.com/realsheepwolf/status/1213196835239727106
4,Michael Santoli,@michaelsantoli,2020-01-02T21:39:56.000Z,"$AAPL hits $300 a share for the first time one day before the anniversary of its huge profit-warning dump. So as of tomorrow, anyone who bought the low at $142 has a long-term capital gain.  It'll be fine though, because taxable retail investors are a non-factor in this market.","$AAPL hits $300 a share for the first time one day before the anniversary of its huge profit-warning dump. So as of tomorrow, anyone who bought the low at $142 has a long-term capital gain.  It'll be fine though, because taxable retail investors are a non-factor in this market.
15
16
106",,15,16,106,['https://pbs.twimg.com/media/ENTplL_XYAIyzUQ?format=png&name=small'],https://twitter.com/michaelsantoli/status/1212851042473435136
5,Charlie Bilello,@charliebilello,2020-01-03T04:22:10.000Z,The full chart: 39% decline followed by a 114% gain. $AAPL,"The full chart: 39% decline followed by a 114% gain. $AAPL
5
23
90",,5,23,90,['https://pbs.twimg.com/media/ENVFqFeWkAIUeFB?format=png&name=small'],https://twitter.com/charliebilello/status/1212952266136797191
6,SheepWolf,@realsheepwolf,2020-01-03T18:45:00.000Z,"$VERB THIS MAY BE THE GREATEST ""BUY LOW"" OPPORTUNITY IN THE MARKET.
BUSINESS IS BOOMING--OVER 800K MEMBERS NOW

$SAVA $NLNK $IMBI $ONTX $THMO $MREO $FCEL $ITRM $RAD $NIO $TSLA $AAPL $SEED $INPX $SLGL $EYEG $VNET","$VERB THIS MAY BE THE GREATEST ""BUY LOW"" OPPORTUNITY IN THE MARKET.
BUSINESS IS BOOMING--OVER 800K MEMBERS NOW

$SAVA $NLNK $IMBI $ONTX $THMO $MREO $FCEL $ITRM $RAD $NIO $TSLA $AAPL $SEED $INPX $SLGL $EYEG $VNET
0:15
5,243 views
1
8
8",🟢 💫,1,8,8,[],https://twitter.com/realsheepwolf/status/1213169404428591104
7,KingMidasAu,@KingMidasAu1,2020-01-03T15:22:51.000Z,"$SBES bout ready to go green here! flippers out, sellers dried and shorts ready to burn. Lets hit it hard bulls/longs. Lets see some 0150 +

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn","$SBES bout ready to go green here! flippers out, sellers dried and shorts ready to burn. Lets hit it hard bulls/longs. Lets see some 0150 +

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn
6
13",,,6,13,[],https://twitter.com/KingMidasAu1/status/1213118532457775111
8,PowerTriggerTrade,@Sandro_power,2020-01-03T20:23:24.000Z,$TSLA massive gains with skill in this again look out for my Video tomorrow to show you the whole process back to back to back gains with skill going with the market trend with skill everything is is a joke. Also we keep killing it in $AAPL stay tuned for the facts in my videos,"$TSLA massive gains with skill in this again look out for my Video tomorrow to show you the whole process back to back to back gains with skill going with the market trend with skill everything is is a joke. Also we keep killing it in $AAPL stay tuned for the facts in my videos
20
29
32",,20,29,32,[],https://twitter.com/Sandro_power/status/1213194168882868224
9,Ross Gerber,@GerberKawasaki,2020-01-02T19:55:38.000Z,Huge first day of the year. Tesla up over $11. Apple $5 and Disney now up over $3 on the possibility they have 25 mil #DisneyPlus subs. Huge day so far. $tsla $aapl $dis,"Huge first day of the year. Tesla up over $11. Apple $5 and Disney now up over $3 on the possibility they have 25 mil #DisneyPlus subs. Huge day so far. $tsla $aapl $dis
15
21
179",,15,21,179,[],https://twitter.com/GerberKawasaki/status/1212824792585269248
10,Ed Carson,@IBD_ECarson,2020-01-03T02:16:05.000Z,Dow Jones futures fall on report U.S. airstrike kills top Iranian general https://investors.com/market-trend/stock-market-today/dow-jones-futures-apple-stock-amd-stock-market-rally-2020-good-start/… $AAPL $AMD $INCY $SEDG $MA $PCTY $STNE $JD,"Dow Jones futures fall on report U.S. airstrike kills top Iranian general https://investors.com/market-trend/stock-market-today/dow-jones-futures-apple-stock-amd-stock-market-rally-2020-good-start/… $AAPL $AMD $INCY $SEDG $MA $PCTY $STNE $JD
3
11
8",,3,11,8,['https://pbs.twimg.com/media/ENUozJUW4AEUl_9?format=jpg&name=small'],https://twitter.com/IBD_ECarson/status/1212920535526641666
