,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Seeking Alpha,@SeekingAlpha,2017-01-03T17:34:13.000Z,Nick's Picks: Beating The S&P 500 Soundly In 2016 http://seekingalpha.com/article/4033993-nicks-picks-beating-s-and-p-500-soundly-2016?source=feed_f… $AAPL #APPLE $BA $BRK.B $CSCO $CSX $DIS $EXPE $GERN $GILD $GOOGL,"Nick's Picks: Beating The S&P 500 Soundly In 2016 http://seekingalpha.com/article/4033993-nicks-picks-beating-s-and-p-500-soundly-2016?source=feed_f… $AAPL #APPLE $BA $BRK.B $CSCO $CSX $DIS $EXPE $GERN $GILD $GOOGL
1",,,1,,[],https://twitter.com/SeekingAlpha/status/816336880308338688
1,Crypto 0101,@Crypto_0101,2017-01-03T09:05:14.000Z,#Boeing In 2017 - Effort To Expand Margins ... $ba #aerospace,"#Boeing In 2017 - Effort To Expand Margins ... $ba #aerospace
seekingalpha.com
Boeing In 2017 - Effort To Expand Margins (NYSE:BA)
2017 should be a year of cost cutting. Boeing risks to strain relations with all parties in development and manufacturing of aircraft.
2",,,2,,[],https://twitter.com/Crypto_0101/status/816208789552693248
2,zigzagman,@ZigzagmanTrader,2017-01-02T17:22:14.000Z,"$ASTI Teams Up with Silent Falcon to Produce a Solar Powered Drone

http://investors.ascentsolar.com/releasedetail.cfm?ReleaseID=704018… $SHIP $LMT $KTOS $BA $NOC $IXYS","$ASTI Teams Up with Silent Falcon to Produce a Solar Powered Drone

http://investors.ascentsolar.com/releasedetail.cfm?ReleaseID=704018… $SHIP $LMT $KTOS $BA $NOC $IXYS
1
3",,,1,3,['https://pbs.twimg.com/media/C1LpuhYUcAAnJK6?format=jpg&name=small'],https://twitter.com/ZigzagmanTrader/status/815971476734144512
3,Alessandro viva l’#Ucraina,@pelias01,2017-01-02T13:59:07.000Z,Dividend Growth Portfolio - 2016 Review And 2017 Preview http://seekingalpha.com/article/4033646-dividend-growth-portfolio-2016-review-2017-preview?source=tweet… $BHP $LNT $T $PEP $KMI $CVX $CSCO $BA $SO $VTR $SJR $O,"Dividend Growth Portfolio - 2016 Review And 2017 Preview http://seekingalpha.com/article/4033646-dividend-growth-portfolio-2016-review-2017-preview?source=tweet… $BHP $LNT $T $PEP $KMI $CVX $CSCO $BA $SO $VTR $SJR $O
1",,,1,,[],https://twitter.com/pelias01/status/815920359065128960
4,Richard Suttmeier,@Suttmeier,2017-01-02T15:17:04.000Z,$BA becomes one of the 8 'Dogs of the Dow' for 2017. http://forbes.com/sites/investor/2016/12/27/boeing-disney-and-these-3-stocks-are-best-positioned-for-dow-20000/#3cdce341990a…,$BA becomes one of the 8 'Dogs of the Dow' for 2017. http://forbes.com/sites/investor/2016/12/27/boeing-disney-and-these-3-stocks-are-best-positioned-for-dow-20000/#3cdce341990a…,,,,,['https://pbs.twimg.com/media/C1LNFYjXcAAdN5y?format=jpg&name=small'],https://twitter.com/Suttmeier/status/815939976940625921
5,Seeking Alpha,@SeekingAlpha,2017-01-02T14:49:07.000Z,Donald Trump's War On War http://seekingalpha.com/article/4033770-donald-trumps-war-war?source=feed_f… $BA $LMT $NOC $RTN,Donald Trump's War On War http://seekingalpha.com/article/4033770-donald-trumps-war-war?source=feed_f… $BA $LMT $NOC $RTN,,,,,[],https://twitter.com/SeekingAlpha/status/815932943575060483
6,George Marcovits,@GemsBot,2017-01-02T20:35:17.000Z,1 of 5 Daily charts of the DJIA Components $AAPL $AXP $BA $CAT $CSCO $CVX with the SSI indicator …,"1 of 5 Daily charts of the DJIA Components $AAPL $AXP $BA $CAT $CSCO $CVX with the SSI indicator …
2
2",,,2,2,['https://pbs.twimg.com/media/C1MV6qPXUAAxz3T?format=jpg&name=small'],https://twitter.com/GemsBot/status/816020058912722946
7,Fredrik Rydlun,@FredrikRydlun,2017-01-02T23:22:21.000Z,Will five low priced Dow dogs fly high in 2017? http://seekingalpha.com/article/4033664-meet-flying-five-dogs-dow-2017?source=tweet… $AAPL $BA $CAT $CSCO $CVX $DD $GS $HD $IBM $INTC $KO $NKE $PFE $PG,"Will five low priced Dow dogs fly high in 2017? http://seekingalpha.com/article/4033664-meet-flying-five-dogs-dow-2017?source=tweet… $AAPL $BA $CAT $CSCO $CVX $DD $GS $HD $IBM $INTC $KO $NKE $PFE $PG
seekingalpha.com
Meet The Flying Five Dogs Of The Dow For 2017
Time for the annual rebalance of your Dow dog holdings. Top ten Dow dividend yields averaged 3.21% per indexArb.com or 2.83% per YCharts.com as of December 30.
1",,,1,,['https://pbs.twimg.com/card_img/1501753392921722880/_YbiUKI7?format=jpg&name=240x240'],https://twitter.com/FredrikRydlun/status/816062100686729222
8,F.A.S.T. Graphs,@FASTGraphs,2017-01-03T16:28:24.000Z,"Ward's Weekly Round Up: No Fed Fireworks, Alexa Goes To Vegas, And JNJ Walks Away http://seekingalpha.com/article/4030944-wards-weekly-round-fed-fireworks-alexa-goes-vegas-jnj-walks-away?source=tweet… $AMZN $BA $BRK.A $CVS $DIS $JNJ","Ward's Weekly Round Up: No Fed Fireworks, Alexa Goes To Vegas, And JNJ Walks Away http://seekingalpha.com/article/4030944-wards-weekly-round-fed-fireworks-alexa-goes-vegas-jnj-walks-away?source=tweet… $AMZN $BA $BRK.A $CVS $DIS $JNJ",,,,,[],https://twitter.com/FASTGraphs/status/816320314141450240
9,Bilo Selhi,@StocksThatDoubl,2017-01-03T17:47:33.000Z,http://BiloSelhi.com alerts stocks w/ 10-1800% potential. JOIN NOW Promo  $MGT $BA $MA $LYG $USB $MCD $COG,"http://BiloSelhi.com alerts stocks w/ 10-1800% potential. JOIN NOW Promo  $MGT $BA $MA $LYG $USB $MCD $COG
1",,,,1,['https://pbs.twimg.com/media/CiX8f4PUkAQf2Dy?format=jpg&name=small'],https://twitter.com/StocksThatDoubl/status/816340234044579840
