,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,HiddenPivots,@HiddenPivots,2020-01-02T21:04:15.000Z,"$CAT in #HPchartroom
http://hiddenpivots.com","$CAT in #HPchartroom
http://hiddenpivots.com
3
15",🚀,3,,15,"['https://pbs.twimg.com/media/ENTha_IWkAAVaqX?format=png&name=small', 'https://pbs.twimg.com/media/ENTha_JWoBUCwmJ?format=jpg&name=small']",https://twitter.com/HiddenPivots/status/1212842061281583104
1,JMVala,@JMVala_Trades,2020-01-03T00:44:42.000Z,"$CAT alert went off today. If 148.4-149.75 acts supportive, targets 154.59 and 158.73","$CAT alert went off today. If 148.4-149.75 acts supportive, targets 154.59 and 158.73
1
4
10",,1,4,10,['https://pbs.twimg.com/media/ENUT4WCWoAIW1sg?format=jpg&name=small'],https://twitter.com/JMVala_Trades/status/1212897537960665088
2,Gary Reiner,@ELPfan,2020-01-01T01:04:26.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1212177729572888576
3,Ancient astronaut,@ntfri,2020-01-02T05:13:21.000Z,$CAT breakout on watch,"$CAT breakout on watch
2",🪔 💫,,,2,['https://pbs.twimg.com/media/ENQHx3mWkAA_G9e?format=png&name=small'],https://twitter.com/ntfri/status/1212602757032693761
4,Stephen Guilfoyle,@Sarge986,2020-01-02T14:01:35.000Z,"3 Sectors to Watch, First Quarter Volatility, 10 Dow Dogs: Market Recon $DOW $XOM $IBM $CVX $PFE $MMM $WBA $CSCO $KO $CAT $JEF  https://realmoney.thestreet.com/investing/3-sectors-to-watch-first-quarter-volatility-10-dow-dogs-market-recon-15198660… via 
@RealMoney","3 Sectors to Watch, First Quarter Volatility, 10 Dow Dogs: Market Recon $DOW $XOM $IBM $CVX $PFE $MMM $WBA $CSCO $KO $CAT $JEF  https://realmoney.thestreet.com/investing/3-sectors-to-watch-first-quarter-volatility-10-dow-dogs-market-recon-15198660… via 
@RealMoney
realmoney.thestreet.com
3 Sectors to Watch, First Quarter Volatility, 10 Dow Dogs: Market Recon
Also: People's Bank of China, the Fed, U.S./China trade deal, Brexit, USMCA.
1
3
5",,1,3,5,['https://pbs.twimg.com/card_img/1499229856369975297/c5Mjlahe?format=png&name=small'],https://twitter.com/Sarge986/status/1212735694122209280
5,Money Flow Mel,@MelStone31,2020-01-03T02:41:15.000Z,"$XLI - #darkpool prints active today (time is CST) / avg daily vol = 9.65 mil 
Top holdings: $BA $HON $UNP $UTX $MMM $LMT $GE $UPS $CAT $RTN $CSX","$XLI - #darkpool prints active today (time is CST) / avg daily vol = 9.65 mil 
Top holdings: $BA $HON $UNP $UTX $MMM $LMT $GE $UPS $CAT $RTN $CSX
2
3",,,2,3,['https://pbs.twimg.com/media/ENUujwKWsAAtACY?format=png&name=small'],https://twitter.com/MelStone31/status/1212926867977707522
6,Cody Freeman,@ZenTrends,2020-01-01T10:03:48.000Z,"$CAT A friend asked me ""does this look more like a Top or a Bottom?""","$CAT A friend asked me ""does this look more like a Top or a Bottom?""
3
3",,3,,3,['https://pbs.twimg.com/media/ENMAq_2WsAI8UbC?format=png&name=small'],https://twitter.com/ZenTrends/status/1212313465341317122
7,,@LarryLivinston,2020-01-03T16:01:55.000Z,"Today, we just got the lowest US manufacturing PMI since 2009, meanwhile US stock indices are above upper BBs & CNN fear/greed index sits at 98 (greediest reading in 3 years). #NotYourDadsMarkets

$SPY $SPX $AAPL $AMZN $CAT $BA $IWM $DE $ES_F $NQ_F $ZB_F $ZB_F $TLT $UVXY $AMZN","Today, we just got the lowest US manufacturing PMI since 2009, meanwhile US stock indices are above upper BBs & CNN fear/greed index sits at 98 (greediest reading in 3 years). #NotYourDadsMarkets

$SPY $SPX $AAPL $AMZN $CAT $BA $IWM $DE $ES_F $NQ_F $ZB_F $ZB_F $TLT $UVXY $AMZN
1",✌,,1,,['https://pbs.twimg.com/media/ENXlz7JWwAAxl9Q?format=jpg&name=small'],https://twitter.com/LarryLivinston/status/1213128363147243523
8,trendwhizo,@trendwhizo,2020-01-02T14:49:47.000Z,"New All Time Highs in #SP500 listings:

$A
$AAPL
$ADSK
$BLK
$CAT
$DOV
$GPN
$INTC
$KLAC
$MA
$MCHP
$MET
$MLM
$TFX
$SPGI



#NewYears2020 #ThursdayThoughts #backtowork","New All Time Highs in #SP500 listings:

$A
$AAPL
$ADSK
$BLK
$CAT
$DOV
$GPN
$INTC
$KLAC
$MA
$MCHP
$MET
$MLM
$TFX
$SPGI



#NewYears2020 #ThursdayThoughts #backtowork
1
1",📈 🚀,,1,1,[],https://twitter.com/trendwhizo/status/1212747824724692992
9,Market Sentiment Signals And Prediction,@MarketPredGuy,2020-01-03T12:00:01.000Z,"Twitter Average Sentiment
$AMD $GOOG $FB $MMM $CAT","Twitter Average Sentiment
$AMD $GOOG $FB $MMM $CAT",,,,,['https://pbs.twimg.com/media/ENWuc0lXUAAPwMF?format=png&name=small'],https://twitter.com/MarketPredGuy/status/1213067487794913280
