,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,ThePitBoss,@ThePitBoss16,2019-01-03T17:33:58.000Z,"The Dogs of The Dow 2019 $DJIA
$IBM $XOM $VZ $CVX $PFE $KO $JPM $PG $CSCO $MRK
Yield v Market Risk? https://traderscommunity.com/index.php/stocks/1277-dogs-of-the-dow-2019…","The Dogs of The Dow 2019 $DJIA
$IBM $XOM $VZ $CVX $PFE $KO $JPM $PG $CSCO $MRK
Yield v Market Risk? https://traderscommunity.com/index.php/stocks/1277-dogs-of-the-dow-2019…
3
4
6",,3,4,6,['https://pbs.twimg.com/media/DwAOSmMUcAA-qfR?format=jpg&name=small'],https://twitter.com/ThePitBoss16/status/1080879958694727681
1,Paul Zimmerman,@prodoom,2019-01-03T16:35:21.000Z,$CSCO - My Best Pick For 2019: Cisco Systems https://seekingalpha.com/article/4231075-best-pick-2019-cisco-systems?source=tweet…,"$CSCO - My Best Pick For 2019: Cisco Systems https://seekingalpha.com/article/4231075-best-pick-2019-cisco-systems?source=tweet…
2",,,,2,[],https://twitter.com/prodoom/status/1080865207562297344
2,Stock Market Picks,@StockWebTrading,2019-01-03T02:39:07.000Z,"$AVGO $CHTR $CTRX $CSCO long and short #stocks from #NASDAQ, up to 1900% in cumulative profits since 2010. https://qqqtradingtips.com $QQQ $SPY #trading #Stockstowatch #trade #Trader #system #strategy #picks","$AVGO $CHTR $CTRX $CSCO long and short #stocks from #NASDAQ, up to 1900% in cumulative profits since 2010. https://qqqtradingtips.com $QQQ $SPY #trading #Stockstowatch #trade #Trader #system #strategy #picks
4
4",,,4,4,['https://pbs.twimg.com/media/Dv9BxRgX0AEtfJz?format=jpg&name=small'],https://twitter.com/StockWebTrading/status/1080654760754245633
3,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2019-01-03T22:59:23.000Z,Apple's down market $GOOGL $FB $JPM $C $BAC $WFC $AAPL $PM $PG $GE $HON $JNJ $CSCO $MSFT $INTC $TWTR $TSLA $V $DIS $UNH $VZ $KHC $SLB $XOM $ES_F $GC_F $NQ_F $CL_F $ZB_F $TLT $MET $PNC $CTL $LMT $WMT $TGT $DLTR $AMZN $AMGN $BMY $IBM $SPX $NASDAQ $DJIA $CAC $DAX $FTSE $BTC $COST,"Apple's down market $GOOGL $FB $JPM $C $BAC $WFC $AAPL $PM $PG $GE $HON $JNJ $CSCO $MSFT $INTC $TWTR $TSLA $V $DIS $UNH $VZ $KHC $SLB $XOM $ES_F $GC_F $NQ_F $CL_F $ZB_F $TLT $MET $PNC $CTL $LMT $WMT $TGT $DLTR $AMZN $AMGN $BMY $IBM $SPX $NASDAQ $DJIA $CAC $DAX $FTSE $BTC $COST
1
2",📈 📉,,1,2,['https://pbs.twimg.com/media/DwBZEUsU8AEubfp?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1080961850160934912
4,Michael Novinson,@MichaelNovinson,2019-01-03T18:02:55.000Z,"10 #Cybersecurity Companies To Watch In 2019, Ft. 
@alienvault
, 
@ATT
, 
@BlackBerry
, 
@Centrify
, 
@CiscoSecurity
, 
@Cloudflare
, 
@CrowdStrike
, 
@cylanceinc
, 
@duosec
, 
@IdaptiveHQ
, 
@McAfee
, 
@PaloAltoNtwks
, 
@symantec
 & 
@Tanium
 @CRN
 $ATT $CSCO $PANW $SYMC https://buff.ly/2TnEjtO","10 #Cybersecurity Companies To Watch In 2019, Ft. 
@alienvault
, 
@ATT
, 
@BlackBerry
, 
@Centrify
, 
@CiscoSecurity
, 
@Cloudflare
, 
@CrowdStrike
, 
@cylanceinc
, 
@duosec
, 
@IdaptiveHQ
, 
@McAfee
, 
@PaloAltoNtwks
, 
@symantec
 & 
@Tanium
 @CRN
 $ATT $CSCO $PANW $SYMC https://buff.ly/2TnEjtO
5
10",,,5,10,['https://pbs.twimg.com/media/DwAVOLEWkAE2QGF?format=jpg&name=small'],https://twitter.com/MichaelNovinson/status/1080887245375238144
5,ABK Management LLC,@ABKManagement,2019-01-02T18:52:40.000Z,"2019 Sell-Side Predictions for the S&P 500 

$SPY $MSFT $AAPL $AMZN $BRK $JNJ $JPM $FB $GOOGL $XOM $PFE $UNH $V $VZ $PG $BAC $INTC $CVX $T $MRK $WFC $CSCO $HD $KO $MA $TSLA","2019 Sell-Side Predictions for the S&P 500 

$SPY $MSFT $AAPL $AMZN $BRK $JNJ $JPM $FB $GOOGL $XOM $PFE $UNH $V $VZ $PG $BAC $INTC $CVX $T $MRK $WFC $CSCO $HD $KO $MA $TSLA",,,,,['https://pbs.twimg.com/media/Dv7VqaVU0AATGYY?format=jpg&name=small'],https://twitter.com/ABKManagement/status/1080537375044857857
6,Kevin Kleinman,@KleinmanBHC,2019-01-03T00:13:14.000Z,"$CSCO p/e got as high as 170 at height of bubble, $AAPL p/e peaked at 19 last year...","$CSCO p/e got as high as 170 at height of bubble, $AAPL p/e peaked at 19 last year...
SellthetaLLC
@warren_tt
 · 3 Jan 2019
Replying to @BlackfishFinanc
$AAPL is the new $CSCO
2
1
5",,2,1,5,['https://pbs.twimg.com/profile_images/1455557993907458050/Q9r5hPQk_mini.jpg'],https://twitter.com/KleinmanBHC/status/1080618049118588929
7,Thanson,@Leapslife,2019-01-03T12:29:54.000Z,"$CSCO

My go to short this morning.","$CSCO

My go to short this morning.",,,,,['https://pbs.twimg.com/media/Dv_I9j3WsAAE_1X?format=jpg&name=small'],https://twitter.com/Leapslife/status/1080803439213510661
8,Obi,@aaaamhim,2019-01-03T17:51:55.000Z,"$GETH .0018s going!! Was once $4, 52wkhigh 10 cents! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F $AAPL $RIG $T $CVS $C $MSFT $JPM $FB $NFLX $ACIA $PFE $CSCO $INFY $MRO $HBI $HPE $KMI $ORCL $FOX $BABA $WBA $RF $XOM $X $NVDA $CSX $SFOR #P $T $NKTR $VZ $AMAT $EPD $BSX $KO $WMB","$GETH .0018s going!! Was once $4, 52wkhigh 10 cents! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F $AAPL $RIG $T $CVS $C $MSFT $JPM $FB $NFLX $ACIA $PFE $CSCO $INFY $MRO $HBI $HPE $KMI $ORCL $FOX $BABA $WBA $RF $XOM $X $NVDA $CSX $SFOR #P $T $NKTR $VZ $AMAT $EPD $BSX $KO $WMB
1",💸,,,1,['https://pbs.twimg.com/media/DwASskJU0AA-E14?format=jpg&name=900x900'],https://twitter.com/aaaamhim/status/1080884475255508992
9,TheBurdetteLawFirm,@TheBurdetteLawF,2019-01-03T15:05:01.000Z,#estate asset watch - most active option names this morning- $AAPL $GE $FB $BAC $NVDA $BABA $TSLA $AMZN $AMD $T $MU $VAC $MSFT $PBR $NFLX $JPM $C $F $AABA $ECA $JD $CSCO $TWTR $X $INTC $GILD $GS $THC $XOM $DIS $SNAP $RIG $SQ $PYPL $LVS $CLF $CS $VZ $IBM $AMRN $WYNN $AR $BKS $CELG,"#estate asset watch - most active option names this morning- $AAPL $GE $FB $BAC $NVDA $BABA $TSLA $AMZN $AMD $T $MU $VAC $MSFT $PBR $NFLX $JPM $C $F $AABA $ECA $JD $CSCO $TWTR $X $INTC $GILD $GS $THC $XOM $DIS $SNAP $RIG $SQ $PYPL $LVS $CLF $CS $VZ $IBM $AMRN $WYNN $AR $BKS $CELG
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/DulPnONWoAASvCK.jpg'],https://twitter.com/TheBurdetteLawF/status/1080842473440755712
