,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,PowerTriggerTrade,@Sandro_power,2018-01-03T17:58:03.000Z,$CVX doing well over 300% gains as a longer term  hold  we did 150% in the first day,"$CVX doing well over 300% gains as a longer term  hold  we did 150% in the first day
1
79
96",,1,79,96,[],https://twitter.com/Sandro_power/status/948614449136586752
1,PowerTriggerTrade,@Sandro_power,2018-01-02T18:52:50.000Z,While the stockbookie = the stockclown cries that the market is to high with #NoSkill I bang out strong wining plans like $CVX $NFLX $BABA with a super strong start to the new year while many services lost money shorting stocks like $PCLN $STUDY the power of a big picture master,"While the stockbookie = the stockclown cries that the market is to high with #NoSkill I bang out strong wining plans like $CVX $NFLX $BABA with a super strong start to the new year while many services lost money shorting stocks like $PCLN $STUDY the power of a big picture master
2
71
84",,2,71,84,[],https://twitter.com/Sandro_power/status/948265847201718278
2,PowerTriggerTrade,@Sandro_power,2018-01-03T18:15:45.000Z,"these  $CVX calls that we bought for  at  1.70  are now at  7.25 today , this is to show the power of correct plans and what they can pay when you can see the big picture","these  $CVX calls that we bought for  at  1.70  are now at  7.25 today , this is to show the power of correct plans and what they can pay when you can see the big picture
PowerTriggerTrade
@Sandro_power
 · 21 Dec 2017
I posted this inside of PowerGroupTrades about an 1hour ago for my serious followers
3
76
90",,3,76,90,"['https://pbs.twimg.com/profile_images/1222616716120903685/iFBYVJJh_mini.jpg', 'https://pbs.twimg.com/media/DRlN31BWAAATUeW?format=jpg&name=large']",https://twitter.com/Sandro_power/status/948618901973360641
3,J.C. Parets,@allstarcharts,2018-01-01T22:48:45.000Z,"What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57","What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57
allstarcharts.com
Where We've Been And Where We're Going - All Star Charts -
It’s hard not to reflect on the past 12 months as we celebrate the New Year with our friends and family. For me it’s both a blessing and a curse. While it’s exciting to begin 2018 on a fresh note, I...
1
9
35",,1,9,35,['https://pbs.twimg.com/card_img/1501452788353617920/pBFIElCA?format=jpg&name=240x240'],https://twitter.com/allstarcharts/status/947962830191337472
4,Surfergirl,@Terri1618,2018-01-02T08:14:42.000Z,"$IWM $SPY $RDFN $DQ update. Tech weak,some names rolling over. Patience for great setups.

$FCX $AA $X might consolidate near resistance after steep runs.
$EOG $FANG $CVX light consolidation is healthy. Multi-yr bases in oil & metals have room to run

$JP $QD $OLED $YY $WB tight","$IWM $SPY $RDFN $DQ update. Tech weak,some names rolling over. Patience for great setups.

$FCX $AA $X might consolidate near resistance after steep runs.
$EOG $FANG $CVX light consolidation is healthy. Multi-yr bases in oil & metals have room to run

$JP $QD $OLED $YY $WB tight
2
18",,,2,18,"['https://pbs.twimg.com/media/DShYrP6VwAEIqrz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DShYrP-UMAAi-KR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DShYrP7UIAE9gzV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DShYrP8UIAA1YsC?format=jpg&name=360x360']",https://twitter.com/Terri1618/status/948105254574231552
5,Maria Chaudhry,@mchaudhry82,2018-01-03T04:20:26.000Z,Wednesday’s Watch1: $AAPL $AMZN $BABA $FB $GOOGL $BTC.X $ETH.X $AMD $AVGO $BA $CAT $FCX $CVX $AA $ABBV $ALXN $ADA.X,"Wednesday’s Watch1: $AAPL $AMZN $BABA $FB $GOOGL $BTC.X $ETH.X $AMD $AVGO $BA $CAT $FCX $CVX $AA $ABBV $ALXN $ADA.X
1
4
8",,1,4,8,['https://pbs.twimg.com/media/DSlsrR0V4AUzuUF?format=jpg&name=900x900'],https://twitter.com/mchaudhry82/status/948408689433759744
6,Tracy (𝕮𝖍𝖎),@chigrl,2018-01-02T13:25:21.000Z,"OUT : $XOM $CVX $TOT $COP IN: $RDS >>
Big #oil's exit leaves #Norway tending to its own petroleum future
http://businesstimes.com.sg/energy-commodities/big-oils-exit-leaves-norway-tending-to-its-own-petroleum-future… #oott $","OUT : $XOM $CVX $TOT $COP IN: $RDS >>
Big #oil's exit leaves #Norway tending to its own petroleum future
http://businesstimes.com.sg/energy-commodities/big-oils-exit-leaves-norway-tending-to-its-own-petroleum-future… #oott $
1
1",,1,,1,['https://pbs.twimg.com/media/DSifyYkWAAA9KRE?format=jpg&name=small'],https://twitter.com/chigrl/status/948183432269574146
7,Leilani Pips™,@PipsToDollars,2018-01-03T18:43:19.000Z,"We're in $NVDA  $AMZN $INTC $BABA $CVX today 
.","We're in $NVDA  $AMZN $INTC $BABA $CVX today 
.
1",,,,1,['https://pbs.twimg.com/media/DSoyLFdVAAAnYFX?format=jpg&name=small'],https://twitter.com/PipsToDollars/status/948625841918898176
8,max pain,@optioncharts,2018-01-03T13:18:14.000Z,$CVX Max Pain is 125.00 for maturity 01/05/2018. #maxpain #options http://bit.ly/2ClvQAf,$CVX Max Pain is 125.00 for maturity 01/05/2018. #maxpain #options http://bit.ly/2ClvQAf,,,,,['https://pbs.twimg.com/media/DSnnxHZX0AA8adf?format=jpg&name=small'],https://twitter.com/optioncharts/status/948544029922390016
9,Jeff Quiggle,@macroQmicro,2018-01-03T20:37:30.000Z,$CVX another 3 year high as pushes further up into overhead re 2014 all time high #energy #XLE $IGE,$CVX another 3 year high as pushes further up into overhead re 2014 all time high #energy #XLE $IGE,,,,,['https://pbs.twimg.com/media/DSpMTs8XkAMZUNk?format=jpg&name=small'],https://twitter.com/macroQmicro/status/948654576114327552
