,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Seeking Alpha,@SeekingAlpha,2017-01-01T23:56:05.000Z,Meet The Flying Five Dogs Of The Dow For 2017 http://seekingalpha.com/article/4033664-meet-flying-five-dogs-dow-2017?source=feed_f… $AAPL #APPLE $BA $CAT $CSCO $CVX $DD $GS $HD $IBM $INTC $KO $NKE,"Meet The Flying Five Dogs Of The Dow For 2017 http://seekingalpha.com/article/4033664-meet-flying-five-dogs-dow-2017?source=feed_f… $AAPL #APPLE $BA $CAT $CSCO $CVX $DD $GS $HD $IBM $INTC $KO $NKE
seekingalpha.com
Meet The Flying Five Dogs Of The Dow For 2017
Time for the annual rebalance of your Dow dog holdings. Top ten Dow dividend yields averaged 3.21% per indexArb.com or 2.83% per YCharts.com as of December 30.
2",,,2,,['https://pbs.twimg.com/card_img/1501753392921722880/_YbiUKI7?format=jpg&name=240x240'],https://twitter.com/SeekingAlpha/status/815708205258899456
1,Gary Lundy,@GUMBY9662C,2017-01-02T17:05:50.000Z,$DD nice bullish bet,"$DD nice bullish bet
1",,,,1,['https://pbs.twimg.com/media/C1Ll6v6XEAAxwwT?format=jpg&name=small'],https://twitter.com/GUMBY9662C/status/815967347278278657
2,George Marcovits,@GemsBot,2017-01-02T20:36:31.000Z,Commented on StockTwits: 2 of 5 $DD $DIS $GE $GS $HD $IBM dark green arrows strong buy signals … http://stocktwits.com/GemsBot/message/70657323#70657330…,Commented on StockTwits: 2 of 5 $DD $DIS $GE $GS $HD $IBM dark green arrows strong buy signals … http://stocktwits.com/GemsBot/message/70657323#70657330…,,,,,['https://pbs.twimg.com/media/C1MWMvLWQAAUFZk?format=jpg&name=small'],https://twitter.com/GemsBot/status/816020368582381570
3,Dow Stocks,@Top_Dow_Stocks,2017-01-03T08:21:40.000Z,#Dow #stocks $DD E. I. Daily:0.00% Weekly:-2.04% YTD:0% Trend:31 / 100  http://12Stocks.com/DD,#Dow #stocks $DD E. I. Daily:0.00% Weekly:-2.04% YTD:0% Trend:31 / 100  http://12Stocks.com/DD,,,,,[],https://twitter.com/Top_Dow_Stocks/status/816197827139289088
4,BPI Trade,@BPItrade,2017-01-03T00:29:08.000Z,$DD: DoubleDragon targets at least 30 operational CityMalls this year,"$DD: DoubleDragon targets at least 30 operational CityMalls this year
3
1",,,3,1,[],https://twitter.com/BPItrade/status/816078909754118144
5,Sweet Platform,@SweetPlatform,2017-01-02T18:25:04.000Z,"DD Top news - Jan 2nd, 2017 $DD http://https://goo.gl/cTblA0","DD Top news - Jan 2nd, 2017 $DD http://https://goo.gl/cTblA0",,,,,[],https://twitter.com/SweetPlatform/status/815987289818103808
6,Juan Tamad,@TsupitaEquities,2017-01-02T23:53:46.000Z,$DD Buy the dip. Last call nato bago lumipad #PSE #Psei #algotrading #fringetrading,"$DD Buy the dip. Last call nato bago lumipad #PSE #Psei #algotrading #fringetrading
1",,,,1,[],https://twitter.com/TsupitaEquities/status/816070006634991617
7,Juan Tamad,@TsupitaEquities,2017-01-03T01:42:50.000Z,"$DD currently let's look at the range from 37.72 to 38.96 
#algotrading #fringetrading #PSE #Psei","$DD currently let's look at the range from 37.72 to 38.96 
#algotrading #fringetrading #PSE #Psei",,,,,[],https://twitter.com/TsupitaEquities/status/816097455355740160
8,1 min Stock Insights,@1MinuteStock,2017-01-02T19:33:02.000Z,Wondering about risks of $DD? The 21-day volatility is 3.21%,"Wondering about risks of $DD? The 21-day volatility is 3.21%
unicornbay.com
DD — DuPont de Nemours Inc - comprehensive stock analysis.
DuPont de Nemours Inc - DD comprehensive stock analysis. Make proper investment decisions with analytics from Unicorn Bay.",,,,,['https://pbs.twimg.com/card_img/1501389851823939586/0yraaGkL?format=jpg&name=small'],https://twitter.com/1MinuteStock/status/816004394500161536
9,Watchlist News,@WatchlistN,2017-01-03T23:44:39.000Z,E.I. du Pont de Nemours and Company $DD Shares Sold by IBM Retirement Fund http://zpr.io/PquVT,E.I. du Pont de Nemours and Company $DD Shares Sold by IBM Retirement Fund http://zpr.io/PquVT,,,,,[],https://twitter.com/WatchlistN/status/816430103307624448
10,Limex,@LimexMe,2017-01-03T14:40:09.000Z,This 1 Word Could Lead to a Big Loss for DuPont and Chemours $DD $MMM $CC,"This 1 Word Could Lead to a Big Loss for DuPont and Chemours $DD $MMM $CC
whotrades.com
This 1 Word Could Lead to a Big Loss for DuPont and Chemours
Chemical titan  DuPont (NYSE: DD) and its spinoff Chemours (NYSE: CC) lost round one in a court case that could have huge implications for both companies. Now they're hoping to win…",,,,,[],https://twitter.com/LimexMe/status/816293073898602496
11,Daily Political,@dailypoliticaln,2017-01-01T23:56:39.000Z,"Excalibur Management Corp Has $324,000 Stake in E.I. du Pont de Nemours and Company $DD http://dailypolitical.com/?p=868876","Excalibur Management Corp Has $324,000 Stake in E.I. du Pont de Nemours and Company $DD http://dailypolitical.com/?p=868876",,,,,[],https://twitter.com/dailypoliticaln/status/815708345252413441
12,Daily Political,@dailypoliticaln,2017-01-03T03:30:30.000Z,"HL Financial Services LLC Has $2,929,000 Position in E.I. du Pont de Nemours and Company $DD http://ift.tt/2i4cXqq","HL Financial Services LLC Has $2,929,000 Position in E.I. du Pont de Nemours and Company $DD http://ift.tt/2i4cXqq",,,,,[],https://twitter.com/dailypoliticaln/status/816124550668832769
13,IT,@IncredibleTrade,2017-01-03T11:23:15.000Z,"$SEED Origin Agritech, DuPont $DD Pioneer Sign Definitive Agreement for Product Development[+] - WORTH WATCH ","$SEED Origin Agritech, DuPont $DD Pioneer Sign Definitive Agreement for Product Development[+] - WORTH WATCH 
1",🔥,,1,,[],https://twitter.com/IncredibleTrade/status/816243523238424576
