,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Tom Renna,@534Fourthave,2019-01-02T15:51:23.000Z,#EquitiesResearch: Stock Market Capitalization of the 50 Largest America $MSFT $HD $AAPL $GOOG $FB $AMZN $NFLX $V $WMT $WFC $XOM $JPM $KO $F $VZ $T $PG $JNJ iweblists  https://newsgrade.blogspot.com/2019/01/stock-market-capitalization-of-50.html…,"#EquitiesResearch: Stock Market Capitalization of the 50 Largest America $MSFT $HD $AAPL $GOOG $FB $AMZN $NFLX $V $WMT $WFC $XOM $JPM $KO $F $VZ $T $PG $JNJ iweblists  https://newsgrade.blogspot.com/2019/01/stock-market-capitalization-of-50.html…
3
5",,,3,5,['https://pbs.twimg.com/media/Dv6tazeWoAERB5R?format=jpg&name=small'],https://twitter.com/534Fourthave/status/1080491755353587715
1,Gary Reiner,@ELPfan,2019-01-01T03:06:41.000Z,"Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom...
https://seekingalpha.com/news/3419832?source=ansh… $MRK, $PFE, $MSFT, $NKE, $V, $CSCO, $UNH, $BA, $VZ, $KO, $MCD, $DIS, $INTC, $PG, $AXP, $WMT, $WBA, $AAPL, $JNJ, $JPM, $HD, $TRV, $CVX, $UTX, $XOM, $MMM, $CAT, $DWDP, $IBM, $GS, $GE","Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom...
https://seekingalpha.com/news/3419832?source=ansh… $MRK, $PFE, $MSFT, $NKE, $V, $CSCO, $UNH, $BA, $VZ, $KO, $MCD, $DIS, $INTC, $PG, $AXP, $WMT, $WBA, $AAPL, $JNJ, $JPM, $HD, $TRV, $CVX, $UTX, $XOM, $MMM, $CAT, $DWDP, $IBM, $GS, $GE
seekingalpha.com
Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom (NYSE:MRK)
Merck (NYSE:MRK) and Pfizer (NYSE:PFE) finish as the year's top gainers on the Dow Jones Industrial Average, as 14 of the 30 stocks in the index end in the green vs.",,,,,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1079936924108779520
2,TT,@tradetb,2019-01-03T21:16:50.000Z,"$HD with a beautiful retest of previous support turned resistance and 50dma caught down, hanging just above.","$HD with a beautiful retest of previous support turned resistance and 50dma caught down, hanging just above.
4",,,,4,['https://pbs.twimg.com/media/DwBBS9SX4AM-7F2?format=jpg&name=small'],https://twitter.com/tradetb/status/1080936046463012865
3,Jeff Farley,@TradeInTheZone,2019-01-01T06:04:29.000Z,Bernie Marcus founded Home Depot at age 50. $HD,"Bernie Marcus founded Home Depot at age 50. $HD
1
5",,,1,5,[],https://twitter.com/TradeInTheZone/status/1079981668180602880
4,Jonathan L,@jlay310,2019-01-02T21:23:32.000Z,this page is on fire!!!! 3 out of 3!!! $bvtk $azfl $plpl $siri $aapl $msft $abil $snap $hd $t,this page is on fire!!!! 3 out of 3!!! $bvtk $azfl $plpl $siri $aapl $msft $abil $snap $hd $t,,,,,['https://pbs.twimg.com/media/Dv75in9UYAAl3LG?format=jpg&name=900x900'],https://twitter.com/jlay310/status/1080575340735541251
5,AlpacaAlerts,@AlpacaAlerts,2019-01-01T12:46:01.000Z,$HD green Monday w/ 8  signals like scoop. Sup/Res=169.58/174.55. Wanna enter? https://goo.gl/jyccdl,$HD green Monday w/ 8  signals like scoop. Sup/Res=169.58/174.55. Wanna enter? https://goo.gl/jyccdl,🐂,,,,['https://pbs.twimg.com/media/Dv05gYVWsAId__S?format=png&name=small'],https://twitter.com/AlpacaAlerts/status/1080082715750400000
6,Market Realist,@MarketRealist,2019-01-02T14:47:21.000Z,At Home Stock: What Went Wrong in 2018? $HOME $RH $WSM $HD https://marketrealist.com/2019/01/at-home-stock-what-went-wrong-in-2018…,At Home Stock: What Went Wrong in 2018? $HOME $RH $WSM $HD https://marketrealist.com/2019/01/at-home-stock-what-went-wrong-in-2018…,,,,,['https://pbs.twimg.com/media/Dv6e3oSW0AAY6om?format=jpg&name=small'],https://twitter.com/MarketRealist/status/1080475641630416896
7,Jeff Macke,@JeffMacke,2019-01-01T15:31:42.000Z,"The $XRT retail index chart is not a tremendously motivational way to open 2019. $HD holders also ready for the new year, having priced in the coming recession for 3 months.","The $XRT retail index chart is not a tremendously motivational way to open 2019. $HD holders also ready for the new year, having priced in the coming recession for 3 months.
1
6",,1,,6,"['https://pbs.twimg.com/media/Dv1e7KOU0AEMzUQ?format=jpg&name=small', 'https://pbs.twimg.com/media/Dv1fMcJU0AEitNn?format=jpg&name=small']",https://twitter.com/JeffMacke/status/1080124413570416640
8,stockbard,@stockbard,2019-01-01T17:15:16.000Z,"$BAM! $I $AM $FOR $MEN
$I $ACE $HD
$I $TAP $HD","$BAM! $I $AM $FOR $MEN
$I $ACE $HD
$I $TAP $HD",,,,,[],https://twitter.com/stockbard/status/1080150476576997376
9,Volatility,@getvolatility,2019-01-01T11:41:12.000Z,"Cheap call option upside: $AAPL calls cheaper than 83% of history, $JNJ 83%, $MRK 83%, $ROKU 83%, $CRM 83%, $WYNN 83%, $HD 83%","Cheap call option upside: $AAPL calls cheaper than 83% of history, $JNJ 83%, $MRK 83%, $ROKU 83%, $CRM 83%, $WYNN 83%, $HD 83%
1",,,1,,[],https://twitter.com/getvolatility/status/1080066405255524352
