,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Daneel,@daneelproject,2018-01-02T10:26:31.000Z,"Many members asked us 
@IBM
 is really partnered with 
@daneelproject
 for the upcoming DANEEL project. Here is the proof. The reason why we do not go full hype marketing mode is that we consider quality over quantity. We will be having few advisers from IBM as well in due course.","Many members asked us 
@IBM
 is really partnered with 
@daneelproject
 for the upcoming DANEEL project. Here is the proof. The reason why we do not go full hype marketing mode is that we consider quality over quantity. We will be having few advisers from IBM as well in due course.
7
349
327",,7,349,327,['https://pbs.twimg.com/media/DSh16_4U8AAjj4w?format=jpg&name=small'],https://twitter.com/daneelproject/status/948138426242498560
1,IBM,@IBM,2018-01-03T18:37:01.000Z,"An inside look at the components of the industry's most advanced server built for #AI, incorporating IBM's newly designed #POWER9 processor: http://bitly.com/2E0QtRB","An inside look at the components of the industry's most advanced server built for #AI, incorporating IBM's newly designed #POWER9 processor: http://bitly.com/2E0QtRB
3
45
83",,3,45,83,['https://pbs.twimg.com/media/DSowusSWkAAbz5N?format=jpg&name=small'],https://twitter.com/IBM/status/948624253410189313
2,Robin Alter,@rdalter,2018-01-03T02:05:14.000Z,"Just visited the Accessibility Exhibit at Cooper Hewitt Museum in NYC    http://bit.ly/2Cvk6OZ 
#CES2018 #AccessibleOlli #autonomous 
@CTAFoundation
 @IBM
 @localmotors
 @ultrahaptics
 @what3words
 @ADLINKTech_usa 
@MayoClinic
 #PTECH 
@MIT
 @Princeton
 @AARP
 #ibmatces","Just visited the Accessibility Exhibit at Cooper Hewitt Museum in NYC    http://bit.ly/2Cvk6OZ 
#CES2018 #AccessibleOlli #autonomous 
@CTAFoundation
 @IBM
 @localmotors
 @ultrahaptics
 @what3words
 @ADLINKTech_usa 
@MayoClinic
 #PTECH 
@MIT
 @Princeton
 @AARP
 #ibmatces
25
11",,,25,11,"['https://pbs.twimg.com/media/DSlNqf8W4AM-4fK?format=jpg&name=small', 'https://pbs.twimg.com/media/DSlNqfOXcAA5ulp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSlNqfUWAAAqex7?format=jpg&name=360x360']",https://twitter.com/rdalter/status/948374664576987138
3,Dagmar Domke,@dag_dom,2018-01-02T09:24:43.000Z,"RT 
@IBM
: Happy New Year. Here's to a wonderful 2018!","RT 
@IBM
: Happy New Year. Here's to a wonderful 2018!
GIF
2",,,,2,['https://pbs.twimg.com/tweet_video_thumb/DSYHDsuXkAA5HJY.jpg'],https://twitter.com/dag_dom/status/948122873834737664
4,LNP Services,@LNPServices,2018-01-02T18:55:09.000Z,"#GDPR could have a real impact on your whole organization - your people, your suppliers and your business partners. GDPR - covering four main areas - security, data subject rights, consent and privacy by design 
@IBM","#GDPR could have a real impact on your whole organization - your people, your suppliers and your business partners. GDPR - covering four main areas - security, data subject rights, consent and privacy by design 
@IBM
5:48
71 views
39
8",,,39,8,[],https://twitter.com/LNPServices/status/948266430759235584
5,David Bader,@Prof_DavidBader,2018-01-01T10:37:43.000Z,"How Data Analytics is Transforming the #NFL.
@IBM
 @IBMAnalytics
 @NFL
  #DataScience #ML #AI #BigData 
http://bit.ly/2lriaMP","How Data Analytics is Transforming the #NFL.
@IBM
 @IBMAnalytics
 @NFL
  #DataScience #ML #AI #BigData 
http://bit.ly/2lriaMP
2
7",,,2,7,['https://pbs.twimg.com/media/DScv2YpW4AEU59T?format=jpg&name=small'],https://twitter.com/Prof_DavidBader/status/947778860090822656
6,Horacio Cuervo,@hcuervo,2018-01-03T03:17:34.000Z,"Take a look at what makes the 
@MIT
 - 
@IBMWatson
 #AI lab so special: http://bitly.com/2EGJvCA  ^
@IBM","Take a look at what makes the 
@MIT
 - 
@IBMWatson
 #AI lab so special: http://bitly.com/2EGJvCA  ^
@IBM
2
6",,,2,6,['https://pbs.twimg.com/media/DSlRe_lWsAEPe33?format=jpg&name=small'],https://twitter.com/hcuervo/status/948392869152329728
7,PowWow Mobile,@powwowmobile,2018-01-02T16:46:50.000Z,"Kick off your year with this week's round of Enterprise #Mobility Bytes! See what's going on with 
@IBM
, #cryptocurrency, #blockchain, #cloud & more: https://powwowmobile.com/enterprise-mobility-bytes-week-of-december-25-31-2017/…","Kick off your year with this week's round of Enterprise #Mobility Bytes! See what's going on with 
@IBM
, #cryptocurrency, #blockchain, #cloud & more: https://powwowmobile.com/enterprise-mobility-bytes-week-of-december-25-31-2017/…
1
1
2",,1,1,2,['https://pbs.twimg.com/media/DSjNjnSVQAEq3b_?format=jpg&name=small'],https://twitter.com/powwowmobile/status/948234136145268737
8,DeepSingularity,@DeepSingularity,2018-01-01T05:30:03.000Z,"Free eBook: According to 
@IBM
 Researchers, Medical Images Make Up 90% of Existing Medical Big data. Learn How to Make the Most of This Data: #MachineLearning #HealthTech #Books by 
@gp_pulipaka
http://bit.ly/2DFCTmC","Free eBook: According to 
@IBM
 Researchers, Medical Images Make Up 90% of Existing Medical Big data. Learn How to Make the Most of This Data: #MachineLearning #HealthTech #Books by 
@gp_pulipaka
http://bit.ly/2DFCTmC
12
6",,,12,6,['https://pbs.twimg.com/media/DSbpbduWkAA4KnZ?format=jpg&name=small'],https://twitter.com/DeepSingularity/status/947701432546938882
9,IBM Sports & Entertainment,@IBMSports,2018-01-02T22:15:34.000Z,"It's a new year and we're excited to spend 2018 in our new home in #Atlanta. See how 
@IBM
 is involved in 
@MBStadium
 - https://ibm.com/sports/atlanta-stadium… #IBMsports","It's a new year and we're excited to spend 2018 in our new home in #Atlanta. See how 
@IBM
 is involved in 
@MBStadium
 - https://ibm.com/sports/atlanta-stadium… #IBMsports
9
12",,,9,12,['https://pbs.twimg.com/media/DSkXZvHV4AAiwWu?format=jpg&name=small'],https://twitter.com/IBMSports/status/948316864580673537
