,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,JC,@JC_PIP,2017-01-02T16:40:13.000Z,"A Look at 3M's Return Potential #stockanalysis #investing #Dividends 
@seekingalpha
 $MMM http://seekingalpha.com/article/4008731-3m…","A Look at 3M's Return Potential #stockanalysis #investing #Dividends 
@seekingalpha
 $MMM http://seekingalpha.com/article/4008731-3m…
1",,,1,,['https://pbs.twimg.com/media/CtityDfWAAAZkdp?format=jpg&name=360x360'],https://twitter.com/JC_PIP/status/815960900519809024
1,Seeking Alpha,@SeekingAlpha,2017-01-01T15:32:28.000Z,3M Company - High Quality Dividend Champion - But Valuation Is High http://seekingalpha.com/article/4033630-3m-company-high-quality-dividend-champion-valuation-high?source=feed_f… $MMM,3M Company - High Quality Dividend Champion - But Valuation Is High http://seekingalpha.com/article/4033630-3m-company-high-quality-dividend-champion-valuation-high?source=feed_f… $MMM,,,,,[],https://twitter.com/SeekingAlpha/status/815581462804074496
2,Gary Lundy,@GUMBY9662C,2017-01-02T17:08:02.000Z,$MMM I think this is an earnings play,$MMM I think this is an earnings play,,,,,['https://pbs.twimg.com/media/C1LmZqqXUAApl-x?format=jpg&name=small'],https://twitter.com/GUMBY9662C/status/815967901354250240
3,Dividend Growth Pro,@divgropro,2017-01-02T13:11:01.000Z,Dividend Growth Pro 01/2017 Watchlist $CMI $TXN $UNP $QCOM $LMT $IBM $WEC $BBY $MMM $HAS $RAI $ADM $ITW $XLNX $RTN $CHRW $ADI $NEE $EIX $ES,"Dividend Growth Pro 01/2017 Watchlist $CMI $TXN $UNP $QCOM $LMT $IBM $WEC $BBY $MMM $HAS $RAI $ADM $ITW $XLNX $RTN $CHRW $ADI $NEE $EIX $ES
1",,,,1,['https://pbs.twimg.com/media/C1Iq4J1UAAUYPqU?format=png&name=900x900'],https://twitter.com/divgropro/status/815908255155113984
4,MicroCapCompany.com,@microcapcompany,2017-01-03T04:01:58.000Z,Tomorrow's watch list includes: $GE $MFST $F $SL $MMM $DIS $BAC $WFC $QQQ $INTC $YMC $CM $NKE $GOOGL,"Tomorrow's watch list includes: $GE $MFST $F $SL $MMM $DIS $BAC $WFC $QQQ $INTC $YMC $CM $NKE $GOOGL
25
2",,,25,2,[],https://twitter.com/microcapcompany/status/816132471825793024
5,Financhill,@financhill,2017-01-01T22:25:08.000Z,The seasonality trend for $MMM might surprise traders this year. http://bit.ly/1Xf7v5Q,The seasonality trend for $MMM might surprise traders this year. http://bit.ly/1Xf7v5Q,,,,,['https://pbs.twimg.com/media/C1Hld9hXgAAK_9f?format=jpg&name=small'],https://twitter.com/financhill/status/815685313192427525
6,"Greg Harmon, President Dragonfly Capital CMT, CFA",@harmongreg,2017-01-03T13:16:57.000Z,4 Ways to Trade 3M: Bonus Idea http://dragonflycap.com/4-ways-to-trade-3m-bonus-idea/… $MMM $SPY,"4 Ways to Trade 3M: Bonus Idea http://dragonflycap.com/4-ways-to-trade-3m-bonus-idea/… $MMM $SPY
1",,,,1,['https://pbs.twimg.com/media/C1P7LhNXgAAQibX?format=jpg&name=small'],https://twitter.com/harmongreg/status/816272134758662144
7,George Marcovits,@GemsBot,2017-01-02T20:36:30.000Z,Commented on StockTwits: 3 of 5 $INTC $JNJ $JPM $KO $MCD $MMM dark red arrows strong sell signals … http://stocktwits.com/GemsBot/message/70657323#70657341…,Commented on StockTwits: 3 of 5 $INTC $JNJ $JPM $KO $MCD $MMM dark red arrows strong sell signals … http://stocktwits.com/GemsBot/message/70657323#70657341…,,,,,['https://pbs.twimg.com/media/C1MWMoyW8AE8Bcd?format=jpg&name=small'],https://twitter.com/GemsBot/status/816020366573338624
8,ChartMill,@ChartMill,2017-01-03T20:07:06.000Z,Want a great setup? Look at $MMM http://stockcharts.chartmill.com/u/ByezOEttSx #seasonsgreetings #jewelryonetsy,"Want a great setup? Look at $MMM http://stockcharts.chartmill.com/u/ByezOEttSx #seasonsgreetings #jewelryonetsy
1
1",,,1,1,[],https://twitter.com/ChartMill/status/816375353706852352
9,ezzmoney2day,@ezzmoney2day,2017-01-02T18:47:06.000Z,"MT Ask Size
 http://dlvr.it/N1S197

$MT $MMM $ONCI #investing","MT Ask Size
 http://dlvr.it/N1S197

$MT $MMM $ONCI #investing",,,,,[],https://twitter.com/ezzmoney2day/status/815992834440339456
