,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Michael Erman,@mikeerman1,2020-01-03T17:03:25.000Z,"Novartis, Merck $MRK and Allergan $AGN join those raising U.S. drug prices in 2020, bringing the total number of price hikes to nearly 450","Novartis, Merck $MRK and Allergan $AGN join those raising U.S. drug prices in 2020, bringing the total number of price hikes to nearly 450
reuters.com
Novartis, Merck and Allergan join those raising U.S. drug prices for 2020
Novartis AG, Merck & Co Inc and Allergan Plc were among companies that raised U.S. prices on more than 100 prescription medicines on Friday, bringing the tally to 445 drugs that will cost more in...
1
3
1",,1,3,1,['https://pbs.twimg.com/card_img/1500098655503753226/jXpu-wot?format=jpg&name=small'],https://twitter.com/mikeerman1/status/1213143840196120580
1,Stephen Guilfoyle,@Sarge986,2020-01-02T13:08:59.000Z,"My Pick for 2020? You Won't Believe It's Been on Your Screen All Along $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney","My Pick for 2020? You Won't Believe It's Been on Your Screen All Along $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney
realmoney.thestreet.com
My Pick for 2020? You Won't Believe It's Been on Your Screen All Along
This company made headlines in 2019, and I'm betting on it as a great play -- in many senses of the word -- for this new year.
1
4
5",,1,4,5,['https://pbs.twimg.com/card_img/1501932152459444231/WnnnhgOR?format=png&name=small'],https://twitter.com/Sarge986/status/1212722455229468672
2,Gary Reiner,@ELPfan,2020-01-01T01:04:26.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1212177729572888576
3,Laurie,@LaurieInMadison,2020-01-02T14:16:39.000Z,"It's here! Stephen Guilfoyle's annual stock pick of the year 2020. What'll he go with? #GUILFOLIO 
@Sarge986
 ""Excel in the environment provided"" #FOMC $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney","It's here! Stephen Guilfoyle's annual stock pick of the year 2020. What'll he go with? #GUILFOLIO 
@Sarge986
 ""Excel in the environment provided"" #FOMC $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney
realmoney.thestreet.com
My Pick for 2020? You Won't Believe It's Been on Your Screen All Along
This company made headlines in 2019, and I'm betting on it as a great play -- in many senses of the word -- for this new year.
1
2",,,1,2,['https://pbs.twimg.com/card_img/1501932152459444231/WnnnhgOR?format=png&name=small'],https://twitter.com/LaurieInMadison/status/1212739483310968833
4,PeterLekousesJr,@pjl001,2020-01-03T16:26:22.000Z,"End-of-year drug approvals in U.S. associated with more adverse events - study https://seekingalpha.com/news/3529476?source=ansh… $BIB, $THW, $ARKG, $BME, $GRX, $IXJ, $BIS, $CHNA, $XLV, $IDNA, $GDNA, $KMED, $XBI, $BMY, $PFE, $RHHBY, $MRK, $LLY, $ABBV, $JNJ $BIIB Great Dividend Stock BUY JNJ and PFE !","End-of-year drug approvals in U.S. associated with more adverse events - study https://seekingalpha.com/news/3529476?source=ansh… $BIB, $THW, $ARKG, $BME, $GRX, $IXJ, $BIS, $CHNA, $XLV, $IDNA, $GDNA, $KMED, $XBI, $BMY, $PFE, $RHHBY, $MRK, $LLY, $ABBV, $JNJ $BIIB Great Dividend Stock BUY JNJ and PFE !
seekingalpha.com
End-of-year drug approvals in U.S. associated with more adverse events - study (NASDAQ:BIB)
Results from a new study showed that drugs approved near the end of the year in the U.S.",,,,,['https://pbs.twimg.com/card_img/1501782713631600646/FEOQQkOb?format=png&name=240x240'],https://twitter.com/pjl001/status/1213134517071990784
5,PeterLekousesJr,@pjl001,2020-01-01T00:43:39.000Z,"Drugmakers to hike U.S. prices of over 200 meds https://seekingalpha.com/news/3529000?source=ansh… $PFE, $GSK, $SNY, $TEVA, $BIB, $THW, $ARKG, $BME, $GRX, $IXJ, $BIS,  $AMGN, $BIIB, $GILD, $VRTX, $MRK, $LLY, $AZN, $AGN, $JNJ, $ABBV, $TAK, $NVS, $RHHBY, $NVO Great Dividend Stock BUY JNJ and PFE!","Drugmakers to hike U.S. prices of over 200 meds https://seekingalpha.com/news/3529000?source=ansh… $PFE, $GSK, $SNY, $TEVA, $BIB, $THW, $ARKG, $BME, $GRX, $IXJ, $BIS,  $AMGN, $BIIB, $GILD, $VRTX, $MRK, $LLY, $AZN, $AGN, $JNJ, $ABBV, $TAK, $NVS, $RHHBY, $NVO Great Dividend Stock BUY JNJ and PFE!",,,,,[],https://twitter.com/pjl001/status/1212172499242430465
6,The Fly,@theflynews,2020-01-03T22:06:33.000Z,Fly Intel: Wall Street's top stories for Friday $TSLA $GM $FCAU $WTI $WLL $OAS $DO $HES $XEC $APA $NOC $LMT $LHX $RTN $AAL $DAL $UAL $NVS $MRK $AGN $PFE $BMY $ABBV $LB $LW $NOVN $INCY http://dlvr.it/RMNzL6,"Fly Intel: Wall Street's top stories for Friday $TSLA $GM $FCAU $WTI $WLL $OAS $DO $HES $XEC $APA $NOC $LMT $LHX $RTN $AAL $DAL $UAL $NVS $MRK $AGN $PFE $BMY $ABBV $LB $LW $NOVN $INCY http://dlvr.it/RMNzL6
2
3",,,2,3,['https://pbs.twimg.com/media/ENY5RnWUEAAao9u?format=png&name=small'],https://twitter.com/theflynews/status/1213220126222249984
7,Tridev Budia,@TridevBudia,2020-01-02T19:44:03.000Z,$MRK lol.,"$MRK lol.
1",,,1,,[],https://twitter.com/TridevBudia/status/1212821877376376832
8,Benzinga,@Benzinga,2020-01-02T00:05:00.000Z,Attention Biotech Investors: Mark Your Calendar For These January PDUFA Dates $AIMT $MRK $EPZM,"Attention Biotech Investors: Mark Your Calendar For These January PDUFA Dates $AIMT $MRK $EPZM
benzinga.com
Attention Biotech Investors: Mark Your Calendar For These January PDUFA Dates
In a final push before the closing of the year, the FDA deemed it fit to clear even long pending ones, including Flexion Therapeutics Inc's (NASDAQ: FLXN) sNDA for the...
6
8",,,6,8,[],https://twitter.com/Benzinga/status/1212525159191433216
9,Tridev Budia,@TridevBudia,2020-01-02T20:22:25.000Z,A Jan 03 stradle on $MRK seems interesting.,"A Jan 03 stradle on $MRK seems interesting.
1",,,1,,[],https://twitter.com/TridevBudia/status/1212831534518018053
