,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Microlytics,@MicrolyticsLLC,2020-01-02T04:08:27.000Z,"$ALPP next leg could see $1.75 before consolidating to .90/$1.10 before moving to $2+ in 2020 on Nasdaq Uplist. This is FUSZ on steroids. 

$OWCP $AMRN $SBES $OPTI $GOOG $AMZN $NFLX $HD $SNPW $DMBB $VRUS $ACHV $CFRX $NK $FLES $IGPK $PTAH $TSLA $MSFT $KYNC $PHIL $INPS $ADSV $FUSZ","$ALPP next leg could see $1.75 before consolidating to .90/$1.10 before moving to $2+ in 2020 on Nasdaq Uplist. This is FUSZ on steroids. 

$OWCP $AMRN $SBES $OPTI $GOOG $AMZN $NFLX $HD $SNPW $DMBB $VRUS $ACHV $CFRX $NK $FLES $IGPK $PTAH $TSLA $MSFT $KYNC $PHIL $INPS $ADSV $FUSZ
3
24
39",,3,24,39,['https://pbs.twimg.com/media/ENP47L3WoAEvRTv?format=png&name=small'],https://twitter.com/MicrolyticsLLC/status/1212586424815562752
1,Microlytics,@MicrolyticsLLC,2020-01-03T04:05:38.000Z,"Every year 10-15 stocks make the leap from penny stock to Nasdaq on 5-10,000% gains. $ALPP is soon to be one of them. 

$INPX $LVVV $CTYX $SAVA $ADXS $F $GE $MSFT $AAPL $CRON $AMD $SNAP $PLUG $FB $AMZN $GOOG $VSLR $VKTX $CPRX $BILI $CRM $SBES $FCEL","Every year 10-15 stocks make the leap from penny stock to Nasdaq on 5-10,000% gains. $ALPP is soon to be one of them. 

$INPX $LVVV $CTYX $SAVA $ADXS $F $GE $MSFT $AAPL $CRON $AMD $SNAP $PLUG $FB $AMZN $GOOG $VSLR $VKTX $CPRX $BILI $CRM $SBES $FCEL
2
11
24",,2,11,24,['https://pbs.twimg.com/media/ENVB30jWwAERki8?format=jpg&name=small'],https://twitter.com/MicrolyticsLLC/status/1212948105714438144
2,UHD,@UHDTrader,2020-01-03T15:24:06.000Z,$VERB - Cup & Handle Formation In Effect as Handle is now being formed on the 20day 1hr chart!  Exponential Gains Coming#partnerships w/ $CRM $MSFT $ADBE $ORCL $IT $SHOP #Odoo. New Tech makes $ZM obsolete $PACD $CDEV $WTI $TSLA $NIO $FCEL $TRNX $DNR $TEDU #stocks #Stock2020,"$VERB - Cup & Handle Formation In Effect as Handle is now being formed on the 20day 1hr chart!  Exponential Gains Coming#partnerships w/ $CRM $MSFT $ADBE $ORCL $IT $SHOP #Odoo. New Tech makes $ZM obsolete $PACD $CDEV $WTI $TSLA $NIO $FCEL $TRNX $DNR $TEDU #stocks #Stock2020
2
16
18",🔜 💣,2,16,18,['https://pbs.twimg.com/media/ENXdKLoXkAIHAw_?format=jpg&name=small'],https://twitter.com/UHDTrader/status/1213118847064170496
3,TrendSpider,@TrendSpider,2020-01-03T03:11:12.000Z,$MSFT #MSFT Resistance?,"$MSFT #MSFT Resistance?
2
3
2",,2,3,2,['https://pbs.twimg.com/media/ENU1aheUEAAlWgH?format=jpg&name=small'],https://twitter.com/TrendSpider/status/1212934408488939520
4,𝐁𝐫𝐚𝐧𝐝𝐨𝐧 𝐕𝐚𝐧 𝐙𝐞𝐞,@BrandonVanZee,2020-01-03T23:44:32.000Z,"The #SectorSelector for 01/03/20 is posted.

 Technology $XLK
 Financials $XLF
 Communications $XLC

Premium 
@Market_Scholars
 can $STUDY the full version at https://marketscholars.com/category/sector-selector/…

It features stocks with 52 week highs like $AAPL $MSFT $GOOG $FB $BABA $BRKB $JPM $V $BAC $C","The #SectorSelector for 01/03/20 is posted.

 Technology $XLK
 Financials $XLF
 Communications $XLC

Premium 
@Market_Scholars
 can $STUDY the full version at https://marketscholars.com/category/sector-selector/…

It features stocks with 52 week highs like $AAPL $MSFT $GOOG $FB $BABA $BRKB $JPM $V $BAC $C
5
117
93",🥇 🥈 🥉,5,117,93,['https://pbs.twimg.com/media/ENZPsyyU0AAsxgW?format=jpg&name=small'],https://twitter.com/BrandonVanZee/status/1213244784808083456
5,SheepWolf,@realsheepwolf,2020-01-03T20:34:00.000Z,"$VERB: EXTREME DISCOUNT HERE WITH STRONG DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON 2020 WILL BE HUGE

$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX","$VERB: EXTREME DISCOUNT HERE WITH STRONG DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON 2020 WILL BE HUGE

$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX
2
2",🟢,,2,2,['https://pbs.twimg.com/amplify_video_thumb/1196401564040278021/img/3VjE01j64Tbczhgp.jpg'],https://twitter.com/realsheepwolf/status/1213196835239727106
6,Phil Bak,@philbak1,2020-01-02T22:18:15.000Z,"The top two stocks in the S&P500 - $AAPL and $MSFT - now have a 9.06% weighting, which is higher than the smallest 210 stocks combined.

#diversification #risk","The top two stocks in the S&P500 - $AAPL and $MSFT - now have a 9.06% weighting, which is higher than the smallest 210 stocks combined.

#diversification #risk
1
2
19",🎩,1,2,19,[],https://twitter.com/philbak1/status/1212860685086076930
7,Harris Market Trends,@pharris667,2020-01-02T23:40:17.000Z,"IBD Big Cap 20 Ranked January 2, 2020 1. $ADBE $PAYC $NOW $VRTX $EW $LULU $CNC $ISRG $MTCH $FNV $REGN $CI $FB $KLAC $CDW $GPN $BIIB $HUM $MSFT  20. $RMD - Confirmed Uptrend","IBD Big Cap 20 Ranked January 2, 2020 1. $ADBE $PAYC $NOW $VRTX $EW $LULU $CNC $ISRG $MTCH $FNV $REGN $CI $FB $KLAC $CDW $GPN $BIIB $HUM $MSFT  20. $RMD - Confirmed Uptrend
1
3
10",,1,3,10,[],https://twitter.com/pharris667/status/1212881327713923078
8,SheepWolf,@realsheepwolf,2020-01-03T18:03:00.000Z,"$VERB: STILL FLYING UNDER MANY RADARS
DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON

$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX","$VERB: STILL FLYING UNDER MANY RADARS
DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON

$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX
1
5
5",🟢,1,5,5,['https://pbs.twimg.com/media/EMyuAPeXUAASXIv.jpg'],https://twitter.com/realsheepwolf/status/1213158834891448325
9,SardonicCanuck,@SardonicCanuck,2020-01-01T12:31:16.000Z,"$HCC

The sign of a true contrarian investor is they own coal stock

Fun fact:

Since the IPO of $19/share in 2017, have returned over $22/share in dividends and will probably declare another $3-4/share in the next few months

But y’all keep buying your $AAPL and $MSFT ","$HCC

The sign of a true contrarian investor is they own coal stock

Fun fact:

Since the IPO of $19/share in 2017, have returned over $22/share in dividends and will probably declare another $3-4/share in the next few months

But y’all keep buying your $AAPL and $MSFT 
2
9",😗,,2,9,['https://pbs.twimg.com/media/ENMibLoWwAAkpYz?format=jpg&name=small'],https://twitter.com/SardonicCanuck/status/1212350578036224000
10,KingMidasAu,@KingMidasAu1,2020-01-03T15:15:13.000Z,"$GGSM loaded some more. #GOLD price taking off. Expect volume to pick back up and blast high. 0005s getting absorbed, updates to come

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn","$GGSM loaded some more. #GOLD price taking off. Expect volume to pick back up and blast high. 0005s getting absorbed, updates to come

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn
2
2",,,2,2,"['https://pbs.twimg.com/media/ENXbH_OWkAQlhth?format=png&name=360x360', 'https://pbs.twimg.com/media/ENXbH-oW4AEneE8?format=png&name=360x360']",https://twitter.com/KingMidasAu1/status/1213116610711564288
11,Drugdoctor1,@Drugdoctor2014,2020-01-03T15:45:43.000Z,$RBNW.0089+27% - Lust-for-Life-Shoes - they have turned it loose! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA  $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH $CSC $DVMT $DOV $DST $ATVI $EA $MU $PYPL,"$RBNW.0089+27% - Lust-for-Life-Shoes - they have turned it loose! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA  $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH $CSC $DVMT $DOV $DST $ATVI $EA $MU $PYPL
4",,,,4,"['https://pbs.twimg.com/media/ENXiGm0WwAQ40Df?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENXiGnAW4AAUw8i?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENXiGm8X0AAEKnV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENXiGnAXYAI6HEK?format=jpg&name=360x360']",https://twitter.com/Drugdoctor2014/status/1213124286757691394
12,Strategic Wealth Partners,@SWPConnect,2020-01-03T18:15:38.000Z,"Mark Tepper (.
@MarkTepperSWP
) is taking profits in Microsoft $MSFT and Apple $AAPL, but his favorite technology stock is Salesforce $CRM.","Mark Tepper (.
@MarkTepperSWP
) is taking profits in Microsoft $MSFT and Apple $AAPL, but his favorite technology stock is Salesforce $CRM.
swpconnect.com
Time to Lock In Profits - Strategic Wealth Partners
Mark Tepper is taking profits in Microsoft and Apple, but his favorite technology stock is Salesforce.
1
2
7",,1,2,7,['https://pbs.twimg.com/card_img/1500445359696273410/tGwilxhy?format=jpg&name=small'],https://twitter.com/SWPConnect/status/1213162016338317312
13,JMVala,@JMVala_Trades,2020-01-03T15:32:18.000Z,"$AMZN, $GOOGL $FB all setting up for monster weeks next week if today's lows hold.  The three combine to make up 20.68% of the $QQQ. Just below the 22.2% that $AAPL and $MSFT hold together.","$AMZN, $GOOGL $FB all setting up for monster weeks next week if today's lows hold.  The three combine to make up 20.68% of the $QQQ. Just below the 22.2% that $AAPL and $MSFT hold together.
2
3
12",,2,3,12,[],https://twitter.com/JMVala_Trades/status/1213120912779829253
14,Interactive Video Marketing,@InteractiveVid2,2020-01-03T13:26:13.000Z,"$VERB $hubs $sap $msft $orcl $adobe $crm #StockPicks

2019 #StockPick Verb Technology (NASDAQ: VERB)

https://InteractiveVideoMarketing.net/Investment-Picnvestment-Pick.html…","$VERB $hubs $sap $msft $orcl $adobe $crm #StockPicks

2019 #StockPick Verb Technology (NASDAQ: VERB)

https://InteractiveVideoMarketing.net/Investment-Picnvestment-Pick.html…
media.nfusz.com
Final 2019 message from Verb CEO, Rory J. Cutaia ×
Final 2019 message from Verb CEO, Rory J. Cutaia ×
2
1",,,2,1,['https://pbs.twimg.com/card_img/1443220300406140942/rNYN3ISd?format=jpg&name=240x240'],https://twitter.com/InteractiveVid2/status/1213089180097695744
15,Disciple of @nbrg,Disciple of @nbrg,2020-01-01T08:05:24.000Z,"Fascinating argument by ⁦
@ThomasPHI2
⁩ that what sets apart the largest firms in our economy ($APPL $AMZN $FB $MSFT $GOOG) is how disconnected they are from the rest of the economy compared to previous ""star"" firms http://a.co/1F7u5wQ","Fascinating argument by ⁦
@ThomasPHI2
⁩ that what sets apart the largest firms in our economy ($APPL $AMZN $FB $MSFT $GOOG) is how disconnected they are from the rest of the economy compared to previous ""star"" firms http://a.co/1F7u5wQ
1
4",,,1,4,['https://pbs.twimg.com/media/ENLlkVAU4AAJ5Vk?format=jpg&name=small'],https://twitter.com/DTrain/status/1212283668464467969
16,dividendc2,@dividendc2,2020-01-03T06:58:13.000Z,"Best companies TOP1
    
     COUNTRIES

Microsoft Corp $MSFT

Nestlé SA $NESN: VTX

Alibaba Group Holding $BABA

Toyota Motor Corp 7203: TYO

LVMH Moet Hennessy Louis Vuitton $MC PAR

Royal Bank of Canada $RY: CAQ

DBS Group Holdings Ltd D05: SES

SAP SE $SAP: DAX","Best companies TOP1
    
     COUNTRIES

Microsoft Corp $MSFT

Nestlé SA $NESN: VTX

Alibaba Group Holding $BABA

Toyota Motor Corp 7203: TYO

LVMH Moet Hennessy Louis Vuitton $MC PAR

Royal Bank of Canada $RY: CAQ

DBS Group Holdings Ltd D05: SES

SAP SE $SAP: DAX
2
9",,,2,9,[],https://twitter.com/dividendc2/status/1212991538088861696
17,Drugdoctor1,@Drugdoctor2014,2020-01-03T15:04:27.000Z,$ITHUF$1.61 - Incredible REVERSAL CHART for this Marijuana stock! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA  $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH $CSC $DVMT $DOV $DST $ATVI $EA $MU $PYPL,"$ITHUF$1.61 - Incredible REVERSAL CHART for this Marijuana stock! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA  $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH $CSC $DVMT $DOV $DST $ATVI $EA $MU $PYPL
2",,,,2,['https://pbs.twimg.com/media/ENXYqdrXUAA5xxA?format=jpg&name=small'],https://twitter.com/Drugdoctor2014/status/1213113903846170631
18,Flyr,@FlyrUsr,2020-01-03T01:54:45.000Z,$MSFT now here’s a profitable company.  But too expensive.,"$MSFT now here’s a profitable company.  But too expensive.
1",,,,1,['https://pbs.twimg.com/media/ENUj6d7WwAANUXP?format=jpg&name=small'],https://twitter.com/FlyrUsr/status/1212915166821654528
19,TheStreet,@TheStreet,2020-01-03T13:37:44.000Z,Microsoft's $MSFT 3 Biggest Challenges for 2020,"Microsoft's $MSFT 3 Biggest Challenges for 2020
thestreet.com
Microsoft's 3 Biggest Challenges for 2020
Microsoft's performance this year could be determined in part by further growth in Azure, execution on key strategic initiatives, and ability to weather any potential pullback in corporate tech...
3
2",,,3,2,['https://pbs.twimg.com/card_img/1501405760235921417/XB8-6pW3?format=jpg&name=small'],https://twitter.com/TheStreet/status/1213092079204745216
20,SarahMoneywork,@SarahVI_S,2020-01-02T14:04:13.000Z,$AMZN $GOOGL $AAPL $MSFT $FB  nice moving in pre-market,"$AMZN $GOOGL $AAPL $MSFT $FB  nice moving in pre-market
2",🙋 📈 💰 ✔,,,2,[],https://twitter.com/SarahVI_S/status/1212736356687986692
21,Paul R. La Monica,@LaMonicaBuzz,2020-01-03T15:43:51.000Z,Big techs $AAPL $AMZN $GOOGL $MSFT $NFLX not down that much today given broader market concerns. And $FB is actually up slightly. New all-time high and market cap now nearly $600 billion.,"Big techs $AAPL $AMZN $GOOGL $MSFT $NFLX not down that much today given broader market concerns. And $FB is actually up slightly. New all-time high and market cap now nearly $600 billion.
1
3
7",,1,3,7,[],https://twitter.com/LaMonicaBuzz/status/1213123818694303745
22,The Invincible Bull,@InvincibleBull,2020-01-03T18:52:45.000Z,"Own the biggest bitcoin miner in the USA that’s publicly traded. $RIOT with crypto’s soaring this is a homerun. Last big run sent it to almost $50

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP","Own the biggest bitcoin miner in the USA that’s publicly traded. $RIOT with crypto’s soaring this is a homerun. Last big run sent it to almost $50

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP",,,,,[],https://twitter.com/InvincibleBull/status/1213171357741137921
