,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,LiveSquawk,@LiveSquawk,2018-01-02T16:34:16.000Z,"$AMZN $PG $CLX Amazon Has Big Plans For Alexa Ads In 2018, Discussing Various Options With P&G, Clorox And Others – CNBC https://cnbc.com/2018/01/02/amazon-alexa-is-opening-up-to-more-sponsored-product-ads.html…","$AMZN $PG $CLX Amazon Has Big Plans For Alexa Ads In 2018, Discussing Various Options With P&G, Clorox And Others – CNBC https://cnbc.com/2018/01/02/amazon-alexa-is-opening-up-to-more-sponsored-product-ads.html…
1
4
2",,1,4,2,[],https://twitter.com/LiveSquawk/status/948230976873861121
1,Seeking Alpha,@SeekingAlpha,2018-01-02T18:57:29.000Z,$AAPL #APPLE $BA $CAT $CSCO $DWDP $IBM $INTC $JNJ $JPM $MCD $MMM $MSFT $PFE $PG $UNH $UTX $V $XOM https://seekingalpha.com/article/4134862-2018-dogs-dow-2018-safer-dividend-big-gainers-dowdupont-apple-ibm-and-microsoft-per-broker?source=feed_f…,$AAPL #APPLE $BA $CAT $CSCO $DWDP $IBM $INTC $JNJ $JPM $MCD $MMM $MSFT $PFE $PG $UNH $UTX $V $XOM https://seekingalpha.com/article/4134862-2018-dogs-dow-2018-safer-dividend-big-gainers-dowdupont-apple-ibm-and-microsoft-per-broker?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948267018905575425
2,Breaking News,@MarketCurrents,2018-01-02T16:56:03.000Z,Consumer product giants eye Alexa advertising https://seekingalpha.com/news/3320676-consumer-product-giants-eye-alexa-advertising?source=feed_f… $PG $CLX,"Consumer product giants eye Alexa advertising https://seekingalpha.com/news/3320676-consumer-product-giants-eye-alexa-advertising?source=feed_f… $PG $CLX
seekingalpha.com
Consumer product giants eye Alexa advertising (NYSE:PG)
Consumer products companies such as Procter& Gamble (PG -1%) and Clorox (CLX -1.6%) are investigating promotional opportunities on Amazon devices using the Alexa voice assistant,...
1",,,,1,['https://pbs.twimg.com/card_img/1495187926770196488/XbSaCIFV?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/948236459143708672
3,Seeking Alpha,@SeekingAlpha,2018-01-02T21:41:52.000Z,$ADM $APLE $AWF $CTL $KBWY $PG $T $TAP $CLNS $DSL $FAX $GE $ISD $LTC $MIN $MSD $USLV $WSM,"$ADM $APLE $AWF $CTL $KBWY $PG $T $TAP $CLNS $DSL $FAX $GE $ISD $LTC $MIN $MSD $USLV $WSM
seekingalpha.com
Green Dot Portfolio: December 2017 Update
Changes to my dynamic mixed-asset Green Dot Portfolio for December 2017 are provided.",,,,,[],https://twitter.com/SeekingAlpha/status/948308385492975616
4,jnybgood,@jnybgood2000,2018-01-02T15:44:23.000Z,"$SRMX #CES2018  Telecom router rollout!!
  $AAPL $GOOG $FB $AMZN $MSFT $TSLA $T $IBM $JNJ $BABA $DIS $NVDA $NFLX $AMD $PG $KO $MU $WMT $MO $TWTR $CMCSA $GPRO","$SRMX #CES2018  Telecom router rollout!!
  $AAPL $GOOG $FB $AMZN $MSFT $TSLA $T $IBM $JNJ $BABA $DIS $NVDA $NFLX $AMD $PG $KO $MU $WMT $MO $TWTR $CMCSA $GPRO
Ransom Troy
@Science_Stocks
 · 2 Jan 2018
$SRMX
2
2",,,2,2,"['https://pbs.twimg.com/profile_images/1320043005546549250/gjc6j53v_mini.jpg', 'https://pbs.twimg.com/media/DSi8k51VwAEZzpp?format=jpg&name=small']",https://twitter.com/jnybgood2000/status/948218421811937280
5,C. Scott Garliss Stansberry,@SG_Stansberry,2018-01-02T23:01:31.000Z,"Unilever’s new strategy for fighting local upstarts: churning out copycat products https://wsj.com/articles/outfoxed-by-small-batch-upstarts-unilever-decides-to-imitate-them-1514910342… via 
@WSJ
 $UL experiencing firsthand that big personal care brand names aren't what they used to be. $PG, $NSRGY also mentioned for acquiring smaller brands.","Unilever’s new strategy for fighting local upstarts: churning out copycat products https://wsj.com/articles/outfoxed-by-small-batch-upstarts-unilever-decides-to-imitate-them-1514910342… via 
@WSJ
 $UL experiencing firsthand that big personal care brand names aren't what they used to be. $PG, $NSRGY also mentioned for acquiring smaller brands.",,,,,[],https://twitter.com/SG_Stansberry/status/948328428742303745
6,Drugdoctor1,@Drugdoctor2014,2018-01-02T16:48:49.000Z,"$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD - $150 million revs projected 2018 with profits! $PG $MRK $MYL $VRX $VRTX $BIIB $BMY $JNJ $CELG $AKRX $REGN $JNJ $PFE $GSK $LLY $ABT $SNY $NVO $NVS
$WBA $RAD $HLF $CJJD $GNC $DPLO $IPXL $TSCO $BBBY $RGS $TEVA $RDY $MNK $ASMB","$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD - $150 million revs projected 2018 with profits! $PG $MRK $MYL $VRX $VRTX $BIIB $BMY $JNJ $CELG $AKRX $REGN $JNJ $PFE $GSK $LLY $ABT $SNY $NVO $NVS
$WBA $RAD $HLF $CJJD $GNC $DPLO $IPXL $TSCO $BBBY $RGS $TEVA $RDY $MNK $ASMB
2",,,,2,['https://pbs.twimg.com/media/DSjOIqVUMAEBRSI?format=jpg&name=small'],https://twitter.com/Drugdoctor2014/status/948234639142944769
7,DividendValueBuilder,@KenFaulkenberry,2018-01-01T22:26:25.000Z,JUST UPDATED: $PG Dividend King Procter & Gamble Stock Analysis: http://dividendvaluebuilder.com/procter-gamble-pg-dividend-stock-analysis-2/…  #dividends #consumer #defensive #yield #valueinvesting #investing,"JUST UPDATED: $PG Dividend King Procter & Gamble Stock Analysis: http://dividendvaluebuilder.com/procter-gamble-pg-dividend-stock-analysis-2/…  #dividends #consumer #defensive #yield #valueinvesting #investing
1",,,,1,['https://pbs.twimg.com/media/DSfSCueVoAEOXw2?format=jpg&name=360x360'],https://twitter.com/KenFaulkenberry/status/947957207726985216
8,FinGraphs US Equity,@fgusequity,2018-01-03T08:30:25.000Z,$PG http://FinGraphs.com Pot. intermed top in Uptrend LONGERTERM Wly-Dly-Hly combo chart #trading #stocks,$PG http://FinGraphs.com Pot. intermed top in Uptrend LONGERTERM Wly-Dly-Hly combo chart #trading #stocks,,,,,['https://pbs.twimg.com/media/DSml5ATX0AATC5c?format=jpg&name=small'],https://twitter.com/fgusequity/status/948471597182136326
9,Dividend Diplomats,@DvdndDiplomats,2018-01-02T02:43:07.000Z,New to Investing?  Looking to build a dividend stock portfolio in 2018?  Check out our TOP FIVE Foundation #Dividend Stocks for your Portfolio - $T $MCD $PG $JNJ $ED #Time #Life #SaveMoney #Hustle #Finance,"New to Investing?  Looking to build a dividend stock portfolio in 2018?  Check out our TOP FIVE Foundation #Dividend Stocks for your Portfolio - $T $MCD $PG $JNJ $ED #Time #Life #SaveMoney #Hustle #Finance
dividenddiplomats.com
Top 5 Foundation Dividend Stocks for any Portfolio
We break down the top 5 foundation dividend stocks for an investor when creating their stock portfolio. Stocks include McDonald's, AT&T & Procter Gamble.
6",,,,6,['https://pbs.twimg.com/card_img/1500357475794620417/qVsgQXdo?format=jpg&name=240x240'],https://twitter.com/DvdndDiplomats/status/948021810372730880
