,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Alvaro Esteban,@estebaninv,2020-01-15T16:14:41.000Z,$RTN  + $UTX  = $RTX + Otis + Carrier + ???? ,"$RTN  + $UTX  = $RTX + Otis + Carrier + ???? 
1",🚀 🚀 🚀 😜,,,1,[],https://twitter.com/estebaninv/status/1217480233139478531
1,Investor News,@newsfilterio,2020-01-15T16:04:28.000Z,RTX Extends Family of Sheerlink™ Product Solutions $RTX https://newsfilter.io/articles/rtx-extends-family-of-sheerlink-product-solutions-1c2e978fcb135cbf1e69c6d963f0a861…,RTX Extends Family of Sheerlink™ Product Solutions $RTX https://newsfilter.io/articles/rtx-extends-family-of-sheerlink-product-solutions-1c2e978fcb135cbf1e69c6d963f0a861…,,,,,[],https://twitter.com/newsfilterio/status/1217477660915400707
2,ResearchPool,@ResearchPool,2020-01-16T20:15:33.000Z,"$RTX #RTX A/S RTX - When you say “Frame” I say “work”: Implied depreciation in guidance still looks conservative 19/20 will be a back-end loaded year Reiterate BUY, TP up to DKK 231 (210) http://dlvr.it/RNB0jQ #equity #stocks","$RTX #RTX A/S RTX - When you say “Frame” I say “work”: Implied depreciation in guidance still looks conservative 19/20 will be a back-end loaded year Reiterate BUY, TP up to DKK 231 (210) http://dlvr.it/RNB0jQ #equity #stocks",,,,,['https://pbs.twimg.com/media/EObciUiU0AADYcD?format=jpg&name=small'],https://twitter.com/ResearchPool/status/1217903233730928640
3,ResearchPool,@ResearchPool,2020-01-23T22:00:34.000Z,$RTX #RTX A/S RTX - Adding to the contract portfolio: DKK 60m in new share buyback programme New royalty agreement Increasing interest in headsets http://dlvr.it/RNdKZ9 #equity #stocks,$RTX #RTX A/S RTX - Adding to the contract portfolio: DKK 60m in new share buyback programme New royalty agreement Increasing interest in headsets http://dlvr.it/RNdKZ9 #equity #stocks,,,,,['https://pbs.twimg.com/media/EO_3s_rUYAYrUVb?format=jpg&name=small'],https://twitter.com/ResearchPool/status/1220466378575974400
4,ResearchPool,@ResearchPool,2020-01-23T16:29:33.000Z,"$RTX #RTX A/S RTX - Results in line, but new royalty agreement: New gaming royalty agreement Increasing interest from clients for Headsets Remember ramp-up can be lumpy http://dlvr.it/RNcN2g #equity #stocks","$RTX #RTX A/S RTX - Results in line, but new royalty agreement: New gaming royalty agreement Increasing interest from clients for Headsets Remember ramp-up can be lumpy http://dlvr.it/RNcN2g #equity #stocks",,,,,['https://pbs.twimg.com/media/EO-r8KFVAAACCoE?format=jpg&name=small'],https://twitter.com/ResearchPool/status/1220383076116656134
5,Marcus Haugaard,@marcushaugaard,2020-02-05T12:15:52.000Z,$RTX breaking out from a two year base. High volume on breakout and low volume on pullback. Waiting for a pullback to around breakout level before entering. #Stage2 #Bullish,"$RTX breaking out from a two year base. High volume on breakout and low volume on pullback. Waiting for a pullback to around breakout level before entering. #Stage2 #Bullish
1",,,,1,['https://pbs.twimg.com/media/EQAuih4XsAYNeHT?format=png&name=small'],https://twitter.com/marcushaugaard/status/1225030277526933504
6,Michael Ramsey,@WindSprints71,2020-03-07T18:46:39.000Z,"Replying to 
@RinehartMaria","Replying to 
@RinehartMaria
$RTX $DJT possibilities to add to the train wreck.
1",,,,1,[],https://twitter.com/WindSprints71/status/1236362644300464128
7,Super Stocks,@MinteractApp,2020-03-25T18:19:04.000Z,"Today Top Flow in #healthcare sector, Buy Flow and Sell Flow. $ABBV $ISRG $MRK $MDT $AMGN $RTX $CI $REGN $MCK $HUM $JNJ $ABT $NH $BMY $BIIB $SYK $BDX $GILD $ZTS $BAX
https://apple.co/2XZuTYw","Today Top Flow in #healthcare sector, Buy Flow and Sell Flow. $ABBV $ISRG $MRK $MDT $AMGN $RTX $CI $REGN $MCK $HUM $JNJ $ABT $NH $BMY $BIIB $SYK $BDX $GILD $ZTS $BAX
https://apple.co/2XZuTYw",,,,,"['https://pbs.twimg.com/media/ET-XhzQVAAACW3d?format=jpg&name=small', 'https://pbs.twimg.com/media/ET-XhzRUcAAJ5LE?format=jpg&name=small', 'https://pbs.twimg.com/media/ET-XkQeUUAIwEdV?format=jpg&name=small', 'https://pbs.twimg.com/media/ET-XkQdUcAAeNWd?format=jpg&name=360x360']",https://twitter.com/MinteractApp/status/1242878683473305600
8,Masked Ninja,@MaskedNinja76,2020-03-30T19:11:59.000Z,"The merger between $RTN $UTX is expected to close immediately following $UTX separations of Carrier and Otis on April 3, 2020.

The new ticker symbol will be $RTX

Long: RTN","The merger between $RTN $UTX is expected to close immediately following $UTX separations of Carrier and Otis on April 3, 2020.

The new ticker symbol will be $RTX

Long: RTN
Masked Ninja
@MaskedNinja76
 · 10 Jun 2019
What is the price of the new company going to be?  

$132 ($UTX price) x  57% = $75.25 New company price

$185.90 ($RTN price) x 43%  = $79.93 (New company price)

2.3348 ($RTN) x $79.93 (New company $) = $186.83 ($RTN)

I think that’s the correct math.

$UTX. $RTN
Show this thread
1",㊗ ㊙ ㊗ ㊙,1,,,['https://pbs.twimg.com/profile_images/1496329691288027140/q-2qfMr0_mini.jpg'],https://twitter.com/MaskedNinja76/status/1244703938739404806
9,Kalien ∞/21M,@KalienHODL,2020-03-28T06:31:01.000Z,4/ There will be intrinsic value creation here as well as PE multiple expansion in the combined new entity Raytheon Technologies $RTX,"4/ There will be intrinsic value creation here as well as PE multiple expansion in the combined new entity Raytheon Technologies $RTX
1",☄,1,,,[],https://twitter.com/KalienHODL/status/1243787659165630464
