,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,J.C. Parets,@allstarcharts,2018-01-01T22:48:45.000Z,"What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57","What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57
allstarcharts.com
Where We've Been And Where We're Going - All Star Charts -
It’s hard not to reflect on the past 12 months as we celebrate the New Year with our friends and family. For me it’s both a blessing and a curse. While it’s exciting to begin 2018 on a fresh note, I...
1
9
35",,1,9,35,['https://pbs.twimg.com/card_img/1501452788353617920/pBFIElCA?format=jpg&name=240x240'],https://twitter.com/allstarcharts/status/947962830191337472
1,max pain,@optioncharts,2018-01-01T16:33:59.000Z,$TRV Max Pain=130.00. Maturity=01/19/2018. #maxpain #options http://bit.ly/2BKLswA,$TRV Max Pain=130.00. Maturity=01/19/2018. #maxpain #options http://bit.ly/2BKLswA,,,,,['https://pbs.twimg.com/media/DSeBZFVWsAE8SGi?format=jpg&name=small'],https://twitter.com/optioncharts/status/947868516262338561
2,Ken Lloyd,@KenLloyd67,2018-01-02T05:34:30.000Z,"have you used this? i've been getting in on some great trades from it http://bit.ly/2wgFfFa
$TMO $TRV $RUBI","have you used this? i've been getting in on some great trades from it http://bit.ly/2wgFfFa
$TMO $TRV $RUBI",,,,,['https://pbs.twimg.com/media/DSg0CWmUMAAQTCN?format=jpg&name=small'],https://twitter.com/KenLloyd67/status/948064939616428032
3,SIAnalystWire,@AnalystWire,2018-01-02T12:15:14.000Z,Travelers $TRV PT Raised to $129 at Deutsche Bank,"Travelers $TRV PT Raised to $129 at Deutsche Bank
streetinsider.com
Travelers (TRV) PT Raised to $129 at Deutsche Bank
Deutsche Bank raised its price target on Travelers (NYSE: TRV) to $129.00 (from $123.00) while maintaining a Hold rating.
2
1",,,2,1,[],https://twitter.com/AnalystWire/status/948165788023828486
4,ChartMill,@ChartMill,2018-01-01T17:34:03.000Z,The Chartmill setup rating of $TRV is on an all-time high http://stockcharts.chartmill.com/u/H1eZMZluXG #8bit #pot,The Chartmill setup rating of $TRV is on an all-time high http://stockcharts.chartmill.com/u/H1eZMZluXG #8bit #pot,,,,,['https://pbs.twimg.com/media/DSePIu2XUAELvAR?format=jpg&name=small'],https://twitter.com/ChartMill/status/947883631028113409
5,ETFs DayTrade,@ETFsDayTrade,2018-01-02T15:55:04.000Z,$CAT $TRV $MMM $AXP $PG the ones that pushed the #Intraday $DJIA down however....,$CAT $TRV $MMM $AXP $PG the ones that pushed the #Intraday $DJIA down however....,📈 💵 📉,,,,[],https://twitter.com/ETFsDayTrade/status/948221110218313728
6,James Sikes,@wosaikeneriki,2018-01-03T17:06:22.000Z,Martin Investment Management LLC Has Lowered Travelers Cos Inc/The $TRV Position by $4.78 Million ...,Martin Investment Management LLC Has Lowered Travelers Cos Inc/The $TRV Position by $4.78 Million ...,,,,,[],https://twitter.com/wosaikeneriki/status/948601442155286528
7,Millionaire Starter Club,@Mkt5Challenge,2018-01-02T22:09:15.000Z,"The top five stocks that fell today were $VRSN, $XL, $TRV, $ALL. And $AWK.","The top five stocks that fell today were $VRSN, $XL, $TRV, $ALL. And $AWK.",,,,,[],https://twitter.com/Mkt5Challenge/status/948315275576991744
8,James Sikes,@wosaikeneriki,2018-01-02T14:40:04.000Z,"As Travelers Companies $TRV Market Valuation Declined, Capital Planning Advisors Increased Holding ...","As Travelers Companies $TRV Market Valuation Declined, Capital Planning Advisors Increased Holding ...",,,,,[],https://twitter.com/wosaikeneriki/status/948202236097724416
9,$Stocknewsalerts,@Allstocknews,2018-01-03T17:59:05.000Z,"$TRV Travelers Companies, Inc. Document: Insider Ownership             
From our Stock News Alerts App","$TRV Travelers Companies, Inc. Document: Insider Ownership             
From our Stock News Alerts App",,,,,[],https://twitter.com/Allstocknews/status/948614706503344129
10,sun,@sunshineavenue8,2018-01-02T17:38:01.000Z,short % to float of $ORI is 1.87 at 2017-12-15 http://sunshineavenue.com/stock/ORI/ $RDN 2.06% $TRV 2.44% $RLI 8.42% $STC 1.87%,short % to float of $ORI is 1.87 at 2017-12-15 http://sunshineavenue.com/stock/ORI/ $RDN 2.06% $TRV 2.44% $RLI 8.42% $STC 1.87%,,,,,[],https://twitter.com/sunshineavenue8/status/948247020539703296
11,sun,@sunshineavenue8,2018-01-03T05:00:02.000Z,$EIG short interest ratio on 2017-12-15 is 3.91 http://sunshineavenue.com/stock/EIG/ $ANTM 3.12 $HIIQ 9.47 $TRV 4.01 $MKL 6.55,$EIG short interest ratio on 2017-12-15 is 3.91 http://sunshineavenue.com/stock/EIG/ $ANTM 3.12 $HIIQ 9.47 $TRV 4.01 $MKL 6.55,,,,,[],https://twitter.com/sunshineavenue8/status/948418653367697408
