,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Breaking News,@MarketCurrents,2018-01-03T13:12:57.000Z,More new coverage - healthcare https://seekingalpha.com/news/3320856-new-coverage-healthcare?source=feed_f… #premarket $WCG $UNH $HUM $CNC,"More new coverage - healthcare https://seekingalpha.com/news/3320856-new-coverage-healthcare?source=feed_f… #premarket $WCG $UNH $HUM $CNC
seekingalpha.com
More new coverage - healthcare (NYSE:WCG)
WellCare Group (NYSE:WCG) initiated with Buy rating and $255 (26% upside) price target by Goldman Sachs.UnitedHealth Group (NYSE:UNH) initiated with Buy rating and $269 (22% upside) price...",,,,,['https://pbs.twimg.com/card_img/1495187926770196488/uqsCDisf?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/948542701258997761
1,Seeking Alpha,@SeekingAlpha,2018-01-02T18:57:29.000Z,$AAPL #APPLE $BA $CAT $CSCO $DWDP $IBM $INTC $JNJ $JPM $MCD $MMM $MSFT $PFE $PG $UNH $UTX $V $XOM https://seekingalpha.com/article/4134862-2018-dogs-dow-2018-safer-dividend-big-gainers-dowdupont-apple-ibm-and-microsoft-per-broker?source=feed_f…,$AAPL #APPLE $BA $CAT $CSCO $DWDP $IBM $INTC $JNJ $JPM $MCD $MMM $MSFT $PFE $PG $UNH $UTX $V $XOM https://seekingalpha.com/article/4134862-2018-dogs-dow-2018-safer-dividend-big-gainers-dowdupont-apple-ibm-and-microsoft-per-broker?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948267018905575425
2,Greg5thTrad,@Greg5thTrad,2018-01-03T21:11:27.000Z,Analysts targets/calls on #healthcare stocks 1/3:  $WCG $UNH $HUM $CNC $ANTM $UHS $THC $MOH $HCA $CI $LPNT,"Analysts targets/calls on #healthcare stocks 1/3:  $WCG $UNH $HUM $CNC $ANTM $UHS $THC $MOH $HCA $CI $LPNT
seekingalpha.com
More new coverage - healthcare (NYSE:WCG)
WellCare Group (NYSE:WCG) initiated with Buy rating and $255 (26% upside) price target by Goldman Sachs.UnitedHealth Group (NYSE:UNH) initiated with Buy rating and $269 (22% upside) price...",,,,,['https://pbs.twimg.com/card_img/1495187926770196488/uqsCDisf?format=png&name=240x240'],https://twitter.com/Greg5thTrad/status/948663118242119682
3,max pain,@optioncharts,2018-01-02T16:34:36.000Z,$UNH Max Pain is 220.00 for maturity 01/05/2018. #maxpain #options http://bit.ly/2CEn9ku,$UNH Max Pain is 220.00 for maturity 01/05/2018. #maxpain #options http://bit.ly/2CEn9ku,,,,,['https://pbs.twimg.com/media/DSjLHwzX0AAeBQY?format=jpg&name=small'],https://twitter.com/optioncharts/status/948231057740050432
4,Honest the Fibber,@BlackfishFinanc,2018-01-03T20:41:05.000Z,"$unh, who is in this with me? Just caught a nice boom after clearing $223!","$unh, who is in this with me? Just caught a nice boom after clearing $223!
Honest the Fibber
@BlackfishFinanc
 · 4 Jan 2018
New high of the day...where there’s smoke there is fire! $unh https://twitter.com/troutbrandon23/status/948641947006115840…
2",,,,2,['https://pbs.twimg.com/profile_images/1464626087875387400/kjozwNTQ_mini.jpg'],https://twitter.com/BlackfishFinanc/status/948655477591760896
5,Honest the Fibber,@BlackfishFinanc,2018-01-03T20:15:30.000Z,New high of the day...where there’s smoke there is fire! $unh,"New high of the day...where there’s smoke there is fire! $unh
Honest the Fibber
@BlackfishFinanc
 · 4 Jan 2018
$unh is acting fine, not the strongest day considering the sector strength, but not bad at all. Could be a slow burn till expire. https://twitter.com/troutbrandon23/status/948297280636862464…
1
1
1",,1,1,1,['https://pbs.twimg.com/profile_images/1464626087875387400/kjozwNTQ_mini.jpg'],https://twitter.com/BlackfishFinanc/status/948649038529798144
6,StockEarnings.com,@StocksEarning,2018-01-02T17:30:34.000Z,"$UNH Since last ER, stock gained 8%. Reporting Earnings on 1/16 Before Open (Confirmed). http://ow.ly/dhO530hwvif","$UNH Since last ER, stock gained 8%. Reporting Earnings on 1/16 Before Open (Confirmed). http://ow.ly/dhO530hwvif
1",,,,1,[],https://twitter.com/StocksEarning/status/948245145815863301
7,42 Stocks,@42Stocks,2018-01-01T16:07:18.000Z,http://42stocks.com health care | 5 largest movers = $unh $jnj $abbv $AZN $gild | http://42stocks.com top5 in sector = $BLFS $AXGN $FMI $NEPT $ALT,http://42stocks.com health care | 5 largest movers = $unh $jnj $abbv $AZN $gild | http://42stocks.com top5 in sector = $BLFS $AXGN $FMI $NEPT $ALT,,,,,['https://pbs.twimg.com/media/DSd7STKVQAAH0w2?format=png&name=small'],https://twitter.com/42Stocks/status/947861803182145537
8,venkysrinivasan.eth,@sssvenky,2018-01-03T03:39:53.000Z,$MOH looks decent on weekly + $UNH may be.,$MOH looks decent on weekly + $UNH may be.,🚀,,,,[],https://twitter.com/sssvenky/status/948398481571446784
9,Honest the Fibber,@BlackfishFinanc,2018-01-03T19:47:19.000Z,"$unh is acting fine, not the strongest day considering the sector strength, but not bad at all. Could be a slow burn till expire.","$unh is acting fine, not the strongest day considering the sector strength, but not bad at all. Could be a slow burn till expire.
Honest the Fibber
@BlackfishFinanc
 · 3 Jan 2018
Appears this one is going to play ball. Now we see if signal works. Stop is still very very close if we don’t get a green day tomorrow $unh https://twitter.com/troutbrandon23/status/948288335264464896…
1",,,1,,['https://pbs.twimg.com/profile_images/1464626087875387400/kjozwNTQ_mini.jpg'],https://twitter.com/BlackfishFinanc/status/948641947006115840
10,Open Outcrier,@OpenOutcrier,2018-01-03T14:14:47.000Z,"+Initiations 1/3: $MDT $MPC $NTR $OZRK $UHS $UNH $WCG (2/2)

-Initiations 1/3: $CYH $LPNT $TEVA $VAR","+Initiations 1/3: $MDT $MPC $NTR $OZRK $UHS $UNH $WCG (2/2)

-Initiations 1/3: $CYH $LPNT $TEVA $VAR",,,,,[],https://twitter.com/OpenOutcrier/status/948558260495441920
11,StockSpotter,@StockSpotter,2018-01-03T18:23:29.000Z,$UNH up 0.8% to 222.82 after our bullish setup alert Tue. Jan 2 after the close #swingtrading  http://bit.ly/1nQ7z81,$UNH up 0.8% to 222.82 after our bullish setup alert Tue. Jan 2 after the close #swingtrading  http://bit.ly/1nQ7z81,,,,,[],https://twitter.com/StockSpotter/status/948620848595791872
12,TradingDVDs,@StockTradingDVD,2018-01-01T16:02:08.000Z,http://smq.tc/1GEV0Ji <-- *REVIEW* TIMFundamentals Part Deux $WFM $UNH $CLDX $FXE $NVAX $EGO,http://smq.tc/1GEV0Ji <-- *REVIEW* TIMFundamentals Part Deux $WFM $UNH $CLDX $FXE $NVAX $EGO,,,,,[],https://twitter.com/StockTradingDVD/status/947860499235987457
13,1 min Stock Insights,@1MinuteStock,2018-01-01T18:09:02.000Z,Recommendation Moderate #BUY for $UNH with UB rating - 3.51 out of 5. https://unicornbay.com/t/UNH.US?utm_medium=tweet&utm_campaign=ubrecommendation&utm_source=twitter…,Recommendation Moderate #BUY for $UNH with UB rating - 3.51 out of 5. https://unicornbay.com/t/UNH.US?utm_medium=tweet&utm_campaign=ubrecommendation&utm_source=twitter…,,,,,[],https://twitter.com/1MinuteStock/status/947892436591771649
14,sun,@sunshineavenue8,2018-01-03T19:38:01.000Z,short ratio interest of $ANTM is 3.12 at 2017-12-15 http://sunshineavenue.com/stock/ANTM/ $HUM 2.46 $CNC 3.04 $UNH 2.25 $AET 0.57,short ratio interest of $ANTM is 3.12 at 2017-12-15 http://sunshineavenue.com/stock/ANTM/ $HUM 2.46 $CNC 3.04 $UNH 2.25 $AET 0.57,,,,,[],https://twitter.com/sunshineavenue8/status/948639607176007680
15,42 Stocks,@42Stocks,2018-01-03T20:22:06.000Z,http://42stocks.com health care | 5 largest movers = $JNJ $AMGN $CELG $MDT $UNH | http://42stocks.com top5 in sector = $BLFS $AXGN $XENT $FMI $GLMD,"http://42stocks.com health care | 5 largest movers = $JNJ $AMGN $CELG $MDT $UNH | http://42stocks.com top5 in sector = $BLFS $AXGN $XENT $FMI $GLMD
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/DSpIyCfV4AAyWOI.jpg'],https://twitter.com/42Stocks/status/948650700300419072
16,Rob Toyer,@RobToyer,2018-01-03T16:10:08.000Z,https://profit.ly/1MuqEs Verified $681.98 profit in $UNH CNBC,"https://profit.ly/1MuqEs Verified $681.98 profit in $UNH CNBC
profit.ly
$UNH trade by ToyerTheDestroyer
$682 profit UNH Long Option by ToyerTheDestroyer
1",,,,1,['https://pbs.twimg.com/card_img/1495196197593702402/BY_DFwgg?format=png&name=240x240'],https://twitter.com/RobToyer/status/948587290846158849
17,FirstToMarkets,@firsttomarkets,2018-01-03T15:15:51.000Z,UnitedHealth Group Inc  Initiated Coverage by Goldman Sachs (Ranked 30th) to Buy with $269PT $UNH #UNH http://firsttomarkets.com/FTMMobile/#/stock/462…,UnitedHealth Group Inc  Initiated Coverage by Goldman Sachs (Ranked 30th) to Buy with $269PT $UNH #UNH http://firsttomarkets.com/FTMMobile/#/stock/462…,,,,,[],https://twitter.com/firsttomarkets/status/948573629985402881
18,StockNews.com,@stocknewsdotcom,2018-01-03T13:01:00.000Z,"$UNH Goldman Sachs initiates as a buy, $269PT https://stocknews.com/news/unh-goldman-sachs-initiates-as-a-buy-269pt/…","$UNH Goldman Sachs initiates as a buy, $269PT https://stocknews.com/news/unh-goldman-sachs-initiates-as-a-buy-269pt/…",,,,,[],https://twitter.com/stocknewsdotcom/status/948539693985075201
19,1 min Stock Insights,@1MinuteStock,2018-01-01T18:12:02.000Z,Unicorn Bay rating for $UNH is 3.51 out of 5.,"Unicorn Bay rating for $UNH is 3.51 out of 5.
unicornbay.com
UNH — UnitedHealth Group Incorporated - comprehensive stock analysis.
UnitedHealth Group Incorporated - UNH comprehensive stock analysis. Make proper investment decisions with analytics from Unicorn Bay.",,,,,['https://pbs.twimg.com/card_img/1502093896243122176/dBn15ThK?format=jpg&name=small'],https://twitter.com/1MinuteStock/status/947893190312345600
20,Watchlist News,@WatchlistN,2018-01-02T11:09:12.000Z,Stevens Capital Management LP Has $10.72 Million Position in UnitedHealth Group Inc $UNH http://ift.tt/2A4YKSb,Stevens Capital Management LP Has $10.72 Million Position in UnitedHealth Group Inc $UNH http://ift.tt/2A4YKSb,,,,,[],https://twitter.com/WatchlistN/status/948149171688796162
21,SwingTradeBot,@SwingTradeBot,2018-01-01T18:13:24.000Z,Recent $UNH technical alerts: Three Weeks Tight...,"Recent $UNH technical alerts: Three Weeks Tight...
swingtradebot.com
UNH Stock Technical Analysis | UnitedHealth Group Incorporated
Current Technical Analysis and interactive chart for $UNH stock / shares. See the current trading strategy, trend(s), rating and buy and sell signals.",,,,,['https://pbs.twimg.com/card_img/1498505809260650497/nUNAsUfD?format=jpg&name=small'],https://twitter.com/SwingTradeBot/status/947893536493629440
22,Chameleon,@MarketChmln,2018-01-02T21:45:37.000Z,Largest $Notional Buy On Close Order Imbalances $HII $VZ $T $JNJ $PSA $MMM $UNH $BA $WFC $UNP http://tinyurl.com/y8jo8mjb,Largest $Notional Buy On Close Order Imbalances $HII $VZ $T $JNJ $PSA $MMM $UNH $BA $WFC $UNP http://tinyurl.com/y8jo8mjb,🦎,,,,[],https://twitter.com/MarketChmln/status/948309331304505344
23,ValueTrades,@StockTradePicks,2018-01-03T05:33:45.000Z,MUST READ: Our top pick ended 2017 at a 52 week high and flew over 60% on Tuesday: http://nasdaqnewsreports.blogspot.com/2017/12/a-cannabis-and-blockchain-story-iii.html… $PFE $WBA $UNH $BLK $MMP $FRO $TTWO $FL $EFA $ANET $CELG $X $WIN $VOO $FCAU $ANTM $LEN $MSI $CX $ADI,"MUST READ: Our top pick ended 2017 at a 52 week high and flew over 60% on Tuesday: http://nasdaqnewsreports.blogspot.com/2017/12/a-cannabis-and-blockchain-story-iii.html… $PFE $WBA $UNH $BLK $MMP $FRO $TTWO $FL $EFA $ANET $CELG $X $WIN $VOO $FCAU $ANTM $LEN $MSI $CX $ADI
1",,,,1,[],https://twitter.com/StockTradePicks/status/948427139086299137
24,MarketBeat,@MarketBeatCom,2018-01-01T11:41:12.000Z,Kornitzer Capital Management Inc. KS Sells 300 Shares of UnitedHealth Group Inc $UNH http://ift.tt/2CvxIWV,Kornitzer Capital Management Inc. KS Sells 300 Shares of UnitedHealth Group Inc $UNH http://ift.tt/2CvxIWV,,,,,[],https://twitter.com/MarketBeatCom/status/947794835565576192
25,MarketBeat,@MarketBeatCom,2018-01-02T11:11:09.000Z,State of Wisconsin Investment Board Raises Position in UnitedHealth Group Inc $UNH http://ift.tt/2CAQDj7,State of Wisconsin Investment Board Raises Position in UnitedHealth Group Inc $UNH http://ift.tt/2CAQDj7,,,,,[],https://twitter.com/MarketBeatCom/status/948149659465338881
26,Johanna Bennett,@johannabennettt,2018-01-03T17:15:54.000Z,"GS launches coverage on insurers and hospitals. Worth a read. UNH and other insurers are well positioned in 2018. Hospitals...not so much. Checkup: UnitedHealth, Centene Among 2018′s Health-Care Winners http://bit.ly/2qgMhvh overagevia 
@BarronsOnline
 $UNH $CNC $HUM $WCG $GS","GS launches coverage on insurers and hospitals. Worth a read. UNH and other insurers are well positioned in 2018. Hospitals...not so much. Checkup: UnitedHealth, Centene Among 2018′s Health-Care Winners http://bit.ly/2qgMhvh overagevia 
@BarronsOnline
 $UNH $CNC $HUM $WCG $GS
barrons.com
Checkup: UnitedHealth, Centene Among 2018′s Health-Care Winners
Goldman Sachs initiated coverage on managed care companies and providers Wednesday.",,,,,['https://pbs.twimg.com/card_img/1502284857472208896/PbKl1NrR?format=jpg&name=small'],https://twitter.com/johannabennettt/status/948603839455821824
27,Allan Baumgarten,@AllanBaumgarten,2018-01-02T23:36:42.000Z,"In Dayton OH, $UNH and 
@PremierHealthOH
 finally reached new contract. Dispute had been costly to both- lost hospital revenues and employer groups 
@kschroederDDN
 http://bit.ly/2Csff07","In Dayton OH, $UNH and 
@PremierHealthOH
 finally reached new contract. Dispute had been costly to both- lost hospital revenues and employer groups 
@kschroederDDN
 http://bit.ly/2Csff07",,,,,[],https://twitter.com/AllanBaumgarten/status/948337284801318912
28,42 Stocks,@42Stocks,2018-01-03T21:07:40.000Z,http://42stocks.com health care | 5 largest movers = $JNJ $AMGN $UNH $ABBV $CELG | http://42stocks.com top5 in sector = $BLFS $AXGN $XENT $FMI $GLMD,"http://42stocks.com health care | 5 largest movers = $JNJ $AMGN $UNH $ABBV $CELG | http://42stocks.com top5 in sector = $BLFS $AXGN $XENT $FMI $GLMD
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/DSpTNPcUMAA8A3V.jpg'],https://twitter.com/42Stocks/status/948662164985757696
29,Dakota Financial,@dakotafinancial,2018-01-01T11:37:09.000Z,Kornitzer Capital Management Inc. KS Sells 300 Shares of UnitedHealth Group Inc $UNH http://ift.tt/2CvxIWV,Kornitzer Capital Management Inc. KS Sells 300 Shares of UnitedHealth Group Inc $UNH http://ift.tt/2CvxIWV,,,,,[],https://twitter.com/dakotafinancial/status/947793815464824832
30,Dakota Financial,@dakotafinancial,2018-01-02T11:12:07.000Z,State of Wisconsin Investment Board Raises Position in UnitedHealth Group Inc $UNH http://ift.tt/2CAQDj7,State of Wisconsin Investment Board Raises Position in UnitedHealth Group Inc $UNH http://ift.tt/2CAQDj7,,,,,[],https://twitter.com/dakotafinancial/status/948149905356402688
31,US Banking News,@AmericanBanking,2018-01-01T08:00:51.000Z,$UNH - Analysts Expect UnitedHealth Group Inc #UNH Will Announce Quarterly Sales of $51.52 Billion https://goo.gl/fb/4LVCcS,$UNH - Analysts Expect UnitedHealth Group Inc #UNH Will Announce Quarterly Sales of $51.52 Billion https://goo.gl/fb/4LVCcS,,,,,[],https://twitter.com/AmericanBanking/status/947739380789207041
32,ValueTrades,@StockTradePicks,2018-01-02T13:38:33.000Z,MUST READ: This stock ended 2017 at a 52 week high and is set to soar in 2018: http://nasdaqnewsreports.blogspot.com/2017/12/a-cannabis-and-blockchain-story-iii.html… $PFE $WBA $UNH $BLK $MMP $FRO $TTWO $FL $EFA $ANET $CELG $X $WIN $VOO $FCAU $ANTM $LEN $MSI $CX $ADI,"MUST READ: This stock ended 2017 at a 52 week high and is set to soar in 2018: http://nasdaqnewsreports.blogspot.com/2017/12/a-cannabis-and-blockchain-story-iii.html… $PFE $WBA $UNH $BLK $MMP $FRO $TTWO $FL $EFA $ANET $CELG $X $WIN $VOO $FCAU $ANTM $LEN $MSI $CX $ADI
1",,,,1,[],https://twitter.com/StockTradePicks/status/948186752904134656
33,US Banking News,@AmericanBanking,2018-01-01T08:02:00.000Z,Analysts Expect UnitedHealth Group Inc $UNH Will Announce Quarterly Sales of $51.52 Billion http://ift.tt/2DFhz0I,Analysts Expect UnitedHealth Group Inc $UNH Will Announce Quarterly Sales of $51.52 Billion http://ift.tt/2DFhz0I,,,,,[],https://twitter.com/AmericanBanking/status/947739671903301632
34,JMVala,@JMVala_Trades,2018-01-04T04:25:10.000Z,"$UNH, nice compression, wish volume was closer to 61.8% than 38.2% but could still give a nice move higher. Probably open longer term > 223.38, and see what action at 226.5 gives. Could sell partial there or if it breaks add to position for 231/240","$UNH, nice compression, wish volume was closer to 61.8% than 38.2% but could still give a nice move higher. Probably open longer term > 223.38, and see what action at 226.5 gives. Could sell partial there or if it breaks add to position for 231/240
1
2
18",,1,2,18,['https://pbs.twimg.com/media/DSq3JTjXkAAcYnJ?format=jpg&name=small'],https://twitter.com/JMVala_Trades/status/948772267181436931
35,OptionSamurai,@OptionSamurai,2018-01-04T01:23:02.000Z,Stock pickers are piling into these 6 stocks https://buff.ly/2lOp0Lv $MA $AMZN $BIIB $V $UNH $PCLN,Stock pickers are piling into these 6 stocks https://buff.ly/2lOp0Lv $MA $AMZN $BIIB $V $UNH $PCLN,,,,,['https://pbs.twimg.com/media/DSqNqbgWsAI2CX1?format=jpg&name=small'],https://twitter.com/OptionSamurai/status/948726433932857345
36,jnybgood,@jnybgood2000,2018-01-04T01:10:34.000Z,"$SRMX #CES2018 Super Router! ""SkiQ"" 
Telecom Rollout Announcements coming! 
$SPY $DIA $QQQ $USO $XOM $AMZN $FB $NFLX $V $UNH #stocks #earnings #StockMarket #CNBC #Iot #Smarhome #Smartenergy ","$SRMX #CES2018 Super Router! ""SkiQ"" 
Telecom Rollout Announcements coming! 
$SPY $DIA $QQQ $USO $XOM $AMZN $FB $NFLX $V $UNH #stocks #earnings #StockMarket #CNBC #Iot #Smarhome #Smartenergy 
Joe Cazz
@Jcazz17
 · 4 Jan 2018
$SRMX. GREAT CONSOLIDATION TODAY WITH A 0021 CLOSE. EXCELLENT!! EXPECTING TICKER CHANGE WITH A PR REAL SOON AND CES JANUARY 9-12. EXCITING TIMES HERE @TriCascade !! $SNMN $ANDI $OWCP $OCSY $NSAV $HPNN $MJTK $PTOP $PSNX $SKYF
GIF
3
4",🔥 🔥 👍,,3,4,"['https://pbs.twimg.com/profile_images/1056321956910456832/GSMS4OUz_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/DSqEfwZVoAIqhWt.jpg']",https://twitter.com/jnybgood2000/status/948723296563904512
37,Breakout Stock,@InfoBreakout,2018-01-06T19:40:48.000Z,$UNH breakout notes,$UNH breakout notes,,,,,['https://pbs.twimg.com/media/DS4cGTZWAAA601W?format=jpg&name=small'],https://twitter.com/InfoBreakout/status/949727468503601159
38,Simply Stock Info,@simplystockinfo,2018-01-05T23:46:10.000Z,"Tax Cuts Alongside International Rally Spark Stocks - http://go.shr.lc/2qtSJPz
$SPY $DIA $QQQ $USO $AAPL $MSFT $AMZN $FB $GOOGL $V $UNH $BA $DWDP #stocks #StockMarket #CNBC","Tax Cuts Alongside International Rally Spark Stocks - http://go.shr.lc/2qtSJPz
$SPY $DIA $QQQ $USO $AAPL $MSFT $AMZN $FB $GOOGL $V $UNH $BA $DWDP #stocks #StockMarket #CNBC
1",,,,1,['https://pbs.twimg.com/media/DS0Kq1AUMAAtGdV?format=jpg&name=small'],https://twitter.com/simplystockinfo/status/949426830167064576
39,Honest the Fibber,@BlackfishFinanc,2018-01-04T19:02:12.000Z,"$unh looking good, making up for lagging the sector yesterday. Would look for this to continue into next week.  See if bio can catch a little something","$unh looking good, making up for lagging the sector yesterday. Would look for this to continue into next week.  See if bio can catch a little something
2",,,,2,[],https://twitter.com/BlackfishFinanc/status/948992978139234305
