,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,William J. Block,@WilliamJ_Block,2018-01-03T11:16:28.000Z,"Q4 2017 update for the R.I.P. portfolio $BAC $C $GE $HON $T $VZ $TWTR $JNJ https://seekingalpha.com/article/4134967-r-p-portfolio-q4-2017-update… 
@WG_investments","Q4 2017 update for the R.I.P. portfolio $BAC $C $GE $HON $T $VZ $TWTR $JNJ https://seekingalpha.com/article/4134967-r-p-portfolio-q4-2017-update… 
@WG_investments
1
2",,,1,2,[],https://twitter.com/WilliamJ_Block/status/948513384940605440
1,Stephen Guilfoyle,@Sarge986,2018-01-03T12:44:41.000Z,The January Effect Could Push Up Some Stock Prices: Market Recon $GE $VZ $CMG $AMZN $TGT $KSS $WMT $XRT $CMC $NEOG $UNF $RAD https://realmoney.thestreet.com/articles/01/03/2018/january-effect-could-push-some-stock-prices-market-recon…,"The January Effect Could Push Up Some Stock Prices: Market Recon $GE $VZ $CMG $AMZN $TGT $KSS $WMT $XRT $CMC $NEOG $UNF $RAD https://realmoney.thestreet.com/articles/01/03/2018/january-effect-could-push-some-stock-prices-market-recon…
3",,,,3,[],https://twitter.com/Sarge986/status/948535585286836224
2,Breaking News,@MarketCurrents,2018-01-02T16:15:08.000Z,T-Mobile's Legere: We'll beat duopoly to real mobile 5G https://seekingalpha.com/news/3320662-t-mobiles-legere-beat-duopoly-real-mobile-5g?source=feed_f… $TMUS $VZ $T,"T-Mobile's Legere: We'll beat duopoly to real mobile 5G https://seekingalpha.com/news/3320662-t-mobiles-legere-beat-duopoly-real-mobile-5g?source=feed_f… $TMUS $VZ $T
seekingalpha.com
T-Mobile's Legere: We'll beat duopoly to real mobile 5G (NASDAQ:TMUS)
In a typically outspoken set of predictions for 2018, T-Mobile (TMUS +0.5%) CEO John Legere says his company will ""leapfrog"" the industry's top two carriers, Verizon (VZ +0.8%) and...",,,,,['https://pbs.twimg.com/card_img/1495187926770196488/uqsCDisf?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/948226159916998656
3,Bill Stoller,@REalBillStoller,2018-01-03T21:29:37.000Z,Commented on $AMZN $GOOG $GOOGL $VZ $CTL $EQIX $DLR $CONE $COR $QTS $SWCH $INXN $SBAC $CCI $AMT $GDS $SKT $SPG $GGP $MAC $TCO https://seekingalpha.com/article/4134159-bill-stoller-positions-2018-ready-data-center-reit-rebound?source=tweet&sht=p2011d&shu=79lof#comment-77252886…,"Commented on $AMZN $GOOG $GOOGL $VZ $CTL $EQIX $DLR $CONE $COR $QTS $SWCH $INXN $SBAC $CCI $AMT $GDS $SKT $SPG $GGP $MAC $TCO https://seekingalpha.com/article/4134159-bill-stoller-positions-2018-ready-data-center-reit-rebound?source=tweet&sht=p2011d&shu=79lof#comment-77252886…
1",,,1,,[],https://twitter.com/REalBillStoller/status/948667691186888704
4,Drugdoctor1,@Drugdoctor2014,2018-01-02T10:18:41.000Z,"Celebrate UGA - TIDE - Falcon Victories with Bellissima Prosecco  - Last day of sale - buy 1 - get 1 free - PUBLIX - $ICNB.0065- Stock may soar! #GoDawgs #RollTide #Alabama $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ","Celebrate UGA - TIDE - Falcon Victories with Bellissima Prosecco  - Last day of sale - buy 1 - get 1 free - PUBLIX - $ICNB.0065- Stock may soar! #GoDawgs #RollTide #Alabama $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ
3",,,,3,"['https://pbs.twimg.com/media/DSh1BxZU8AEKSx3?format=jpg&name=small', 'https://pbs.twimg.com/media/DSh1BxZUIAIL8JB?format=jpg&name=360x360']",https://twitter.com/Drugdoctor2014/status/948136456819757056
5,Zero Filter,@zerofiltertruth,2018-01-03T11:13:22.000Z,"#Spotify seems-be playing tad dirty in its quest dominate 

$P $AAPL $AMZN $GOOG // $SIRI $FB $DIS $MSFT $VZ 
@RichBTIG
 @MariaBartiromo","#Spotify seems-be playing tad dirty in its quest dominate 

$P $AAPL $AMZN $GOOG // $SIRI $FB $DIS $MSFT $VZ 
@RichBTIG
 @MariaBartiromo
cnbc.com
Spotify hit with $1.6 billion copyright lawsuit
Spotify was sued by Wixen Music Publishing for allegedly using thousands of songs without a license.",,,,,[],https://twitter.com/zerofiltertruth/status/948512605542469632
6,Michelle Cook,@ChannelMktMC,2018-01-02T20:10:00.000Z,"Verizon Wants to Help Build City Streets of the Future 
@themotleyfool
 #stocks $VZ","Verizon Wants to Help Build City Streets of the Future 
@themotleyfool
 #stocks $VZ
fool.com
Verizon Wants to Help Build City Streets of the Future @themotleyfool #stocks $VZ
Verizon offers hope for those who are tired of traffic and concerned about unhealthy city air. No phone required.
2
5",,,2,5,['https://pbs.twimg.com/card_img/1500728226674769924/l69drgvU?format=jpg&name=small'],https://twitter.com/ChannelMktMC/status/948285266845839360
7,ChartMill,@ChartMill,2018-01-03T00:11:13.000Z,$VZ forming an excellent breakout setup pattern. https://chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/VZ?key=8d507985-2528-48cc-b873-9d38828997b5… #highvolume #breakout,$VZ forming an excellent breakout setup pattern. https://chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/VZ?key=8d507985-2528-48cc-b873-9d38828997b5… #highvolume #breakout,,,,,['https://pbs.twimg.com/media/DSkzoeiXcAAPqm7?format=jpg&name=small'],https://twitter.com/ChartMill/status/948345968709300230
8,Finscreener,@Finscreener,2018-01-03T19:57:45.000Z,Top 10 stocks with best dividend yield from Dow Jones 30 $VZ $IBM $PFE $XOM $CVX $MRK $KO $CSCO $PG $GE https://finscreener.com/screener/best-dividend-stocks/dj30…,Top 10 stocks with best dividend yield from Dow Jones 30 $VZ $IBM $PFE $XOM $CVX $MRK $KO $CSCO $PG $GE https://finscreener.com/screener/best-dividend-stocks/dj30…,,,,,['https://pbs.twimg.com/media/DSpDNcUWAAIoI49?format=jpg&name=small'],https://twitter.com/Finscreener/status/948644572229455873
9,Matthew Watson,@MWatson8429,2018-01-02T04:26:16.000Z,"I highly recommend checking this out for finding great stocks to trade http://bit.ly/2w8Wg3W
$VET $VZ $VRTV","I highly recommend checking this out for finding great stocks to trade http://bit.ly/2w8Wg3W
$VET $VZ $VRTV",,,,,['https://pbs.twimg.com/media/DSgkaxAVoAAluon?format=jpg&name=small'],https://twitter.com/MWatson8429/status/948047767150116864
