,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,West Bromwich Albion,@WBA,2018-01-03T11:30:13.000Z," Happy birthday, skipper 

#WBA"," Happy birthday, skipper 

#WBA
18
85
1,005",📷 🎉,18,85,"1,005",['https://pbs.twimg.com/media/DSnPA5lX0AAi7df?format=jpg&name=small'],https://twitter.com/WBA/status/948516844838772737
1,Henry Winter,@henrywinter,2018-01-03T15:21:25.000Z,"Statement on Jake Livermore from 
@WBA","Statement on Jake Livermore from 
@WBA
218
550
1,121",,218,550,"1,121",['https://pbs.twimg.com/media/DSoD9jVW4AA_ySt?format=jpg&name=small'],https://twitter.com/henrywinter/status/948575030044254208
2,West Bromwich Albion,@WBA,2018-01-02T21:39:12.000Z," Full time...

Albion are beaten late on.

 http://bit.ly/whm-wba         

#WHUWBA"," Full time...

Albion are beaten late on.

 http://bit.ly/whm-wba         

#WHUWBA
64
36
37",📷 ➡,64,36,37,['https://pbs.twimg.com/media/DSkQ0AcW4AAVyBA?format=jpg&name=small'],https://twitter.com/WBA/status/948307715146829824
3,West Bromwich Albion,@WBA,2018-01-02T21:37:04.000Z," West Ham have won it...

Carroll converts at the back post.

 http://bit.ly/whm-wba        

#WHUWBA"," West Ham have won it...

Carroll converts at the back post.

 http://bit.ly/whm-wba        

#WHUWBA
47
38
80",📷 ➡,47,38,80,['https://pbs.twimg.com/media/DSkQNquW0AEA3JZ?format=jpg&name=small'],https://twitter.com/WBA/status/948307177214705664
4,Lizzie,@ehayward93,2018-01-03T23:25:10.000Z,"This is a great idea 
@WBA
 @29_JL
! ","This is a great idea 
@WBA
 @29_JL
! 
Scott franklin
@Frankocomms
 · 4 Jan 2018
Wouldn’t it be great for the Brighton game if we did a collection for Livermore? He could pick a children’s charity to donate the money too? It would make national news, via social media etc, show that us baggies stick together! @WBA @WBAFCAssembly @chrislepkowski @WBAFoundation
4
15",💙 ☺,,4,15,['https://pbs.twimg.com/profile_images/1383140527873404932/qcyIZ30k_mini.jpg'],https://twitter.com/ehayward93/status/948696771257094144
5,Red Bob,@robmclean1986,2018-01-02T21:39:37.000Z,"The only man that can save 
@WBA
 is Tony Pulis......Oh wait....","The only man that can save 
@WBA
 is Tony Pulis......Oh wait....
4
6",,,4,6,[],https://twitter.com/robmclean1986/status/948307819702489093
6,Chris Stevenson,@chris_stevo79,2018-01-03T15:29:31.000Z,"Jake Livermore should have flattened that supporter for what they said. As an 
@Wolves
 fan and father I would have stood behind him and followed up with a cricket bat. No footballer and 
@WBA
 rivalry aside should tolerate it. We stand with you #wolvesaywe #wba","Jake Livermore should have flattened that supporter for what they said. As an 
@Wolves
 fan and father I would have stood behind him and followed up with a cricket bat. No footballer and 
@WBA
 rivalry aside should tolerate it. We stand with you #wolvesaywe #wba
6
32
219",,6,32,219,[],https://twitter.com/chris_stevo79/status/948577067364438016
7,BBC Radio WM Sport,@sportbbcwm,2018-01-02T18:42:45.000Z,"#WBA Will 2018 bring a change of fortune for 
@WBA
?
Join Rob and Bomber @WestHamUtd #Baggies","#WBA Will 2018 bring a change of fortune for 
@WBA
?
Join Rob and Bomber @WestHamUtd #Baggies
4
2
15",,4,2,15,['https://pbs.twimg.com/media/DSjoc8TW4AAZiGO?format=jpg&name=small'],https://twitter.com/sportbbcwm/status/948263308213280769
8,The Albion Foundation,@WBAFoundation,2018-01-03T12:27:50.000Z," Happy birthday to 
@WBA
 captain Jonny Evans!

#WBA"," Happy birthday to 
@WBA
 captain Jonny Evans!

#WBA
1
1
49",🎉,1,1,49,['https://pbs.twimg.com/media/DSncK5iWAAEA6au?format=jpg&name=small'],https://twitter.com/WBAFoundation/status/948531345655058432
9,Scott franklin,@Frankocomms,2018-01-03T22:50:42.000Z,"Wouldn’t it be great for the Brighton game if we did a collection for Livermore? He could pick a children’s charity to donate the money too? It would make national news, via social media etc, show that us baggies stick together! 
@WBA
 @WBAFCAssembly
 @chrislepkowski
 @WBAFoundation","Wouldn’t it be great for the Brighton game if we did a collection for Livermore? He could pick a children’s charity to donate the money too? It would make national news, via social media etc, show that us baggies stick together! 
@WBA
 @WBAFCAssembly
 @chrislepkowski
 @WBAFoundation
7
20
35",,7,20,35,[],https://twitter.com/Frankocomms/status/948688097998405633
10,Ian Abrahams (Moose),@BroadcastMoose,2018-01-03T08:06:12.000Z,"Happy 30th Birthday to 
@wba
 defender Johnny Evans, have a great day my friend","Happy 30th Birthday to 
@wba
 defender Johnny Evans, have a great day my friend
5
2
12",,5,2,12,['https://pbs.twimg.com/media/DSmgWbmW0AAx-7f?format=jpg&name=small'],https://twitter.com/BroadcastMoose/status/948465505437995008
