,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Sunrise Trader,@SunriseTrader,2018-01-02T17:39:29.000Z,$XOM updated chart still holding this let it ride. See dates on notes to follow the process of the trade,"$XOM updated chart still holding this let it ride. See dates on notes to follow the process of the trade
4
6
14",,4,6,14,['https://pbs.twimg.com/media/DSjZ-VkX0AAnH0o?format=jpg&name=small'],https://twitter.com/SunriseTrader/status/948247388736622594
1,Seeking Alpha,@SeekingAlpha,2018-01-03T01:25:04.000Z,$AAPL #APPLE $AGN $BA $BTI $BUD $CAT $CELG $EPD $FDX $GE $GILD $HCP $JNJ $MO $NE $NSU $O $QCOM $RCS $XOM $JPM $WFC,"$AAPL #APPLE $AGN $BA $BTI $BUD $CAT $CELG $EPD $FDX $GE $GILD $HCP $JNJ $MO $NE $NSU $O $QCOM $RCS $XOM $JPM $WFC
seekingalpha.com
Half Million Dollar Income Portfolio - A New Year With The Same Ideals
The Half Income Dollar Income Portfolio has experienced dividend growth recently as the portfolio had invested in General Electric instead of Apple.
2
2",,,2,2,['https://pbs.twimg.com/card_img/1499772526641225736/va5d3fsq?format=jpg&name=360x360'],https://twitter.com/SeekingAlpha/status/948364555377242114
2,Rishesh Singh,@androsForm,2018-01-02T19:44:15.000Z,$XOM Bullish options flow noted,"$XOM Bullish options flow noted
76
68",,,76,68,[],https://twitter.com/androsForm/status/948278785954275328
3,Leni,@TweetLeni,2018-01-03T16:12:32.000Z,$XOM 5.75% hold 2018,"$XOM 5.75% hold 2018
1
1
4",,1,1,4,[],https://twitter.com/TweetLeni/status/948587894108839936
4,Christian Fromhertz,@cfromhertz,2018-01-02T17:32:28.000Z,$XOM calls bought,"$XOM calls bought
1
2
6",,1,2,6,[],https://twitter.com/cfromhertz/status/948245622313947136
5,J.C. Parets,@allstarcharts,2018-01-01T22:48:45.000Z,"What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57","What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57
allstarcharts.com
Where We've Been And Where We're Going - All Star Charts -
It’s hard not to reflect on the past 12 months as we celebrate the New Year with our friends and family. For me it’s both a blessing and a curse. While it’s exciting to begin 2018 on a fresh note, I...
1
9
35",,1,9,35,['https://pbs.twimg.com/card_img/1501452788353617920/pBFIElCA?format=jpg&name=240x240'],https://twitter.com/allstarcharts/status/947962830191337472
6,Seeking Alpha,@SeekingAlpha,2018-01-03T18:33:12.000Z,$BCS $C $GS $BP $RDS.A $RDS.B $XOM https://seekingalpha.com/article/4135088-supermajors-bp-shell-xom-take-hit-u-s-new-tax-reform-legislation?source=feed_f…,$BCS $C $GS $BP $RDS.A $RDS.B $XOM https://seekingalpha.com/article/4135088-supermajors-bp-shell-xom-take-hit-u-s-new-tax-reform-legislation?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948623294617407488
7,AheadoftheNews,@AheadoftheNews,2018-01-02T17:11:23.000Z,$XOM has been on radar for a bit. 7th time the charm?,"$XOM has been on radar for a bit. 7th time the charm?
1
2
3",,1,2,3,['https://pbs.twimg.com/media/DSjTgxbUIAApfE3?format=png&name=small'],https://twitter.com/AheadoftheNews/status/948240316053647360
8,Finscreener,@Finscreener,2018-01-03T21:24:01.000Z,S&P 500 stocks today trading summary $NEE $DIS $DUK $PEG $AEP $JPM $AAPL $AMZN $JNJ $PFE $BAC $XOM $CVX $PYPL $FB https://finscreener.com,"S&P 500 stocks today trading summary $NEE $DIS $DUK $PEG $AEP $JPM $AAPL $AMZN $JNJ $PFE $BAC $XOM $CVX $PYPL $FB https://finscreener.com
1
1",,,1,1,['https://pbs.twimg.com/media/DSpW8-8W4AcFnH9?format=jpg&name=small'],https://twitter.com/Finscreener/status/948666279665299456
9,Ernest Scheyder,@ErnestScheyder,2018-01-02T18:02:20.000Z,"BP takes $1.5 billion hit over U.S tax changes, joining Shell (But so far, nothing from 
@ExxonMobil
 or 
@Chevron
 on how the new tax regime will affect their bottom lines) https://reut.rs/2lKuC9Q $BP $CVX $XOM #TaxBill #oott #oil","BP takes $1.5 billion hit over U.S tax changes, joining Shell (But so far, nothing from 
@ExxonMobil
 or 
@Chevron
 on how the new tax regime will affect their bottom lines) https://reut.rs/2lKuC9Q $BP $CVX $XOM #TaxBill #oott #oil
4
3",,,4,3,[],https://twitter.com/ErnestScheyder/status/948253140129927169
10,DXI Energy Inc.,@DXIEnergy,2018-01-03T13:11:27.000Z,"Market Commentary: #Oil could hit $80 per barrel by the end of 2018, says portfolio manager http://cnb.cx/2lL9WhP $DXIEF $DXI $BTE $OBE $HUSA $CEI $ECA $BBI $CPG $PWT $GNOLF $TRCH $CHK $PARR $WPX $XOM $CVX #natgas $UGAZ $BOIL $MGTI $IGC $RIOT #oilprice $LTEA","Market Commentary: #Oil could hit $80 per barrel by the end of 2018, says portfolio manager http://cnb.cx/2lL9WhP $DXIEF $DXI $BTE $OBE $HUSA $CEI $ECA $BBI $CPG $PWT $GNOLF $TRCH $CHK $PARR $WPX $XOM $CVX #natgas $UGAZ $BOIL $MGTI $IGC $RIOT #oilprice $LTEA
cnbc.com
Oil could hit $80 per barrel by the end of 2018, says portfolio manager
Greater discipline among oil producers and the need to maintain stability ahead of Saudi Aramco's IPO will support prices, according to Natixis.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1502115421587050499/N38wiZJN?format=jpg&name=small'],https://twitter.com/DXIEnergy/status/948542322299555840
11,Scott Redler,@RedDogT3,2018-01-02T17:08:06.000Z,$xom finally Cleared $84. Should do better this time,"$xom finally Cleared $84. Should do better this time
3
4
12",,3,4,12,[],https://twitter.com/RedDogT3/status/948239489977278465
12,Bespoke,@bespokeinvest,2018-01-03T18:03:35.000Z,"From our Trend Analyzer, Exxon Mobil $XOM is now the most overbought stock in the Dow: https://bespokepremium.com/trend-analyzer/","From our Trend Analyzer, Exxon Mobil $XOM is now the most overbought stock in the Dow: https://bespokepremium.com/trend-analyzer/
1
4",,,1,4,['https://pbs.twimg.com/media/DSopD6HVMAAa0k3?format=jpg&name=small'],https://twitter.com/bespokeinvest/status/948615839435063296
13,Simply Stock Info,@simplystockinfo,2018-01-02T23:39:09.000Z,"New Year Brings Fresh Record Highs - http://go.shr.lc/2qci1Sg
$SPY $DIA $QQQ $USO $XOM $CVX $AAPL $AMZN $FB $GOOGL $DIS $NFLX #stocks #earnings #StockMarket #CNBC","New Year Brings Fresh Record Highs - http://go.shr.lc/2qci1Sg
$SPY $DIA $QQQ $USO $XOM $CVX $AAPL $AMZN $FB $GOOGL $DIS $NFLX #stocks #earnings #StockMarket #CNBC
1
1",,,1,1,['https://pbs.twimg.com/media/DSksSsIVwAARp82?format=jpg&name=small'],https://twitter.com/simplystockinfo/status/948337899325419520
14,Greg5thTrad,@Greg5thTrad,2018-01-02T23:41:48.000Z," Money Flows: Selling on Strength: Among stocks that were TUE, these had the largest outflows of money $SPY $EFA $EEM $IWM $FB $JPM $XOM $PFE $BDX $GE $NFLX $SJNK"," Money Flows: Selling on Strength: Among stocks that were TUE, these had the largest outflows of money $SPY $EFA $EEM $IWM $FB $JPM $XOM $PFE $BDX $GE $NFLX $SJNK
1
1",🧐 ⬆,,1,1,['https://pbs.twimg.com/media/DSks3luUQAA8BY2?format=jpg&name=small'],https://twitter.com/Greg5thTrad/status/948338567931203584
15,Maderlander.eth,@CrmTrades,2018-01-03T00:29:02.000Z,"$XOM nice break over $84 finally.  And held.  Dividend adjusted, $84 was a real pressure point.","$XOM nice break over $84 finally.  And held.  Dividend adjusted, $84 was a real pressure point.
1",,,,1,['https://pbs.twimg.com/media/DSk3tXkUQAAkuFw?format=jpg&name=small'],https://twitter.com/CrmTrades/status/948350455083622400
16,Jay Siegel,@JSiegel88,2018-01-03T18:59:23.000Z,"**Energy's Hot Again...

But 2 Yrs Ago , only short seller 
@DeadCosWalking
 realized $XOM not likely to crash - diverse earnings; risk taking culture; best mgmt among majors / IOC's

http://deadcompanieswalking.tumblr.com/post/144094822581/exxon-is-still-a-better-bet-than-apple…","**Energy's Hot Again...

But 2 Yrs Ago , only short seller 
@DeadCosWalking
 realized $XOM not likely to crash - diverse earnings; risk taking culture; best mgmt among majors / IOC's

http://deadcompanieswalking.tumblr.com/post/144094822581/exxon-is-still-a-better-bet-than-apple…
1
3",,,1,3,['https://pbs.twimg.com/media/DSo1iSRW0AAm2mZ?format=jpg&name=small'],https://twitter.com/JSiegel88/status/948629881964957701
