,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,🅸🆃🅴🅲🅷 STOP THE WAR,@_B_I_O_T_E_C_H_,2018-01-03T17:45:31.000Z,"New $SGMO $PFE Collaboration in ALS --
Another Example of Execution; More in 1H18
We would #Buy $SGMO, esp. ahead of clinical
data expected 1H18.","New $SGMO $PFE Collaboration in ALS --
Another Example of Execution; More in 1H18
We would #Buy $SGMO, esp. ahead of clinical
data expected 1H18.
2
9
19",🅱 🅾,2,9,19,['https://pbs.twimg.com/media/DSok44fX4AEY0C0?format=jpg&name=small'],https://twitter.com/_B_I_O_T_E_C_H_/status/948611295460429824
1,Bio Stocks™,@BioStocks,2018-01-03T12:32:09.000Z,$SGMO & $PFE announce collaboration for development of zinc finger protein gene therapy for ALS. $12M upfront,"$SGMO & $PFE announce collaboration for development of zinc finger protein gene therapy for ALS. $12M upfront
8
20",,,8,20,[],https://twitter.com/BioStocks/status/948532433753841664
2,Tyler,@EspitiaTyler,2018-01-01T02:56:29.000Z,I’m anticipating this move and will buy the bounce on $PFE,"I’m anticipating this move and will buy the bounce on $PFE
1
8",,,1,8,['https://pbs.twimg.com/media/DSbGRmvWsAA_ztS?format=jpg&name=small'],https://twitter.com/EspitiaTyler/status/947662787362349056
3,Wayne,@wyv_123,2018-01-03T15:59:02.000Z,"The $SGMO  / $PFE ALS partnership was not on anyone's radar. Imagine what the ones we know about (TAU, CNS, HIV, etc) are are worth and how many potential others are out there. Plus this deal validates the CNS platform.","The $SGMO  / $PFE ALS partnership was not on anyone's radar. Imagine what the ones we know about (TAU, CNS, HIV, etc) are are worth and how many potential others are out there. Plus this deal validates the CNS platform.
3
9",,,3,9,[],https://twitter.com/wyv_123/status/948584496789704705
4,Tonya Treadway,@TMTreadway,2018-01-02T15:57:14.000Z,"Happy to have our fencing up on the k-1 playground 
@PFE_Rangers
 ! #schoolsafetymatters #SIPgoals","Happy to have our fencing up on the k-1 playground 
@PFE_Rangers
 ! #schoolsafetymatters #SIPgoals
3
5",,,3,5,['https://pbs.twimg.com/media/DSjCiykVAAAp_U8?format=jpg&name=small'],https://twitter.com/TMTreadway/status/948221656920678401
5,Drugdoctor1,@Drugdoctor2014,2018-01-02T16:48:49.000Z,"$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD - $150 million revs projected 2018 with profits! $PG $MRK $MYL $VRX $VRTX $BIIB $BMY $JNJ $CELG $AKRX $REGN $JNJ $PFE $GSK $LLY $ABT $SNY $NVO $NVS
$WBA $RAD $HLF $CJJD $GNC $DPLO $IPXL $TSCO $BBBY $RGS $TEVA $RDY $MNK $ASMB","$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD - $150 million revs projected 2018 with profits! $PG $MRK $MYL $VRX $VRTX $BIIB $BMY $JNJ $CELG $AKRX $REGN $JNJ $PFE $GSK $LLY $ABT $SNY $NVO $NVS
$WBA $RAD $HLF $CJJD $GNC $DPLO $IPXL $TSCO $BBBY $RGS $TEVA $RDY $MNK $ASMB
2",,,,2,['https://pbs.twimg.com/media/DSjOIqVUMAEBRSI?format=jpg&name=small'],https://twitter.com/Drugdoctor2014/status/948234639142944769
6,DoggyPurses.com,@doggypursescom,2018-01-01T01:31:08.000Z,"Only 16 Of 61 Are 'Safer' Dividend Healthcare Dogs For October ...
Top safer dividend Healthcare dog, GSK's 16.2% net gain was 58% more than MRK's 10.4% second place effort, and 100% over PFE's fourth place result per ...and more » https://seekingalpha.com/article/4114274-16-61-safer-dividend-healthcare-dogs-october…","Only 16 Of 61 Are 'Safer' Dividend Healthcare Dogs For October ...
Top safer dividend Healthcare dog, GSK's 16.2% net gain was 58% more than MRK's 10.4% second place effort, and 100% over PFE's fourth place result per ...and more » https://seekingalpha.com/article/4114274-16-61-safer-dividend-healthcare-dogs-october…",,,,,['https://pbs.twimg.com/media/DSayvnBV4AM7I4w?format=jpg&name=small'],https://twitter.com/doggypursescom/status/947641304825171970
7,pharmalot,@pharmalot,2018-01-02T14:29:34.000Z,Pharmalot.. Pharmalittle.. Good Morning.. welcome back - coffee and headlines are served.. https://statnews.com/pharmalot/2018/01/02/fraud-apotex-mallinckrodt-nash/… #pharma $MNK $PFE $SNY $LLY,"Pharmalot.. Pharmalittle.. Good Morning.. welcome back - coffee and headlines are served.. https://statnews.com/pharmalot/2018/01/02/fraud-apotex-mallinckrodt-nash/… #pharma $MNK $PFE $SNY $LLY
statnews.com
Pharmalittle: Pharma accounted for a lot of fraud last year; what becomes of Apotex?
The path forward for Apotex is uncertain following what authorities called the ""suspicious"" Dec. 15 death of founder and chairman Barry Sherman.",,,,,[],https://twitter.com/pharmalot/status/948199594252492801
8,Greg5thTrad,@Greg5thTrad,2018-01-02T23:41:48.000Z," Money Flows: Selling on Strength: Among stocks that were TUE, these had the largest outflows of money $SPY $EFA $EEM $IWM $FB $JPM $XOM $PFE $BDX $GE $NFLX $SJNK"," Money Flows: Selling on Strength: Among stocks that were TUE, these had the largest outflows of money $SPY $EFA $EEM $IWM $FB $JPM $XOM $PFE $BDX $GE $NFLX $SJNK
1
1",🧐 ⬆,,1,1,['https://pbs.twimg.com/media/DSks3luUQAA8BY2?format=jpg&name=small'],https://twitter.com/Greg5thTrad/status/948338567931203584
9,Odi Bruckman,@odibro,2018-01-03T12:34:17.000Z,$SGMO and $PFE announce collaboration for development of zinc finger protein gene therapy for ALS. $12M upfront  https://investor.sangamo.com/press-releases/detail/384/sangamo-and-pfizer-announce-collaboration-for-development…,"$SGMO and $PFE announce collaboration for development of zinc finger protein gene therapy for ALS. $12M upfront  https://investor.sangamo.com/press-releases/detail/384/sangamo-and-pfizer-announce-collaboration-for-development…
1
14
19",,1,14,19,[],https://twitter.com/odibro/status/948532969857273858
