,Stock,date,action_prob
0,$INTC,20170101,0
1,$INTC,20170102,-0.6364810381616864
2,$INTC,20170103,-0.2613507824785569
3,$INTC,20170104,-0.2634964629455849
4,$INTC,20170105,-0.31745276359411384
5,$INTC,20170106,-0.43801165803482656
6,$INTC,20170107,-0.4868928834244057
7,$INTC,20170108,-0.399917858839035
8,$INTC,20170109,-0.30617935166639443
9,$INTC,20170110,-0.43884417632730993
10,$INTC,20170111,-0.5269502883261823
11,$INTC,20170112,-0.4134360606020147
12,$INTC,20170113,-0.28501996099948884
13,$INTC,20170114,-0.13128813049372504
14,$INTC,20170115,-0.2080941983631679
15,$INTC,20170116,-0.32365788039514576
16,$INTC,20170117,-0.5388152140837449
17,$INTC,20170118,-0.5858213393127217
18,$INTC,20170119,-0.29167908288183664
19,$INTC,20170120,-0.30191200441784327
20,$INTC,20170121,-0.38298291084813135
21,$INTC,20170122,-0.38974932953715324
22,$INTC,20170123,-0.3011528311706171
23,$INTC,20170124,-0.13697216533265025
24,$INTC,20170125,-0.28911504663270093
25,$INTC,20170126,-0.33248150651737796
26,$INTC,20170127,-0.2561994324127833
27,$INTC,20170128,-0.14895889588764735
28,$INTC,20170129,-0.16385169239605174
29,$INTC,20170130,-0.33396322111929616
30,$INTC,20170131,-0.471072327258975
31,$INTC,20170201,-0.49510864185732467
32,$INTC,20170202,-0.5191475703166082
33,$INTC,20170203,-0.5701050949546526
34,$INTC,20170204,-0.47264461647974304
35,$INTC,20170205,-0.4030575122152056
36,$INTC,20170206,-0.21068195081674135
37,$INTC,20170207,-0.12358748040548186
38,$INTC,20170208,-0.2096450602686083
39,$INTC,20170209,-0.3426413853322306
40,$INTC,20170210,-0.40296648163348436
41,$INTC,20170211,-0.2914029641283883
42,$INTC,20170212,-0.22521339873878324
43,$INTC,20170213,-0.15855827300172104
44,$INTC,20170214,-0.3118070575926039
45,$INTC,20170215,-0.25939307189904726
46,$INTC,20170216,-0.31861469201874315
47,$INTC,20170217,-0.2894658916874936
48,$INTC,20170218,-0.22855454141443426
49,$INTC,20170219,-0.07087600964766283
50,$INTC,20170220,0.05756402492523193
51,$INTC,20170221,-0.12463690111270317
52,$INTC,20170222,-0.2232196569442749
53,$INTC,20170223,-0.29384140023645366
54,$INTC,20170224,-0.3996924523796354
55,$INTC,20170225,-0.3785327280439982
56,$INTC,20170226,-0.3885843475018778
57,$INTC,20170227,-0.2693605809300034
58,$INTC,20170228,-0.2803859923567091
59,$INTC,20170301,-0.3385635018348694
60,$INTC,20170302,-0.43390584430273843
61,$INTC,20170303,-0.43975263546748333
62,$INTC,20170304,-0.49543791223358324
63,$INTC,20170305,-0.5332396764840398
64,$INTC,20170306,-0.6043401445661273
65,$INTC,20170307,-0.5074657484104759
66,$INTC,20170308,-0.4273642787226924
67,$INTC,20170309,-0.3206532191146504
68,$INTC,20170310,-0.32546469443280934
69,$INTC,20170311,-0.29671221505850554
70,$INTC,20170312,-0.3497278268744306
71,$INTC,20170313,-0.27338648156115886
72,$INTC,20170314,-0.5173980472609401
73,$INTC,20170315,-0.4404813683176615
74,$INTC,20170316,-0.34988542573124753
75,$INTC,20170317,-0.15731543434990777
76,$INTC,20170318,-0.3392290857930978
77,$INTC,20170319,-0.5981696800487798
78,$INTC,20170320,-0.4718693275200693
79,$INTC,20170321,-0.20501014259126452
80,$INTC,20170322,-0.1580773938086725
81,$INTC,20170323,-0.30238502640878
82,$INTC,20170324,-0.4923331490878401
83,$INTC,20170325,-0.43050791323184967
84,$INTC,20170326,-0.31993084192276
85,$INTC,20170327,-0.2984045238205881
86,$INTC,20170328,-0.5218860455181288
87,$INTC,20170329,-0.40091425290814153
88,$INTC,20170330,-0.3460080422022763
89,$INTC,20170331,-0.28942276537418365
90,$INTC,20170401,-0.23008080985811022
91,$INTC,20170402,-0.31660545110702515
