,Stock,date,action_prob
0,$JPM,20170101,0
1,$JPM,20170102,-0.07147762179374695
2,$JPM,20170103,-0.2685282954147884
3,$JPM,20170104,-0.47078764803555545
4,$JPM,20170105,-0.5800142334774137
5,$JPM,20170106,-0.6053917342669344
6,$JPM,20170107,-0.6102675890922546
7,$JPM,20170108,-0.4570195220018688
8,$JPM,20170109,-0.4167185404470989
9,$JPM,20170110,-0.3285875269051256
10,$JPM,20170111,-0.2521348093685351
11,$JPM,20170112,-0.2407404969608973
12,$JPM,20170113,-0.22657096483668343
13,$JPM,20170114,-0.27409791393378347
14,$JPM,20170115,-0.27214484981128145
15,$JPM,20170116,-0.23730371793111166
16,$JPM,20170117,-0.2158441288130624
17,$JPM,20170118,-0.5119345927238464
18,$JPM,20170119,-0.5164311154414032
19,$JPM,20170120,-0.6057734497495599
20,$JPM,20170121,-0.5393811705407132
21,$JPM,20170122,-0.6216472359374166
22,$JPM,20170123,-0.4596883952617645
23,$JPM,20170124,-0.32514719932507247
24,$JPM,20170125,-0.366725934876336
25,$JPM,20170126,-0.43964156355613315
26,$JPM,20170127,-0.543241257603104
27,$JPM,20170128,-0.49313924993787495
28,$JPM,20170129,-0.4797667390421817
29,$JPM,20170130,-0.3939971327781677
30,$JPM,20170131,-0.26289770704634646
31,$JPM,20170201,-0.4084863845182925
32,$JPM,20170202,-0.2840149998664856
33,$JPM,20170203,-0.2621423853561282
34,$JPM,20170204,-0.21577706560492516
35,$JPM,20170205,-0.3125001856538116
36,$JPM,20170206,-0.4068371507856581
37,$JPM,20170207,-0.2379567391342587
38,$JPM,20170208,-0.24250412445801955
39,$JPM,20170209,-0.25558918906796363
40,$JPM,20170210,-0.3003197566407626
41,$JPM,20170211,-0.25796545669436455
42,$JPM,20170212,-0.27960837206670214
43,$JPM,20170213,-0.339912384021573
44,$JPM,20170214,-0.2253117090777347
45,$JPM,20170215,-0.11161393688080158
46,$JPM,20170216,-0.13705456722527742
47,$JPM,20170217,-0.22363223054192283
48,$JPM,20170218,-0.18426762686835396
49,$JPM,20170219,-0.10587626695632935
50,$JPM,20170220,-0.12213512215503426
51,$JPM,20170221,-0.16117275032130154
52,$JPM,20170222,-0.21161966113483205
53,$JPM,20170223,-0.16043144048646438
54,$JPM,20170224,-0.1972508896480907
55,$JPM,20170225,-0.314794968474995
56,$JPM,20170226,-0.347630005274246
57,$JPM,20170227,-0.4536665667747629
58,$JPM,20170228,-0.4899791691984449
59,$JPM,20170301,-0.3250057639983984
60,$JPM,20170302,-0.08524664062442201
61,$JPM,20170303,-0.10201166252071937
62,$JPM,20170304,-0.14374997948898988
63,$JPM,20170305,-0.4272974620060045
64,$JPM,20170306,-0.6395651340484619
65,$JPM,20170307,-0.6096636597500291
66,$JPM,20170308,-0.6045902001446691
67,$JPM,20170309,-0.5958837428026729
68,$JPM,20170310,-0.47317229792223137
69,$JPM,20170311,-0.3562653889258703
70,$JPM,20170312,-0.34520456954544665
71,$JPM,20170313,-0.4938369864641234
72,$JPM,20170314,-0.5262382887303829
73,$JPM,20170315,-0.5458888294650059
74,$JPM,20170316,-0.45543306675113615
75,$JPM,20170317,-0.4880028182551974
76,$JPM,20170318,-0.4817244791593708
77,$JPM,20170319,-0.45265550083584255
78,$JPM,20170320,-0.4201272671039288
79,$JPM,20170321,-0.32131997535103246
80,$JPM,20170322,-0.43198310516097327
81,$JPM,20170323,-0.5548001918636385
82,$JPM,20170324,-0.5287338655728561
83,$JPM,20170325,-0.5429019843920683
84,$JPM,20170326,-0.4906483363749376
85,$JPM,20170327,-0.502983158826828
86,$JPM,20170328,-0.505420791548352
87,$JPM,20170329,-0.49222634352889716
88,$JPM,20170330,-0.5067460990663785
89,$JPM,20170331,-0.4680462328355704
90,$JPM,20170401,-0.4793711641142445
91,$JPM,20170402,-0.4656310347800559
92,$JPM,20170403,-0.5336433473755332
93,$JPM,20170404,-0.4482000846611826
94,$JPM,20170405,-0.3953089508009546
95,$JPM,20170406,-0.41664566404848213
96,$JPM,20170407,-0.3482322418689728
97,$JPM,20170408,-0.45672894472425635
98,$JPM,20170409,-0.28302582502365115
99,$JPM,20170410,-0.3718658983707428
100,$JPM,20170411,-0.2862857096904033
101,$JPM,20170412,-0.5171786809668821
102,$JPM,20170413,-0.5279884963739113
103,$JPM,20170414,-0.5686068144337885
104,$JPM,20170415,-0.528925052172021
105,$JPM,20170416,-0.502504647994528
106,$JPM,20170417,-0.2988900975747542
107,$JPM,20170418,-0.4145364440404452
108,$JPM,20170419,-0.5292681786749098
109,$JPM,20170420,-0.613850732644399
110,$JPM,20170421,-0.6599255568840925
111,$JPM,20170422,-0.6059232194032242
112,$JPM,20170423,-0.42261458570892746
113,$JPM,20170424,-0.27817137945782056
114,$JPM,20170425,-0.4433698351421053
115,$JPM,20170426,-0.45254773127881787
116,$JPM,20170427,-0.4595429508309615
117,$JPM,20170428,-0.5065941271873621
118,$JPM,20170429,-0.4096449613571167
119,$JPM,20170430,-0.4110896937225176
120,$JPM,20170501,-0.2848007803161939
121,$JPM,20170502,-0.5358296467198266
122,$JPM,20170503,-0.5065438523888588
123,$JPM,20170504,-0.5704134816215152
124,$JPM,20170505,-0.5048441499994513
125,$JPM,20170506,-0.3714031170284937
126,$JPM,20170507,-0.28030613660812376
127,$JPM,20170508,-0.2120646501696387
128,$JPM,20170509,-0.4640255675596349
129,$JPM,20170510,-0.5758305351908614
130,$JPM,20170511,-0.3958398991940068
131,$JPM,20170512,-0.15572646498680115
132,$JPM,20170513,-0.05947596321300584
133,$JPM,20170514,-0.016340460326220538
134,$JPM,20170515,-0.23676585129329136
135,$JPM,20170516,-0.20473320302316697
136,$JPM,20170517,-0.32965760231018065
137,$JPM,20170518,-0.32739309931910315
138,$JPM,20170519,-0.3502557770959262
139,$JPM,20170520,-0.3072575505437522
140,$JPM,20170521,-0.3617319269613786
141,$JPM,20170522,-0.39096704483032224
142,$JPM,20170523,-0.3114576948449967
143,$JPM,20170524,-0.13660141825675964
144,$JPM,20170525,-0.20583582683043047
145,$JPM,20170526,-0.37395756045977274
146,$JPM,20170527,-0.4836276235251591
147,$JPM,20170528,-0.5428939284162319
148,$JPM,20170529,-0.41434961344514576
149,$JPM,20170530,-0.5773513317108154
150,$JPM,20170531,-0.6304219783398143
151,$JPM,20170601,-0.6725843377497004
152,$JPM,20170602,-0.6993916799192843
153,$JPM,20170603,-0.6993374973535538
154,$JPM,20170604,-0.6874752377762514
155,$JPM,20170605,-0.5694330402782986
156,$JPM,20170606,-0.6279209279097043
157,$JPM,20170607,-0.5922873438672817
158,$JPM,20170608,-0.5096597698601809
159,$JPM,20170609,-0.5982735907589948
160,$JPM,20170610,-0.5975746124982834
161,$JPM,20170611,-0.6395328795755064
162,$JPM,20170612,-0.5316836086186496
163,$JPM,20170613,-0.4249443084001541
164,$JPM,20170614,-0.35998934507369995
165,$JPM,20170615,-0.47667324459049065
166,$JPM,20170616,-0.5493183304101993
167,$JPM,20170617,-0.6537835189274379
168,$JPM,20170618,-0.561920990203989
169,$JPM,20170619,-0.5669710258158241
170,$JPM,20170620,-0.4075389061218653
171,$JPM,20170621,-0.5688974711359763
172,$JPM,20170622,-0.5891967702794958
173,$JPM,20170623,-0.6954487618410362
174,$JPM,20170624,-0.4096851296592177
175,$JPM,20170625,-0.2813990083005693
176,$JPM,20170626,-0.2149074868015621
177,$JPM,20170627,-0.4455343594356459
178,$JPM,20170628,-0.45891048956890496
179,$JPM,20170629,-0.24561882108005126
180,$JPM,20170630,-0.143052339553833
181,$JPM,20170701,-0.22668475052889656
182,$JPM,20170702,-0.39731241149060864
183,$JPM,20170703,-0.38130572537581126
184,$JPM,20170704,-0.26997503475709395
185,$JPM,20170705,-0.132993266582489
186,$JPM,20170706,-0.24213018875855666
187,$JPM,20170707,-0.382986213080585
188,$JPM,20170708,-0.37847260908148755
189,$JPM,20170709,-0.29144807711039505
190,$JPM,20170710,-0.22902604818344116
191,$JPM,20170711,-0.3362342049093807
192,$JPM,20170712,-0.4673371706157923
193,$JPM,20170713,-0.48814164896806084
194,$JPM,20170714,-0.5230815801769495
195,$JPM,20170715,-0.5751028559928717
196,$JPM,20170716,-0.5569158026150295
197,$JPM,20170717,-0.5025316508752959
198,$JPM,20170718,-0.5790011265821624
199,$JPM,20170719,-0.5732360976307016
200,$JPM,20170720,-0.6423787180034594
