,Stock,date,action_prob
0,$KO,20170101,0
1,$KO,20170102,-0.5537590861320496
2,$KO,20170103,-0.2682458572089672
3,$KO,20170104,-0.5437196634317699
4,$KO,20170105,-0.6209455392577431
5,$KO,20170106,-0.743387828438969
6,$KO,20170107,-0.7082502900385389
7,$KO,20170108,-0.5587392398289271
8,$KO,20170109,-0.539907141968056
9,$KO,20170110,-0.6354498549511558
10,$KO,20170111,-0.7714424214579843
11,$KO,20170112,-0.5043123005384422
12,$KO,20170113,-0.34015001613518286
13,$KO,20170114,-0.1502841567171031
14,$KO,20170115,-0.19453250037299263
15,$KO,20170116,-0.15221467188426427
16,$KO,20170117,-0.32137961839807444
17,$KO,20170118,-0.6303134338800297
18,$KO,20170119,-0.675481950153004
19,$KO,20170120,-0.646291419311806
20,$KO,20170121,-0.6954912973774804
21,$KO,20170122,-0.643344892609504
22,$KO,20170123,-0.6660492235216601
23,$KO,20170124,-0.374633042976774
24,$KO,20170125,-0.4419832855463028
25,$KO,20170126,-0.5463082402944565
26,$KO,20170127,-0.6365184686223014
27,$KO,20170128,-0.6180502618181294
28,$KO,20170129,-0.5414910651743412
29,$KO,20170130,-0.5159967783335093
30,$KO,20170131,-0.5860429746764046
31,$KO,20170201,-0.6089056381365148
32,$KO,20170202,-0.6569688152848628
33,$KO,20170203,-0.698362390200297
34,$KO,20170204,-0.5829286851264812
35,$KO,20170205,-0.4166365712881088
36,$KO,20170206,-0.32627150416374207
37,$KO,20170207,-0.271619588136673
38,$KO,20170208,-0.33378910727617217
39,$KO,20170209,-0.4185945510864258
40,$KO,20170210,-0.47561995330311
41,$KO,20170211,-0.5102568455489285
42,$KO,20170212,-0.4239188402891159
43,$KO,20170213,-0.3792802161640591
44,$KO,20170214,-0.5086076293672834
45,$KO,20170215,-0.6863408949640062
46,$KO,20170216,-0.7515181228518486
47,$KO,20170217,-0.6934556043337262
48,$KO,20170218,-0.6872387290000915
49,$KO,20170219,-0.6266224423180455
50,$KO,20170220,-0.6291088802473885
51,$KO,20170221,-0.5473712338341608
52,$KO,20170222,-0.5070345748554577
53,$KO,20170223,-0.5465577752501877
54,$KO,20170224,-0.4536665927280079
55,$KO,20170225,-0.48008284453422795
56,$KO,20170226,-0.4799856185913086
57,$KO,20170227,-0.6542345672040373
58,$KO,20170228,-0.19712287379849341
59,$KO,20170301,-0.1662244492388786
60,$KO,20170302,-0.2861263486055227
61,$KO,20170303,-0.5007204386320981
62,$KO,20170304,-0.6468840194126916
63,$KO,20170305,-0.5399085440133747
64,$KO,20170306,-0.5666563638619014
65,$KO,20170307,-0.49560860097408294
66,$KO,20170308,-0.6022109793765205
67,$KO,20170309,-0.6182281213147299
68,$KO,20170310,-0.5630292673321331
69,$KO,20170311,-0.5530018611387773
70,$KO,20170312,-0.3782028012805515
71,$KO,20170313,-0.39408983124627006
72,$KO,20170314,-0.1862125778809572
73,$KO,20170315,-0.3898804659067198
74,$KO,20170316,-0.3909934795632654
75,$KO,20170317,-0.5964000236754324
76,$KO,20170318,-0.5726458842937763
77,$KO,20170319,-0.575821666613869
78,$KO,20170320,-0.5753697369779859
79,$KO,20170321,-0.44396555185317993
80,$KO,20170322,-0.5175712202724657
81,$KO,20170323,-0.4623555839061737
82,$KO,20170324,-0.3931501607100169
83,$KO,20170325,-0.2419876864081935
84,$KO,20170326,-0.1934987207253774
85,$KO,20170327,-0.08201427630015783
86,$KO,20170328,-0.19566354155540466
87,$KO,20170329,-0.3469964469733991
88,$KO,20170330,-0.5461439061164856
89,$KO,20170331,-0.5969175438086192
90,$KO,20170401,-0.648242651199808
91,$KO,20170402,-0.6017051690664047
92,$KO,20170403,-0.6240750366243822
93,$KO,20170404,-0.7043593836327394
