,Stock,date,action_prob
0,$MCD,20170101,0
1,$MCD,20170102,-0.5519149402777354
2,$MCD,20170103,-0.45502564836950865
3,$MCD,20170104,-0.7039633612243497
4,$MCD,20170105,-0.7302608143199574
5,$MCD,20170106,-0.7984117415716063
6,$MCD,20170107,-0.7066954947434939
7,$MCD,20170108,-0.7060188596898859
8,$MCD,20170109,-0.7228278040885925
9,$MCD,20170110,-0.7456590982583853
10,$MCD,20170111,-0.7028223457859784
11,$MCD,20170112,-0.612399965217433
12,$MCD,20170113,-0.5739501435309649
13,$MCD,20170114,-0.4898696117328875
14,$MCD,20170115,-0.5890099825682463
15,$MCD,20170116,-0.4705045498334445
16,$MCD,20170117,-0.46110208468003705
17,$MCD,20170118,-0.48110121680844214
18,$MCD,20170119,-0.6080387459860908
19,$MCD,20170120,-0.7442395230557056
20,$MCD,20170121,-0.6717749283863947
21,$MCD,20170122,-0.695082277059555
22,$MCD,20170123,-0.6038476244823353
23,$MCD,20170124,-0.4554919892427873
24,$MCD,20170125,-0.2993502331816632
25,$MCD,20170126,-0.3993263317827593
26,$MCD,20170127,-0.5617638413722699
27,$MCD,20170128,-0.6477596748108957
28,$MCD,20170129,-0.6958352488776048
29,$MCD,20170130,-0.7120294198393822
30,$MCD,20170131,-0.5972335847412668
31,$MCD,20170201,-0.6302092026691047
32,$MCD,20170202,-0.6470241018061368
33,$MCD,20170203,-0.5911848273193627
34,$MCD,20170204,-0.5875491162141164
35,$MCD,20170205,-0.6101884115826
36,$MCD,20170206,-0.7822943375660822
37,$MCD,20170207,-0.6204023497445242
38,$MCD,20170208,-0.5804530620574951
39,$MCD,20170209,-0.5985011756420135
40,$MCD,20170210,-0.5446150333716951
41,$MCD,20170211,-0.5348988011960061
42,$MCD,20170212,-0.5121850056468316
43,$MCD,20170213,-0.5864169612908975
44,$MCD,20170214,-0.5057869255542755
45,$MCD,20170215,-0.4628444035002526
46,$MCD,20170216,-0.414141188065211
47,$MCD,20170217,-0.4776682531247374
48,$MCD,20170218,-0.4146003514005427
49,$MCD,20170219,-0.3846388129251344
50,$MCD,20170220,-0.22759798914194107
51,$MCD,20170221,-0.3036331554253896
52,$MCD,20170222,-0.5721903462563792
53,$MCD,20170223,-0.6169949005479398
54,$MCD,20170224,-0.6860416862699721
55,$MCD,20170225,-0.4236280580065144
56,$MCD,20170226,-0.34357518967935596
57,$MCD,20170227,-0.3151380121707916
58,$MCD,20170228,-0.5661605160969955
59,$MCD,20170301,-0.6875500710386979
60,$MCD,20170302,-0.6694287938891716
61,$MCD,20170303,-0.5292521305382252
62,$MCD,20170304,-0.5497508586748786
63,$MCD,20170305,-0.4795993129412333
64,$MCD,20170306,-0.6023228184172982
65,$MCD,20170307,-0.5926281015078226
66,$MCD,20170308,-0.4666828857527839
67,$MCD,20170309,-0.6369316460830825
68,$MCD,20170310,-0.6524017394566145
69,$MCD,20170311,-0.6981609041040594
70,$MCD,20170312,-0.5824475976137015
71,$MCD,20170313,-0.399531222306765
72,$MCD,20170314,-0.23934092469837354
73,$MCD,20170315,-0.38087900638580324
74,$MCD,20170316,-0.490780440069014
75,$MCD,20170317,-0.652595983899158
76,$MCD,20170318,-0.4992738962173462
77,$MCD,20170319,-0.5052677866530745
78,$MCD,20170320,-0.48648853063583375
79,$MCD,20170321,-0.7510015977465588
