,Stock,date,action_prob
0,$WMT,20180101,0
1,$WMT,20180102,-0.08053814040289985
2,$WMT,20180103,-0.32802538486088023
3,$WMT,20180104,-0.3300360880400005
4,$WMT,20180105,-0.3655935488641262
5,$WMT,20180106,-0.3931749883820029
6,$WMT,20180107,-0.4584287573893865
7,$WMT,20180108,-0.494716503518693
8,$WMT,20180109,-0.39381695084455537
9,$WMT,20180110,-0.3721118601885709
10,$WMT,20180111,-0.3814151506674917
11,$WMT,20180112,-0.5020641357126371
12,$WMT,20180113,-0.5949800300101439
13,$WMT,20180114,-0.588215620287003
14,$WMT,20180115,-0.6523252836493558
15,$WMT,20180116,-0.5733788468069949
16,$WMT,20180117,-0.49247275995758344
17,$WMT,20180118,-0.3386864257308672
18,$WMT,20180119,-0.3308395283264026
19,$WMT,20180120,-0.3739671131311837
20,$WMT,20180121,-0.4626327959390787
21,$WMT,20180122,-0.46344893243577745
22,$WMT,20180123,-0.5917472514239225
23,$WMT,20180124,-0.45450624575217563
24,$WMT,20180125,-0.33716557423273724
25,$WMT,20180126,-0.24361638489522433
26,$WMT,20180127,-0.3294325680063482
27,$WMT,20180128,-0.38953935126869044
28,$WMT,20180129,-0.3441421464085579
29,$WMT,20180130,-0.17354435139688953
30,$WMT,20180131,-0.3799777880628058
31,$WMT,20180201,-0.4424995705485344
32,$WMT,20180202,-0.6830932789919327
33,$WMT,20180203,-0.6096193817528811
34,$WMT,20180204,-0.5393012141187986
35,$WMT,20180205,-0.47834606924835515
36,$WMT,20180206,-0.47421054948459973
37,$WMT,20180207,-0.4304395743778774
38,$WMT,20180208,-0.39884014709575755
39,$WMT,20180209,-0.3627328077952067
40,$WMT,20180210,-0.4737845294329585
41,$WMT,20180211,-0.48536866903305054
42,$WMT,20180212,-0.588477396235174
43,$WMT,20180213,-0.6386834846602546
44,$WMT,20180214,-0.6656029340697498
45,$WMT,20180215,-0.508217894563488
46,$WMT,20180216,-0.4392888428909438
47,$WMT,20180217,-0.4845097354229759
48,$WMT,20180218,-0.4770242754293948
49,$WMT,20180219,-0.4735719278454781
50,$WMT,20180220,0.3277815038507635
51,$WMT,20180221,-0.7165768631434036
52,$WMT,20180222,-0.6802338151370778
53,$WMT,20180223,-0.7449322640895844
54,$WMT,20180224,-0.5825134590268135
55,$WMT,20180225,-0.49466882590894345
56,$WMT,20180226,-0.302915683499089
57,$WMT,20180227,-0.39682337824179204
58,$WMT,20180228,-0.41565640219326677
59,$WMT,20180301,-0.444373812715886
60,$WMT,20180302,-0.5686523762616245
61,$WMT,20180303,-0.5547126759501064
62,$WMT,20180304,-0.5382068093006428
63,$WMT,20180305,-0.4657192826271057
64,$WMT,20180306,-0.4870495835940043
65,$WMT,20180307,-0.4719957465475256
66,$WMT,20180308,-0.4276976448794206
67,$WMT,20180309,-0.473370502392451
68,$WMT,20180310,-0.49075810585991814
69,$WMT,20180311,-0.5332612582281524
70,$WMT,20180312,-0.4695609084197453
71,$WMT,20180313,-0.43631660370599656
72,$WMT,20180314,-0.35428213115249363
73,$WMT,20180315,-0.3462751316172736
74,$WMT,20180316,-0.4431450841378193
75,$WMT,20180317,-0.5925704705715179
76,$WMT,20180318,-0.6483468918696694
77,$WMT,20180319,-0.646586743422917
78,$WMT,20180320,-0.49737626030331566
79,$WMT,20180321,-0.4410593157464808
80,$WMT,20180322,-0.33954558057605094
81,$WMT,20180323,-0.3442186781338283
82,$WMT,20180324,-0.5197162294387817
83,$WMT,20180325,-0.7345578216988108
84,$WMT,20180326,-0.7464441535649476
85,$WMT,20180327,-0.8438427578657866
86,$WMT,20180328,-0.5307083659701877
87,$WMT,20180329,-0.33861374234159786
88,$WMT,20180330,-0.49519220079694476
89,$WMT,20180331,-0.5797779715224488
90,$WMT,20180401,-0.7188822593329087
91,$WMT,20180402,-0.5946361757814884
92,$WMT,20180403,-0.6845695631844657
93,$WMT,20180404,-0.6709252128729949
94,$WMT,20180405,-0.6704084288615447
95,$WMT,20180406,-0.5140370117857102
96,$WMT,20180407,-0.43099541399214003
97,$WMT,20180408,-0.39443259603447384
98,$WMT,20180409,-0.4304243358405861
99,$WMT,20180410,-0.533410203197728
100,$WMT,20180411,-0.5333545575750634
101,$WMT,20180412,-0.6368564643510958
102,$WMT,20180413,-0.6932227339433588
103,$WMT,20180414,-0.6087638030449549
104,$WMT,20180415,-0.5649490096876698
105,$WMT,20180416,-0.4845660376548767
106,$WMT,20180417,-0.5532703574965981
107,$WMT,20180418,-0.48304934837879276
108,$WMT,20180419,-0.2855559845228453
109,$WMT,20180420,-0.17725633887144235
110,$WMT,20180421,-0.1949888269106547
111,$WMT,20180422,-0.33781874615971635
112,$WMT,20180423,-0.5576842612233656
113,$WMT,20180424,-0.3374380851403261
114,$WMT,20180425,-0.37707560767932813
115,$WMT,20180426,-0.23509868923223243
116,$WMT,20180427,-0.27378500520058396
117,$WMT,20180428,-0.35604872097048845
118,$WMT,20180429,-0.45584285921520656
119,$WMT,20180430,-0.5472212063855139
120,$WMT,20180501,-0.21807216172632965
121,$WMT,20180502,-0.15885574313310477
122,$WMT,20180503,-0.3779772476873536
123,$WMT,20180504,-0.471464104950428
124,$WMT,20180505,-0.4955617557553684
125,$WMT,20180506,-0.4293022674542886
126,$WMT,20180507,-0.5228597683211168
127,$WMT,20180508,-0.7338783989350001
128,$WMT,20180509,-0.6596844331784681
129,$WMT,20180510,-0.695695625953987
130,$WMT,20180511,-0.6102466041391547
131,$WMT,20180512,-0.6102529213978694
132,$WMT,20180513,-0.47396645740586885
133,$WMT,20180514,-0.49149077013134956
134,$WMT,20180515,-0.47552096686865153
135,$WMT,20180516,-0.23397781225768002
136,$WMT,20180517,-0.23345446845759515
137,$WMT,20180518,-0.13740414778391521
138,$WMT,20180519,-0.27301252854836955
139,$WMT,20180520,-0.268066880106926
140,$WMT,20180521,-0.35405795944148094
141,$WMT,20180522,-0.5037956929206848
142,$WMT,20180523,-0.5119966158160457
143,$WMT,20180524,-0.3678448670185529
144,$WMT,20180525,-0.23734527504121936
145,$WMT,20180526,-0.3422113085786502
146,$WMT,20180527,-0.5109932386875152
147,$WMT,20180528,-0.5562140616503629
148,$WMT,20180529,-0.6302952210108439
149,$WMT,20180530,-0.5131023269073636
150,$WMT,20180531,-0.5031995079734108
151,$WMT,20180601,-0.4822786571323008
152,$WMT,20180602,-0.4440533859389169
153,$WMT,20180603,-0.4083984891573588
154,$WMT,20180604,-0.30401547696139364
155,$WMT,20180605,-0.2827893742199602
156,$WMT,20180606,-0.19754821326997546
157,$WMT,20180607,-0.3257498531429856
158,$WMT,20180608,-0.3954185402393341
159,$WMT,20180609,-0.5206284079145878
160,$WMT,20180610,-0.534919212504131
161,$WMT,20180611,-0.6778576691945394
162,$WMT,20180612,-0.7039595780701473
163,$WMT,20180613,-0.6779663939225046
164,$WMT,20180614,-0.5886790076891582
165,$WMT,20180615,-0.5113217299399169
166,$WMT,20180616,-0.5263196671831196
167,$WMT,20180617,-0.5662977967192145
168,$WMT,20180618,-0.6657124369433431
169,$WMT,20180619,-0.6495630467524294
170,$WMT,20180620,-0.6170015441837595
171,$WMT,20180621,-0.5707999545115011
172,$WMT,20180622,-0.5361854897605048
173,$WMT,20180623,-0.5156708040902781
174,$WMT,20180624,-0.48002153138319653
