,Stock,date,action_prob
0,PFE,20180101,0
1,PFE,20180102,0.37223721402032034
2,PFE,20180103,0.08217782735824584
3,PFE,20180104,0.011889550223279356
4,PFE,20180105,-0.0677632633377524
5,PFE,20180106,-0.008866365088356866
6,PFE,20180107,-0.1392236856313852
7,PFE,20180108,-0.17537041381001472
8,PFE,20180109,-0.3886268678701149
9,PFE,20180110,-0.21277549633613
10,PFE,20180111,-0.18337148427963257
11,PFE,20180112,0.017169083037027497
12,PFE,20180113,0.02406976620356242
13,PFE,20180114,-0.10308225949605306
14,PFE,20180115,-0.3007393158399142
15,PFE,20180116,-0.35726613870688845
16,PFE,20180117,-0.16662627869638905
17,PFE,20180118,-0.1933611012854666
18,PFE,20180119,0.07380469278855757
19,PFE,20180120,0.013080555884564509
20,PFE,20180121,-0.025062321670471677
21,PFE,20180122,-0.17023159105044144
22,PFE,20180123,-0.3922082435700201
23,PFE,20180124,-0.2703045261533637
24,PFE,20180125,-0.13809521561083588
25,PFE,20180126,-0.1645046591758728
26,PFE,20180127,0.16285306960344315
27,PFE,20180128,0.04140256172002748
28,PFE,20180129,0.14474057345776944
29,PFE,20180130,-0.35632323997992055
30,PFE,20180131,-0.29207135915756227
31,PFE,20180201,-0.27054155276993574
32,PFE,20180202,-0.09026010517488446
33,PFE,20180203,0.14899626844807676
34,PFE,20180204,0.10596804502533703
35,PFE,20180205,-0.15797020259656405
36,PFE,20180206,-0.34271605768982244
37,PFE,20180207,-0.26352218822999435
38,PFE,20180208,-0.23841816584269207
39,PFE,20180209,-0.21449206709861757
40,PFE,20180210,-0.3152265302066145
41,PFE,20180211,-0.31462720613325795
42,PFE,20180212,-0.3010835647583008
43,PFE,20180213,-0.19667574167251586
44,PFE,20180214,-0.041605177313782445
45,PFE,20180215,-0.08208569820891036
46,PFE,20180216,-0.2376962213412575
47,PFE,20180217,-0.21384525411533858
48,PFE,20180218,-0.17510175831774447
49,PFE,20180219,-0.004175463860685175
50,PFE,20180220,0.07570179365575314
51,PFE,20180221,0.1491882224551967
52,PFE,20180222,0.19701339475444105
53,PFE,20180223,0.09731519222259521
54,PFE,20180224,-0.17006920819932764
55,PFE,20180225,-0.13570357606096087
56,PFE,20180226,-0.1420165929529402
57,PFE,20180227,-0.19349099469907355
58,PFE,20180228,-0.3695283264949404
59,PFE,20180301,-0.3429139300958434
60,PFE,20180302,-0.289503384913717
61,PFE,20180303,-0.2729045079179006
62,PFE,20180304,-0.30717011846479825
63,PFE,20180305,-0.29611774321113316
64,PFE,20180306,-0.27225980162620544
65,PFE,20180307,-0.180063792845098
66,PFE,20180308,-0.02869113428252084
67,PFE,20180309,-0.10138495350783726
68,PFE,20180310,-0.00870911641554399
69,PFE,20180311,-0.1323584292245948
70,PFE,20180312,0.04029972244192053
