,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Business Insider,@BusinessInsider,2018-01-01T08:50:57.000Z,"There is a 40% chance Apple will acquire Netflix, according to Citi $AAPL $NFLX http://read.bi/2DHIqt0","There is a 40% chance Apple will acquire Netflix, according to Citi $AAPL $NFLX http://read.bi/2DHIqt0
15
461
142",,15,461,142,['https://pbs.twimg.com/media/DScXaeEWsAAIo0Y?format=jpg&name=small'],https://twitter.com/BusinessInsider/status/947751991618531328
1,Yahoo Finance,@YahooFinance,2018-01-02T14:49:25.000Z,LIVE: Will Apple BUY Netflix? We break it all down $NFLX $AAPL - http://yhoo.it/2CBC9zv,"LIVE: Will Apple BUY Netflix? We break it all down $NFLX $AAPL - http://yhoo.it/2CBC9zv
2
20
24",,2,20,24,['https://pbs.twimg.com/media/DSizCydXkAA8pYq?format=jpg&name=small'],https://twitter.com/YahooFinance/status/948204588615786496
2,Option_Sniper,@option_snipper,2018-01-03T03:41:10.000Z,"I made many ""crazy"" predictions a year ago and most of them reached PT. Updated them again in Mar/Apr, then reached again. Now am offering update PT for 2018: $fb 262, $amzn 1420, $nflx 264, $googl 1340, $tsla 466, $aapl 192, $nvda 276, $baba 284, $bidu 318, $mu 72, $msft 112.","I made many ""crazy"" predictions a year ago and most of them reached PT. Updated them again in Mar/Apr, then reached again. Now am offering update PT for 2018: $fb 262, $amzn 1420, $nflx 264, $googl 1340, $tsla 466, $aapl 192, $nvda 276, $baba 284, $bidu 318, $mu 72, $msft 112.
25
69
244",,25,69,244,[],https://twitter.com/option_snipper/status/948398807322120193
3,FedProm,@FedProm,2018-01-03T18:55:46.000Z,All our problems started with Eve & $AAPL $study,"All our problems started with Eve & $AAPL $study
1
1
3",,1,1,3,['https://pbs.twimg.com/media/DSo1A5nVwAAD2CE?format=jpg&name=small'],https://twitter.com/FedProm/status/948628973872967680
4,Don't gamble with your investments!,@philstockworld,2018-01-02T14:39:48.000Z,"2018 Tuesday - How we will be Building our New $100,000 Portfolios $AAPL $F -- http://philstockworld.com/2018/01/02/2018-tuesday-how-we-will-be-building-our-new-100000-portfolios/…","2018 Tuesday - How we will be Building our New $100,000 Portfolios $AAPL $F -- http://philstockworld.com/2018/01/02/2018-tuesday-how-we-will-be-building-our-new-100000-portfolios/…
305
356",,,305,356,['https://pbs.twimg.com/media/DSiw1C6W4AAwYE3?format=jpg&name=small'],https://twitter.com/philstockworld/status/948202168326205440
5,Mad Money On CNBC,@MadMoneyOnCNBC,2018-01-03T01:46:23.000Z,".
@JimCramer
 thinks you could still have time to take a bite of the $AAPL",".
@JimCramer
 thinks you could still have time to take a bite of the $AAPL
cnbc.com
Cramer Remix: My prediction for Apple in 2018
Jim Cramer dished out his take on whether Apple can continue to stay juicy this year after it had a big run last year.
3
8
18",,3,8,18,['https://pbs.twimg.com/card_img/1500696661470838788/cdLWb99t?format=jpg&name=small'],https://twitter.com/MadMoneyOnCNBC/status/948369920483577858
6,Mr. Profit,@ProfitTradeRoom,2018-01-02T19:43:14.000Z,"I hope you feel same way about New Year

#Winner #Success #First #Best #Top #Number1 #Money #Cash #Rich #Wealth #Millionaire #Strategy #Plan #backtowork #lifestyle #workhardplayhard #hustle #income #passion #trader #stocks #live #alerts $twtr $snap $aapl $nflx","I hope you feel same way about New Year

#Winner #Success #First #Best #Top #Number1 #Money #Cash #Rich #Wealth #Millionaire #Strategy #Plan #backtowork #lifestyle #workhardplayhard #hustle #income #passion #trader #stocks #live #alerts $twtr $snap $aapl $nflx
1
4
4",💰 ❗,1,4,4,['https://pbs.twimg.com/media/DSj2PGWXcAAUt90?format=jpg&name=small'],https://twitter.com/ProfitTradeRoom/status/948278529933881345
7,Leni,@TweetLeni,2018-01-03T17:15:15.000Z,$AAPL pretty,"$AAPL pretty
1
4",,,1,4,[],https://twitter.com/TweetLeni/status/948603675454459907
8,Proxy Insight,@ProxyInsight,2018-01-03T15:30:14.000Z,Highest-paid executive of Apple earns nearly twice as much as the company's CEO #ExecPay #CorpGov $AAPL http://bit.ly/2CxbjLr,"Highest-paid executive of Apple earns nearly twice as much as the company's CEO #ExecPay #CorpGov $AAPL http://bit.ly/2CxbjLr
1
2
3",,1,2,3,[],https://twitter.com/ProxyInsight/status/948577247883153408
9,Iron Gall Design,@IronGallDesign,2018-01-03T19:18:00.000Z,"Fleur-de-lis Antique #Bookcover
Tough #iPhone6 #Case

https://zazzle.com/pd/spp/pt-casemate_case?dz=3e5871d3-9645-4a14-8570-53815e265de9&clone=true&pending=true&formfactor=apple_iphone6&style=vibe&media=hardplastic&color=white&design.areas=%5Bapple_iphone6_tough_front%5D&rf=238307052646677511…

#iphonecase $AAPL","Fleur-de-lis Antique #Bookcover
Tough #iPhone6 #Case

https://zazzle.com/pd/spp/pt-casemate_case?dz=3e5871d3-9645-4a14-8570-53815e265de9&clone=true&pending=true&formfactor=apple_iphone6&style=vibe&media=hardplastic&color=white&design.areas=%5Bapple_iphone6_tough_front%5D&rf=238307052646677511…

#iphonecase $AAPL
4
4",,,4,4,['https://pbs.twimg.com/media/DSjea_nXkAUqfCh?format=jpg&name=small'],https://twitter.com/IronGallDesign/status/948634568176881664
