,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Johns Charts,@johnscharts,2018-01-03T22:28:33.000Z,$BA tight price action riding 8 EMA is worth watching,"$BA tight price action riding 8 EMA is worth watching
4
10
39",,4,10,39,['https://pbs.twimg.com/media/DSpluBpWkAAJJwS?format=jpg&name=small'],https://twitter.com/johnscharts/status/948682520937271296
1,Yahoo Finance,@YahooFinance,2018-01-02T14:45:43.000Z,"#Stocks to Watch Today: $BP, $BA, $DIS, Playboy http://yhoo.it/2CBC9zv","#Stocks to Watch Today: $BP, $BA, $DIS, Playboy http://yhoo.it/2CBC9zv
1
4",,1,4,,['https://pbs.twimg.com/media/DSix_d4W4AEsJbI?format=jpg&name=small'],https://twitter.com/YahooFinance/status/948203657996197890
2,HULKSTRADAMUS,@HulkCapital,2018-01-03T22:34:12.000Z,$BA HAS THAT LOOK,"$BA HAS THAT LOOK
Johns Charts
@johnscharts
 · 4 Jan 2018
$BA tight price action riding 8 EMA is worth watching
Show this thread
3
17",🔮 👀,,3,17,"['https://pbs.twimg.com/profile_images/1315636282802999296/T_V_fml3_mini.jpg', 'https://pbs.twimg.com/media/DSpluBpWkAAJJwS?format=jpg&name=small']",https://twitter.com/HulkCapital/status/948683941866811392
3,Maria Chaudhry,@mchaudhry82,2018-01-03T04:20:26.000Z,Wednesday’s Watch1: $AAPL $AMZN $BABA $FB $GOOGL $BTC.X $ETH.X $AMD $AVGO $BA $CAT $FCX $CVX $AA $ABBV $ALXN $ADA.X,"Wednesday’s Watch1: $AAPL $AMZN $BABA $FB $GOOGL $BTC.X $ETH.X $AMD $AVGO $BA $CAT $FCX $CVX $AA $ABBV $ALXN $ADA.X
1
4
8",,1,4,8,['https://pbs.twimg.com/media/DSlsrR0V4AUzuUF?format=jpg&name=900x900'],https://twitter.com/mchaudhry82/status/948408689433759744
4,Seeking Alpha,@SeekingAlpha,2018-01-03T12:41:11.000Z,$FB $AMZN $NFLX $GOOG $GOOGL $AAPL $ADBE $CRM $VMW $SLB $UPS $FDX $ALGN $MON $BA $CAT $V $WMT $KMX $AN $CVNA $MMP,"$FB $AMZN $NFLX $GOOG $GOOGL $AAPL $ADBE $CRM $VMW $SLB $UPS $FDX $ALGN $MON $BA $CAT $V $WMT $KMX $AN $CVNA $MMP
seekingalpha.com
Market Is In Beast Mode - Cramer's Mad Money (1/2/18)
Charts show 2018 will be good for stocks. Top 5 winners of the Dow.
1",,,,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/SeekingAlpha/status/948534705174986753
5,Jeff Schwartz,@SchwartzNow,2018-01-03T15:10:00.000Z,"- ""Nonstop flights between Tel Aviv and San Francisco (to start) in the 4Q, as it continues to expand into North America
- ""Will fly the route three times a week using new Boeing 787 Dreamliner aircraft""
#SiliconValley #Tech #Israel $BA #SF #Travel #Business","- ""Nonstop flights between Tel Aviv and San Francisco (to start) in the 4Q, as it continues to expand into North America
- ""Will fly the route three times a week using new Boeing 787 Dreamliner aircraft""
#SiliconValley #Tech #Israel $BA #SF #Travel #Business
Reuters Business
@ReutersBiz
 · 3 Jan 2018
Israel's El Al Airlines to start flights to Silicon Valley http://reut.rs/2CILOo0
3
2",,,3,2,['https://pbs.twimg.com/profile_images/877263475034042368/xbU9vTKw_mini.jpg'],https://twitter.com/SchwartzNow/status/948572157130543105
6,Nelson Alves,@NAlves_EJ,2018-01-03T14:24:30.000Z,"SpaceX is saving a ton of money by re-using Falcon 9 rockets 

https://engadget.com/2017/04/06/spacex-is-saving-a-ton-of-money-by-re-using-falcon-9-rockets/… via 
@engadget
#Tech $BA $TSLA #SpaceX","SpaceX is saving a ton of money by re-using Falcon 9 rockets 

https://engadget.com/2017/04/06/spacex-is-saving-a-ton-of-money-by-re-using-falcon-9-rockets/… via 
@engadget
#Tech $BA $TSLA #SpaceX
engadget.com
SpaceX is saving a ton of money by re-using Falcon 9 rockets | Engadget
SpaceX is deep into the development of reusable rockets to slash launch costs for future missions, so one has to wonder how much its historic SES-10 mission saved.
1",,,,1,[],https://twitter.com/NAlves_EJ/status/948560704914718720
7,Trader Dave,@DNev47,2018-01-03T13:35:42.000Z,$AAPL $AGN $BA $BTI $BUD $CAT $CELG $EPD $FDX $GE $GILD $HCP $JNJ $MO $NE $NSU $O $QCOM $RCS $XOM $JPM $WFC,"$AAPL $AGN $BA $BTI $BUD $CAT $CELG $EPD $FDX $GE $GILD $HCP $JNJ $MO $NE $NSU $O $QCOM $RCS $XOM $JPM $WFC
seekingalpha.com
Half Million Dollar Income Portfolio - A New Year With The Same Ideals
The Half Income Dollar Income Portfolio has experienced dividend growth recently as the portfolio had invested in General Electric instead of Apple.",,,,,[],https://twitter.com/DNev47/status/948548424714072064
8,OLEG EFF,@OLEGEFF,2018-01-01T08:56:05.000Z,$ADBE $ALK $AMT $AMZN $ANET $BA $BG $CALM $CELG $CF $CNI $COST $CVGW $CXO $DANOY $DPSGY $DSKE $DWDP $DXCM $FDP $HD,"$ADBE $ALK $AMT $AMZN $ANET $BA $BG $CALM $CELG $CF $CNI $COST $CVGW $CXO $DANOY $DPSGY $DSKE $DWDP $DXCM $FDP $HD
seekingalpha.com
Lean Long-Term Growth Portfolio - Year-End 2017 Update
For 2017, the LLGP finished with a 21.5 percent return, beating the SPY, and finishing in the 60th percentile against its over 1,700 mutual funds benchmark.
1",,,,1,[],https://twitter.com/OLEGEFF/status/947753282428133377
9,Breaking News,@MarketCurrents,2018-01-03T20:06:40.000Z,Bloomberg: Boeing seeking control of Embraer with defense safeguards https://seekingalpha.com/news/3321013-bloomberg-boeing-seeking-control-embraer-defense-safeguards?source=feed_f… $ERJ $BA,"Bloomberg: Boeing seeking control of Embraer with defense safeguards https://seekingalpha.com/news/3321013-bloomberg-boeing-seeking-control-embraer-defense-safeguards?source=feed_f… $ERJ $BA
seekingalpha.com
Bloomberg: Boeing seeking control of Embraer with defense safeguards (NYSE:ERJ)
Embraer (ERJ +3.5%) pushes ahead to 52-week highs as Bloomberg reports Boeing (BA -0.1%) may seek control of the Brazilian company as part of a deal that would include safeguards for the...",,,,,['https://pbs.twimg.com/card_img/1472356461015711749/Nh_25zhC?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/948646813677928448
