,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,J.C. Parets,@allstarcharts,2018-01-01T22:48:45.000Z,"What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57","What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57
allstarcharts.com
Where We've Been And Where We're Going - All Star Charts -
It’s hard not to reflect on the past 12 months as we celebrate the New Year with our friends and family. For me it’s both a blessing and a curse. While it’s exciting to begin 2018 on a fresh note, I...
1
9
35",,1,9,35,['https://pbs.twimg.com/card_img/1501452788353617920/pBFIElCA?format=jpg&name=240x240'],https://twitter.com/allstarcharts/status/947962830191337472
1,Seeking Alpha,@SeekingAlpha,2018-01-02T18:57:29.000Z,$AAPL #APPLE $BA $CAT $CSCO $DWDP $IBM $INTC $JNJ $JPM $MCD $MMM $MSFT $PFE $PG $UNH $UTX $V $XOM https://seekingalpha.com/article/4134862-2018-dogs-dow-2018-safer-dividend-big-gainers-dowdupont-apple-ibm-and-microsoft-per-broker?source=feed_f…,$AAPL #APPLE $BA $CAT $CSCO $DWDP $IBM $INTC $JNJ $JPM $MCD $MMM $MSFT $PFE $PG $UNH $UTX $V $XOM https://seekingalpha.com/article/4134862-2018-dogs-dow-2018-safer-dividend-big-gainers-dowdupont-apple-ibm-and-microsoft-per-broker?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948267018905575425
2,Seeking Alpha,@SeekingAlpha,2018-01-03T15:20:08.000Z,$AAPL #APPLE $AGN $AMGN $AMZN $BA $BAC $BRK.B $BUD $BX $C $CELG $CRM $CSCO $DIS $EWW $GOOGL $GS $HBI $JNJ $JPM $LB https://seekingalpha.com/article/4135045-nicks-picks-2017-review-beating-market?source=feed_f…,$AAPL #APPLE $AGN $AMGN $AMZN $BA $BAC $BRK.B $BUD $BX $C $CELG $CRM $CSCO $DIS $EWW $GOOGL $GS $HBI $JNJ $JPM $LB https://seekingalpha.com/article/4135045-nicks-picks-2017-review-beating-market?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948574707472769026
3,Seeking Alpha,@SeekingAlpha,2018-01-02T15:35:32.000Z,$ABT $ADM $ALL $AMGN $BHP $BUD $C $CAT $CELG $COST $CSCO $CVX $EOG $F $FDX $FOXA $GDX $GILD $GPS $IBM $INTC $KHC,"$ABT $ADM $ALL $AMGN $BHP $BUD $C $CAT $CELG $COST $CSCO $CVX $EOG $F $FDX $FOXA $GDX $GILD $GPS $IBM $INTC $KHC
seekingalpha.com
Victory Formation Long/Short Portfolio Update - Year End 2017
The Wall Street Survivor example portfolio continues to perform above expectations. The portfolio is well prepared to weather a weak U.S. stock market future.",,,,,['https://pbs.twimg.com/card_img/1501863027557249030/u1WEQt6I?format=jpg&name=360x360'],https://twitter.com/SeekingAlpha/status/948216195337011201
4,Unity Options,@unity_options,2018-01-03T20:07:00.000Z,$CSCO nice flow today,$CSCO nice flow today,,,,,['https://pbs.twimg.com/media/DSpFSNrXkAA_ddS?format=jpg&name=small'],https://twitter.com/unity_options/status/948646900118573056
5,Drugdoctor1,@Drugdoctor2014,2018-01-02T16:51:59.000Z,"$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD- $150 million revs projected 2018 with profits! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH","$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD- $150 million revs projected 2018 with profits! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH
1",,,,1,['https://pbs.twimg.com/media/DSjO6BlVwAAsyLa?format=jpg&name=small'],https://twitter.com/Drugdoctor2014/status/948235435662348289
6,TeresaTrades,@TeresaTrades,2018-01-03T01:12:05.000Z,$CTL $F $JCP $TWX $BAC $AAPL $VRX $GE $BABA $JCP $WFC $CLF $ITUB $MNK $MSFT $BB $AAPL $F $CSCO $FB - Highest volume strikes,"$CTL $F $JCP $TWX $BAC $AAPL $VRX $GE $BABA $JCP $WFC $CLF $ITUB $MNK $MSFT $BB $AAPL $F $CSCO $FB - Highest volume strikes
1",,,,1,['https://pbs.twimg.com/media/DSlBkG5X4AQRO1v?format=jpg&name=small'],https://twitter.com/TeresaTrades/status/948361288186548225
7,Stock Market Picks,@StockWebTrading,2018-01-03T13:45:52.000Z,"$AVGO $CHTR $CTRX $CSCO long and short #stocks from #NASDAQ, up to 1900% in cumulative profits since 2010. http://qqqtradingtips.com $QQQ $SPY #trading #Stockstowatch #trade #Trader #system #strategy #picks","$AVGO $CHTR $CTRX $CSCO long and short #stocks from #NASDAQ, up to 1900% in cumulative profits since 2010. http://qqqtradingtips.com $QQQ $SPY #trading #Stockstowatch #trade #Trader #system #strategy #picks",,,,,['https://pbs.twimg.com/media/DSnuFTBW4AE9sEG?format=jpg&name=small'],https://twitter.com/StockWebTrading/status/948550982560026624
8,Limex,@LimexMe,2018-01-02T14:09:18.000Z,15 Of The Best Mergers And Acquisitions Of 2017 $AMZN $AAPL $CSCO https://ng.whotrades.com/en/news/redirect/?id=0af01c588b68a82427d9ee2edb4cc4c9&src=bb39113&utm_campaign=newsfeed&utm_source=externalwidget&utm_medium=cpf&utm_term=https%3A%2F%2Fpartners.whotrades.com%2F&utm_content=feed…,15 Of The Best Mergers And Acquisitions Of 2017 $AMZN $AAPL $CSCO https://ng.whotrades.com/en/news/redirect/?id=0af01c588b68a82427d9ee2edb4cc4c9&src=bb39113&utm_campaign=newsfeed&utm_source=externalwidget&utm_medium=cpf&utm_term=https%3A%2F%2Fpartners.whotrades.com%2F&utm_content=feed…,,,,,['https://pbs.twimg.com/media/DSip2c2X4AEJ2vJ?format=jpg&name=small'],https://twitter.com/LimexMe/status/948194495232987136
9,ChartMill,@ChartMill,2018-01-02T10:52:03.000Z,"Good technicals, but also a nice setup pattern forming for $CSCO  http://stockcharts.chartmill.com/u/HkgYIEJtmM #new #RT","Good technicals, but also a nice setup pattern forming for $CSCO  http://stockcharts.chartmill.com/u/HkgYIEJtmM #new #RT",,,,,['https://pbs.twimg.com/media/DSh8t5AWkAAQvks?format=jpg&name=small'],https://twitter.com/ChartMill/status/948144854449770496
