,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Ferenc Sanderson,@fundconsult,2019-01-03T20:22:24.000Z,"A look back at 
@GoldmanSachs
 most shorted #hedgefund stocks over 2018
$T $INTC $WMT $RGT $BDX $CVX $IBM $NVDA
#stocks #stockstowatch #shortselling #hedgefunds #StockMarket #optionstrading #algotrading","A look back at 
@GoldmanSachs
 most shorted #hedgefund stocks over 2018
$T $INTC $WMT $RGT $BDX $CVX $IBM $NVDA
#stocks #stockstowatch #shortselling #hedgefunds #StockMarket #optionstrading #algotrading",,,,,['https://pbs.twimg.com/media/DwA1InMX0AkaDvn?format=jpg&name=small'],https://twitter.com/fundconsult/status/1080922347853438976
1,Tom Renna,@534Fourthave,2019-01-03T13:50:20.000Z,#EquitiesResearch: Stock Market Capitalization of the 50 Largest American Cos. $GOOG $AMZN $AAPL $CVX $XOM $FB $HD $WMT $KO PFE $MRK $T $NFLX $V  https://newsgrade.blogspot.com/2019/01/stock-market-capitalization-of-50.html…,"#EquitiesResearch: Stock Market Capitalization of the 50 Largest American Cos. $GOOG $AMZN $AAPL $CVX $XOM $FB $HD $WMT $KO PFE $MRK $T $NFLX $V  https://newsgrade.blogspot.com/2019/01/stock-market-capitalization-of-50.html…
1
1",,,1,1,['https://pbs.twimg.com/media/Dv_bB04WwAE_MfK?format=jpg&name=small'],https://twitter.com/534Fourthave/status/1080823678286336000
2,Yakubu Mohammed Amanna,@WiseYakubu,2019-01-01T23:10:53.000Z,"'Safer Dividend Picks From Barron's 10 For 2019 And Kiplinger's 12 Forever Stocks https://seekingalpha.com/article/4230525?source=ansh… $AAPL, $AMGN, $AMZN, $BAC, $BLK, $CAT, $CVX, $DAL, $GOOGL, $JNJ, $JPM, $MMM, $MO, $O","'Safer Dividend Picks From Barron's 10 For 2019 And Kiplinger's 12 Forever Stocks https://seekingalpha.com/article/4230525?source=ansh… $AAPL, $AMGN, $AMZN, $BAC, $BLK, $CAT, $CVX, $DAL, $GOOGL, $JNJ, $JPM, $MMM, $MO, $O
1",,,,1,[],https://twitter.com/WiseYakubu/status/1080239970646863872
3,SunnyLand@,SunnyLand@,2019-01-02T16:37:17.000Z,"Crude oil rallies, reversing earlier losses $XOM $CVX $RDS.A $BP $COP $HES $MRO $APA $DVN $PXD $EOG","Crude oil rallies, reversing earlier losses $XOM $CVX $RDS.A $BP $COP $HES $MRO $APA $DVN $PXD $EOG
seekingalpha.com
Crude oil rallies, reversing earlier losses (NYSE:XOM)
Crude oil prices reverse course to turn higher after falling sharply on rising output from major producers and concerns about an economic slowdown; WTI +2.8% to $46.69/bbl, Brent +3.1% to...",🌵,,,,['https://pbs.twimg.com/card_img/1495187926770196488/XbSaCIFV?format=png&name=240x240'],https://twitter.com/k58225789/status/1080503305745252353
4,Sam Sargent,@samsarg9,2019-01-02T19:33:14.000Z,"As the calendar rolls over to a new year, we witness a classic rotation, selling last year winners, (Healthcare & Utilities), and buying lasts years losers, (Energy & Financials)... $JNJ, $ABT, $MDT, $NEE, $CVX, $JPM, $WFC $XOM","As the calendar rolls over to a new year, we witness a classic rotation, selling last year winners, (Healthcare & Utilities), and buying lasts years losers, (Energy & Financials)... $JNJ, $ABT, $MDT, $NEE, $CVX, $JPM, $WFC $XOM
3",,,,3,[],https://twitter.com/samsarg9/status/1080547584941350912
5,Market Realist,@MarketRealist,2019-01-03T15:15:25.000Z,"A Q4 Wrap-Up for XOM, CVX, RDS.A, and BP $XOM $BP $RDS.A $CVX https://marketrealist.com/2019/01/xom-cvx-rds-a-and-bp-plunged-in-q4…","A Q4 Wrap-Up for XOM, CVX, RDS.A, and BP $XOM $BP $RDS.A $CVX https://marketrealist.com/2019/01/xom-cvx-rds-a-and-bp-plunged-in-q4…",,,,,['https://pbs.twimg.com/media/Dv_u4krX0AEdaSD?format=jpg&name=small'],https://twitter.com/MarketRealist/status/1080845092846477312
6,WKRB News,@WKRBNews,2019-01-02T00:23:37.000Z,Investors Sell Chevron $CVX on Strength $CVX http://wkrb13.com/?p=805672 #markets,Investors Sell Chevron $CVX on Strength $CVX http://wkrb13.com/?p=805672 #markets,,,,,[],https://twitter.com/WKRBNews/status/1080258275373920256
7,Lloyd Bell,@innersigma,2019-01-03T14:53:49.000Z,Long 1400 shares of $CVX at $109.58 for a swing trade.,Long 1400 shares of $CVX at $109.58 for a swing trade.,,,,,[],https://twitter.com/innersigma/status/1080839655266775041
8,Danny D,@DannyDGoBlue,2019-01-03T13:51:22.000Z,"How An Oil Boom in West Texas Is Reshaping the World | Time

#Permian $XOM $XLE $CVX $EOG $OXY $COP $APC $VDE $MPC","How An Oil Boom in West Texas Is Reshaping the World | Time

#Permian $XOM $XLE $CVX $EOG $OXY $COP $APC $VDE $MPC
time.com
How An Oil Boom in West Texas Is Reshaping the World
The Permian boom has transformed America's place in global energy markets",,,,,['https://pbs.twimg.com/card_img/1501029087619473409/bQ9_ByPl?format=jpg&name=small'],https://twitter.com/DannyDGoBlue/status/1080823940480675841
9,Hedge House Kuwait,@HedgeHouseKwt,2019-01-01T16:23:54.000Z,"#BigOil Yr 2018 

US - $XOM (18.47%) $CVX (13.10%) 
EU - $BP (9.78%)  $RDS.A (12.65%)  $TOT (5.61%)
EM - $PTR (12%)  $PBR  +26.43%  $OGZPY  +0.23%","#BigOil Yr 2018 

US - $XOM (18.47%) $CVX (13.10%) 
EU - $BP (9.78%)  $RDS.A (12.65%)  $TOT (5.61%)
EM - $PTR (12%)  $PBR  +26.43%  $OGZPY  +0.23%",,,,,[],https://twitter.com/HedgeHouseKwt/status/1080137549346152449
