,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,arrgetlam,@arrgetlam,2019-01-03T13:14:31.000Z,"for future reference, $DD 12 straight monthly decline  will Jan be the first green month? ","for future reference, $DD 12 straight monthly decline  will Jan be the first green month? 
4
2
10",🧐 ☕,4,2,10,['https://pbs.twimg.com/media/Dv_S5zBV4AAv3ek?format=jpg&name=small'],https://twitter.com/arrgetlam/status/1080814665083478016
1,BPI Trade,@BPItrade,2019-01-03T02:27:07.000Z,$DD: DoubleDragon aims to generate over Php10B revenues this year,"$DD: DoubleDragon aims to generate over Php10B revenues this year
3",,,,3,[],https://twitter.com/BPItrade/status/1080651740381204480
2,2TradeAsia,@2TradeAsia,2019-01-03T00:23:13.000Z,"$DD sees P10.52bn rental income for 2019 from CitiMall, office, warehouse & hotel projects","$DD sees P10.52bn rental income for 2019 from CitiMall, office, warehouse & hotel projects
1",,,,1,[],https://twitter.com/2TradeAsia/status/1080620562014031873
3,Charles Lim,@duexcharles,2019-01-04T02:16:31.000Z,$DD has awaken,"$DD has awaken
3
13",,,3,13,[],https://twitter.com/duexcharles/status/1081011462871474177
4,Pizza Trader,@Pizza_Trader,2019-01-04T02:17:58.000Z,It would be beautiful if $DD can hold it at that level. That 50day ma needs an up curve.,"It would be beautiful if $DD can hold it at that level. That 50day ma needs an up curve.
2
2",,,2,2,[],https://twitter.com/Pizza_Trader/status/1081011825787846661
5,Ambuzh,@N3084,2019-01-06T18:57:32.000Z,$DD may bra na https://investagrams.com/Post//567751/0 via #investagrams,$DD may bra na https://investagrams.com/Post//567751/0 via #investagrams,,,,,['https://pbs.twimg.com/media/DwP-fTTXcAIG3_x?format=jpg&name=small'],https://twitter.com/N3084/status/1081988153689493504
6,billy bullish.,@jemson131,2019-01-04T02:51:37.000Z,$AEV $DD go go goooow ,$AEV $DD go go goooow ,😂,,,,[],https://twitter.com/jemson131/status/1081020293680775168
7,Rej,@rejborja,2019-01-04T02:17:30.000Z,Thanks $DD,Thanks $DD,,,,,[],https://twitter.com/rejborja/status/1081011708213096453
8,mangangalakal sa merkado,@simplyme_xande,2019-01-04T01:58:30.000Z,Finally the dragon is awaken $dd,"Finally the dragon is awaken $dd
1",,1,,,[],https://twitter.com/simplyme_xande/status/1081006926928830465
9,mangangalakal sa merkado,@simplyme_xande,2019-01-04T03:11:57.000Z,Ty $dd for awhile,Ty $dd for awhile,,,,,[],https://twitter.com/simplyme_xande/status/1081025410886815749
10,BOOMIE Trader,@JohnYu915,2019-01-09T23:44:08.000Z,"Todays watchlist..
$pgold $wpi $alco $ferro $plc $aba $wlcon $dd $jgs $mbt $ict $geri $pizza $phen $fgen $mrsgi 
Lets make some money!","Todays watchlist..
$pgold $wpi $alco $ferro $plc $aba $wlcon $dd $jgs $mbt $ict $geri $pizza $phen $fgen $mrsgi 
Lets make some money!
GIF
2
40",,,2,40,[],https://twitter.com/JohnYu915/status/1083147441170407424
11,DJ Langit,@iamdjlangit,2019-01-09T07:54:59.000Z,$ABA and $DD: BUY signals on multiple timeframes.,"$ABA and $DD: BUY signals on multiple timeframes.
GIF
3",,,,3,['https://pbs.twimg.com/tweet_video_thumb/DwdDmn6V4AU5i-2.jpg'],https://twitter.com/iamdjlangit/status/1082908580544622592
12,Feam,@fmlstre,2019-01-08T08:50:21.000Z,"$DD
Is this a bullish divergence? ","$DD
Is this a bullish divergence? 
1",🤨,,,1,['https://pbs.twimg.com/media/DwYGYWJU8AAsucA?format=jpg&name=small'],https://twitter.com/fmlstre/status/1082560125271867393
13,Charles Lim,@duexcharles,2019-01-07T01:47:55.000Z,$DD 2 pesos to go before it chows its daddy.,"$DD 2 pesos to go before it chows its daddy.
2",,,,2,[],https://twitter.com/duexcharles/status/1082091428799344640
14,Pizza Trader,@Pizza_Trader,2019-01-09T06:55:42.000Z,"$DD is catching fire, breaks 21.35 resistance. 
@SpyfratsCall
 #bebemon?","$DD is catching fire, breaks 21.35 resistance. 
@SpyfratsCall
 #bebemon?
1
2
4",,1,2,4,[],https://twitter.com/Pizza_Trader/status/1082893659203284992
15,JeromeCMorales,@JeromeCMorales,2019-01-09T07:20:49.000Z,"Philippines' DoubleDragon Properties $DD 
@DoubleDragonPh
 partners with 
@Cargill
 to develop industrial facilities across multiple locations","Philippines' DoubleDragon Properties $DD 
@DoubleDragonPh
 partners with 
@Cargill
 to develop industrial facilities across multiple locations
2",,,,2,['https://pbs.twimg.com/media/Dwc7MSiU0AEE-PG?format=jpg&name=small'],https://twitter.com/JeromeCMorales/status/1082899982829576192
