,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Yahoo Finance,@YahooFinance,2018-01-02T21:05:18.000Z,"Today's #Stocks Winners: $DIS, $BABA, $WTW - http://yhoo.it/2qeRDHl","Today's #Stocks Winners: $DIS, $BABA, $WTW - http://yhoo.it/2qeRDHl
1
5
5",,1,5,5,['https://pbs.twimg.com/media/DSkJE6dU0AAiSGT?format=jpg&name=small'],https://twitter.com/YahooFinance/status/948299183018139648
1,Ecex.Exchange — World's Digital Assets Depository,@EcexExchange,2018-01-03T14:26:41.000Z,Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  http://SMS.ECEX.EXCHANGE  $AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $GOOG $SNAP $TWTR   $agn $aapl $brk $crm $cmg $dis $f $fred $iep $ibm  $EUO $VUZI $LABU $ENTA $MTZ $BIOL $ANSS $SCHE,"Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  http://SMS.ECEX.EXCHANGE  $AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $GOOG $SNAP $TWTR   $agn $aapl $brk $crm $cmg $dis $f $fred $iep $ibm  $EUO $VUZI $LABU $ENTA $MTZ $BIOL $ANSS $SCHE
20
25",🚀 🚀,,20,25,['https://pbs.twimg.com/media/DSn3a1mWkAAI5s3?format=jpg&name=small'],https://twitter.com/EcexExchange/status/948561254792142848
2,Headliner,@HeadlinerStocks,2018-01-03T00:22:56.000Z,"#Disney has now made more money off of Starwars than it paid for Lucas Films. 

$DIS #StarWars #PorgNation #TheLastJedi #stocks #StockMarket","#Disney has now made more money off of Starwars than it paid for Lucas Films. 

$DIS #StarWars #PorgNation #TheLastJedi #stocks #StockMarket
4
7",,,4,7,['https://pbs.twimg.com/media/DSk2T8PVoAEU4XO?format=jpg&name=small'],https://twitter.com/HeadlinerStocks/status/948348917376196609
3,A. Maceroni,@AnthonyMaceroni,2018-01-02T02:31:37.000Z,"2018 charts of interest looking to breakout (some again)...
$DIS, $NKE, $MU, $BIDU","2018 charts of interest looking to breakout (some again)...
$DIS, $NKE, $MU, $BIDU
2
9
19",🍝,2,9,19,"['https://pbs.twimg.com/media/DSgJSDVXUAAP6IG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSgJoCPXUAAuCzF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSgJwouWsAA0duk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSgKFGgX4AAdWis?format=jpg&name=360x360']",https://twitter.com/AnthonyMaceroni/status/948018917544546304
4,Belle,@FiBelleFi,2018-01-02T18:01:14.000Z,Shit why u do $DIS,"Shit why u do $DIS
1
3",,1,,3,['https://pbs.twimg.com/media/DSje8r-WAAEqsC_?format=jpg&name=small'],https://twitter.com/FiBelleFi/status/948252862441598976
5,John Zack,@Startedwmouse,2018-01-03T00:58:08.000Z,Some Magic Kingdom News and Notes #Disney $DIS http://disneymaniac5689.blogspot.com/2018/01/magic-kingdom-news-and-notes.html?spref=tw…,"Some Magic Kingdom News and Notes #Disney $DIS http://disneymaniac5689.blogspot.com/2018/01/magic-kingdom-news-and-notes.html?spref=tw…
1
2",,,1,2,[],https://twitter.com/Startedwmouse/status/948357777260470272
6,SHF,@HedgehogOptions,2018-01-03T13:31:31.000Z,"Moving old big blue on to buy list. That huge volume day after last ER looks pivotal

$IBM

$DIS $BABA $FCX $GE","Moving old big blue on to buy list. That huge volume day after last ER looks pivotal

$IBM

$DIS $BABA $FCX $GE
1
1",,,1,1,['https://pbs.twimg.com/media/DSnqzknWAAA7Sl5?format=jpg&name=small'],https://twitter.com/HedgehogOptions/status/948547374929948675
7,Breaking News,@MarketCurrents,2018-01-03T08:47:01.000Z,Vice suspends two top executives https://seekingalpha.com/news/3320802-vice-suspends-two-top-executives?source=feed_f… $VICE $FOXA $DIS $TWX,"Vice suspends two top executives https://seekingalpha.com/news/3320802-vice-suspends-two-top-executives?source=feed_f… $VICE $FOXA $DIS $TWX
seekingalpha.com
Vice suspends two top executives (Private:VICEM)
Vice Media (VICE) has suspended two top executives, including President Andrew Creighton and Chief Digital Officer Mike Germano, following a NYT report on sexual misconduct at the...",,,,,['https://pbs.twimg.com/card_img/1494733840761245699/ntVQbPBr?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/948475775308636160
8,Drugdoctor1,@Drugdoctor2014,2018-01-02T10:18:41.000Z,"Celebrate UGA - TIDE - Falcon Victories with Bellissima Prosecco  - Last day of sale - buy 1 - get 1 free - PUBLIX - $ICNB.0065- Stock may soar! #GoDawgs #RollTide #Alabama $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ","Celebrate UGA - TIDE - Falcon Victories with Bellissima Prosecco  - Last day of sale - buy 1 - get 1 free - PUBLIX - $ICNB.0065- Stock may soar! #GoDawgs #RollTide #Alabama $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ
3",,,,3,"['https://pbs.twimg.com/media/DSh1BxZU8AEKSx3?format=jpg&name=small', 'https://pbs.twimg.com/media/DSh1BxZUIAIL8JB?format=jpg&name=360x360']",https://twitter.com/Drugdoctor2014/status/948136456819757056
9,Mark Sebastian,@OptionPit,2018-01-03T19:37:45.000Z,One of my 2 best ideas for all of 2018 $VIX $SPX $DIS $NFLX https://fb.me/9iiBCx8Ak,"One of my 2 best ideas for all of 2018 $VIX $SPX $DIS $NFLX https://fb.me/9iiBCx8Ak
1
1
2",,1,1,2,[],https://twitter.com/OptionPit/status/948639540528451584
10,Yahoo Finance,@YahooFinance,2018-01-02T15:49:40.000Z,"WATCH: #Stocks we're watching today - $BP, $BA, $DIS, Playboy 
@alexistvnews
 http://yhoo.it/2CBC9zv","WATCH: #Stocks we're watching today - $BP, $BA, $DIS, Playboy 
@alexistvnews
 http://yhoo.it/2CBC9zv
2
2
1",,2,2,1,['https://pbs.twimg.com/media/DSjA1R6VwAA5Hsk.jpg'],https://twitter.com/YahooFinance/status/948219750005346305
11,João Barbosa,@barbosaracing,2018-01-03T18:14:29.000Z,"Yep... that’s snow!!
It seems that I’m bringing the cold weather with me to 
@IMSA
 @dis
 test from NC! 
Should have brought a sled! ","Yep... that’s snow!!
It seems that I’m bringing the cold weather with me to 
@IMSA
 @dis
 test from NC! 
Should have brought a sled! 
3
1
30",❄ 🛷,3,1,30,['https://pbs.twimg.com/media/DSorkczU0AAsCW3?format=jpg&name=small'],https://twitter.com/barbosaracing/status/948618585450131456
12,txlaw,@txlaw_v2,2018-01-01T14:58:33.000Z,I love this drawing. Just shows how visionary $DIS has been in the content space for so long.,"I love this drawing. Just shows how visionary $DIS has been in the content space for so long.
xtreeq
@xtreeq
 · 1 Jan 2018
Will Disney as a Service be successful? $DIS https://redef.com/original/disney-as-a-service-why-disney-is-closer-than-ever-to-walts-60-year-old-vision…
4",,,,4,"['https://pbs.twimg.com/profile_images/442997075412676609/_h2DpIHH_mini.jpeg', 'https://pbs.twimg.com/media/DSdl4DcX0AATEzW?format=jpg&name=small']",https://twitter.com/txlaw_v2/status/947844500948488192
13,𝐃𝐚𝐲 𝐓𝐫𝐚𝐝𝐞𝐫𝐬 𝐆𝐫𝐨𝐮𝐩,@DayTradersGroup,2018-01-02T18:53:44.000Z,"What's Happening?

Our $DIS Call options +60% today! #timestamp 

Highest Options Volume Today: $SPY $SPX $QQQ  $EEM $AAPL $FB $VIX

https://daytradersgroupofamerica.com/buy-and-sell-signals-stock-option-alerts…","What's Happening?

Our $DIS Call options +60% today! #timestamp 

Highest Options Volume Today: $SPY $SPX $QQQ  $EEM $AAPL $FB $VIX

https://daytradersgroupofamerica.com/buy-and-sell-signals-stock-option-alerts…
2
1",,,2,1,['https://pbs.twimg.com/media/DSjo2EhVwAAxOmt?format=jpg&name=small'],https://twitter.com/DayTradersGroup/status/948266075535187968
14,Seeking Alpha,@SeekingAlpha,2018-01-03T15:20:08.000Z,$AAPL #APPLE $AGN $AMGN $AMZN $BA $BAC $BRK.B $BUD $BX $C $CELG $CRM $CSCO $DIS $EWW $GOOGL $GS $HBI $JNJ $JPM $LB https://seekingalpha.com/article/4135045-nicks-picks-2017-review-beating-market?source=feed_f…,$AAPL #APPLE $AGN $AMGN $AMZN $BA $BAC $BRK.B $BUD $BX $C $CELG $CRM $CSCO $DIS $EWW $GOOGL $GS $HBI $JNJ $JPM $LB https://seekingalpha.com/article/4135045-nicks-picks-2017-review-beating-market?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948574707472769026
15,Nancy Boots Davison,@GdaytoYou,2018-01-03T15:46:48.000Z,$DIS Jan 19 115C entry .65,"$DIS Jan 19 115C entry .65
3",,,,3,[],https://twitter.com/GdaytoYou/status/948581416828207105
16,Ross Gerber,@GerberKawasaki,2018-01-02T20:53:45.000Z,Huge day for tech. Wow. I can’t believe what a good first day. Disney having a mister day too. $dis $fb $nvda $nflx $aapl,"Huge day for tech. Wow. I can’t believe what a good first day. Disney having a mister day too. $dis $fb $nvda $nflx $aapl
1
1
7",,1,1,7,[],https://twitter.com/GerberKawasaki/status/948296275941670913
17,StockSpotter,@StockSpotter,2018-01-03T00:21:39.000Z,"Bullish swing trade setups for Wed, Jan 3 include $QQQ $AAPL $XLK $DIS $AMAT  #stocks http://bit.ly/1eJiqiZ","Bullish swing trade setups for Wed, Jan 3 include $QQQ $AAPL $XLK $DIS $AMAT  #stocks http://bit.ly/1eJiqiZ
1",,,,1,[],https://twitter.com/StockSpotter/status/948348595245236224
