,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Seeking Alpha,@SeekingAlpha,2017-01-03T14:35:02.000Z,The Home Depot In The New Year http://seekingalpha.com/article/4033933-home-depot-new-year?source=feed_f… $HD,"The Home Depot In The New Year http://seekingalpha.com/article/4033933-home-depot-new-year?source=feed_f… $HD
1
1",,,1,1,[],https://twitter.com/SeekingAlpha/status/816291787287367681
1,Seeking Alpha,@SeekingAlpha,2017-01-01T23:56:05.000Z,Meet The Flying Five Dogs Of The Dow For 2017 http://seekingalpha.com/article/4033664-meet-flying-five-dogs-dow-2017?source=feed_f… $AAPL #APPLE $BA $CAT $CSCO $CVX $DD $GS $HD $IBM $INTC $KO $NKE,"Meet The Flying Five Dogs Of The Dow For 2017 http://seekingalpha.com/article/4033664-meet-flying-five-dogs-dow-2017?source=feed_f… $AAPL #APPLE $BA $CAT $CSCO $CVX $DD $GS $HD $IBM $INTC $KO $NKE
seekingalpha.com
Meet The Flying Five Dogs Of The Dow For 2017
Time for the annual rebalance of your Dow dog holdings. Top ten Dow dividend yields averaged 3.21% per indexArb.com or 2.83% per YCharts.com as of December 30.
2",,,2,,['https://pbs.twimg.com/card_img/1501753392921722880/_YbiUKI7?format=jpg&name=240x240'],https://twitter.com/SeekingAlpha/status/815708205258899456
2,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2017-01-02T16:46:29.000Z,$GOOGL $AAPL $AMZN $PFE $CVX $XOM $HCA $SO $KO $JPM $WFC $FB $CSCO $HD $DIS $PEP $STZ $STT $PCG $BRK $MO $es_f $cl_f $spx $djia #stock to go,"$GOOGL $AAPL $AMZN $PFE $CVX $XOM $HCA $SO $KO $JPM $WFC $FB $CSCO $HD $DIS $PEP $STZ $STT $PCG $BRK $MO $es_f $cl_f $spx $djia #stock to go
2",📈 📉,,,2,['https://pbs.twimg.com/media/C1LhiTmXEAAaUhP?format=jpg&name=small'],https://twitter.com/raymond10mm/status/815962477506822145
3,StockStream.tv,@stockstreamtv,2017-01-02T18:30:05.000Z,http://stockstream.tv/?v=3hJXDgAZXjU // Trade Ideas 10-4-15 $DBC $CRM $EQC $HA $HD // $DBC #trading #investing #stocks,http://stockstream.tv/?v=3hJXDgAZXjU // Trade Ideas 10-4-15 $DBC $CRM $EQC $HA $HD // $DBC #trading #investing #stocks,,,,,['https://pbs.twimg.com/media/C1L5QxpVQAALG7N?format=jpg&name=small'],https://twitter.com/stockstreamtv/status/815988552190152704
4,Tuan Pham,@15minofPham,2017-01-02T19:36:50.000Z,Best performing high option vol stocks over the past 10 yrs (Winning Pct): $SPY $AAPL $GOOGL $INTC $ORCL $COST $GIS $QQQ $EBAY $T $DIS $HD,"Best performing high option vol stocks over the past 10 yrs (Winning Pct): $SPY $AAPL $GOOGL $INTC $ORCL $COST $GIS $QQQ $EBAY $T $DIS $HD
2
2",,,2,2,['https://pbs.twimg.com/media/C1MHxXWUkAAosx6?format=jpg&name=medium'],https://twitter.com/15minofPham/status/816005350302347264
5,InvestorPlace,@InvestorPlace,2017-01-03T12:50:58.000Z,Home Depot Stock Is a Must-Watch in 2017 $HD http://bit.ly/2iyHoGm,Home Depot Stock Is a Must-Watch in 2017 $HD http://bit.ly/2iyHoGm,,,,,['https://pbs.twimg.com/media/C1P1O3kUcAI4455?format=jpg&name=360x360'],https://twitter.com/InvestorPlace/status/816265595368964096
6,@AlexandriaTech,@AlexandriaTech,2017-01-03T18:00:02.000Z,Top #sentiment for #SP1500 #stocks at midday: $SNA $HD $XRX $GME $INTC (2017/01/03) #stocktrading #predictiveanalytics #bigdata,Top #sentiment for #SP1500 #stocks at midday: $SNA $HD $XRX $GME $INTC (2017/01/03) #stocktrading #predictiveanalytics #bigdata,,,,,[],https://twitter.com/alexandriatech/status/816343378401103872
7,bored2tears,@bored2tears,2017-01-03T20:43:12.000Z,"Amazon, Best Buy, Home Depot and Lowe's stand to gain if Sears goes bust: Morgan Stanley. http://twitthat.com/AOUul $AMZN $BBY $HD $LOW $SHLD","Amazon, Best Buy, Home Depot and Lowe's stand to gain if Sears goes bust: Morgan Stanley. http://twitthat.com/AOUul $AMZN $BBY $HD $LOW $SHLD",,,,,['https://pbs.twimg.com/media/C1RhT5uXUAAQFfk?format=jpg&name=small'],https://twitter.com/bored2tears/status/816384437101412356
8,Dow Stocks,@Top_Dow_Stocks,2017-01-03T08:19:12.000Z,#Dow #stocks $HD Home Depot Daily:0.00% Weekly:-0.72% YTD:0% Trend:44 / 100  http://12Stocks.com/HD,"#Dow #stocks $HD Home Depot Daily:0.00% Weekly:-0.72% YTD:0% Trend:44 / 100  http://12Stocks.com/HD
1",,,,1,[],https://twitter.com/Top_Dow_Stocks/status/816197206336151554
9,Watchlist News,@WatchlistN,2017-01-03T05:54:21.000Z,"Jackson Wealth Management LLC Sells 143 Shares of Home Depot, Inc. $The $HD http://zpr.io/Pqhvu","Jackson Wealth Management LLC Sells 143 Shares of Home Depot, Inc. $The $HD http://zpr.io/Pqhvu
1",,,,1,[],https://twitter.com/WatchlistN/status/816160750431567872
